EC,Weighted Score,Observed Freq,Reactions
2.3.1,856.5,3,R06414 R06908 R10124
3.1.1,94.6,,
6.2.1,80.7,,
3.1.2,59.7,,
1.2.1,36.8,,
6.1.1,28.2,,
2.3.3,22.9,,
2.3.2,22.3,,
3.7.1,11.8,,
3.5.1,10.8,,
1.2.7,10.0,,
3.2.1,3.9,,
2.1.3,3.5,,
6.3.2,3.3,,
1.2.4,3.0,,
1.8.1,3.0,,
1.1.1,3.0,,
4.1.3,2.5,,
2.3.-,2.1,,
2.5.1,2.0,,
2.8.3,2.0,,
4.4.1,2.0,,
2.1.1,2.0,,
1.-.-,1.9,,
1.2.3,1.0,,
2.6.1,1.0,,
6.1.2,1.0,,
6.3.1,0.9,,
3.4.13,0.8,,
6.3.4,0.8,,
1.14.14,0.5,,
2.1.2,0.5,,
3.4.11,0.5,,
3.4.19,0.2,,
3.4.17,0.2,,
3.5.3,0.2,,
