RPAIR,Score,EC,KO
RP14343,0.298,,K13922
RP04321,0.289,1.2.1.10,K00132 K04021 K04072 K04073
RP00515,0.282,1.2.1.10 1.2.1.57,K00132 K04072 K04073
RP01076,0.241,1.2.1.- 1.2.1.18 1.2.1.75,K00140 K14468 K15017
RP14558,0.236,1.2.1.76,K15038
RP00606,0.235,1.2.1.18 1.2.1.27,K00140
RP01185,0.214,1.2.1.27,K00140
RP03001,0.209,1.2.1.18,K00140
RP02262,0.120,1.2.1.44,K09753
RP02040,0.115,1.2.1.44,K09753
RP01862,0.114,1.2.1.44,K09753
RP01635,0.113,1.2.1.44,K09753
RP09101,0.108,1.2.1.44,K09753
RP02048,0.103,1.2.1.44,K09753
