RPAIR,Score,EC,KO
RP03973,1.000,3.5.4.17 3.5.4.6,K01490
RP01594,0.975,3.5.4.4,K01488
RP02305,0.945,3.5.4.4,K01488
RP13247,0.939,6.3.5.2,K01951
RP00573,0.900,6.3.5.2,K01951
RP16138,0.841,3.5.4.33,K11991
RP16141,0.841,3.5.4.34,K15440
RP01321,0.833,1.1.1.205,K00088
RP01323,0.812,1.7.1.7,K00364
RP13056,0.806,1.1.1.205,K00088
RP01384,0.789,3.5.4.2,K01486
RP01682,0.755,3.5.4.3,K01487
RP01325,0.754,6.3.4.4,K01939
RP00380,0.698,1.17.1.4 1.17.3.2,K00087 K00106 K11177 K11178 K13479 K13480 K13481 K13482 K13483
RP13033,0.621,1.17.3.2,K00106
RP00569,0.618,1.17.1.4 1.17.3.2,K00087 K00106 K11177 K11178 K13479 K13480 K13481 K13482 K13483
RP12175,0.608,1.17.3.2,K00106
RP12176,0.607,1.17.3.2,K00106
RP11719,0.580,1.17.3.2,K00106
RP11918,0.570,1.14.14.1 1.17.3.2,K00106 K07409 K07411
RP01815,0.421,3.5.4.5,K01489
RP13195,0.420,3.5.4.5,K01489
RP01677,0.417,3.5.4.12,K01493
RP00197,0.413,3.5.4.13 6.3.4.2,K01494 K01937
RP16144,0.412,3.5.4.35,K16930
RP02251,0.392,3.5.4.5,K01489 K10989
RP02125,0.386,3.5.4.13,K01494
RP13245,0.353,2.4.2.8,K00760
RP11109,0.322,3.5.4.30,K09887
RP03069,0.303,3.5.4.26,K01498 K11752
