EC,Weighted Score,Observed Freq,Reactions
2.7.1,333.1,54,R00104  R00105  R00130  R00509  R00550  ... (53 reactions)
3.1.3,131.1,40,R00118  R00188  R00304  R00508  R00947  ... (36 reactions)
2.7.8,48.0,3,R01802  R05223  R09670
3.6.1,30.3,1,R09834
3.1.4,26.9,5,R01006  R01193  R01328  R04373  R07398
2.7.4,20.3,,
2.7.11,16.5,,
2.7.7,15.7,5,R02226  R09047  R09383  R09384  R09386
3.6.3,10.8,,
3.1.7,7.0,2,R00336  R08529
2.7.6,6.5,3,R00429  R01049  R03258
4.6.1,4.4,,
2.7.2,4.4,,
2.7.3,3.9,,
3.2.1,3.0,3,R00337  R02707  R08615
3.6.4,2.7,,
2.7.9,2.7,,
2.6.-,2.0,,
2.7.-,2.0,,
2.7.13,1.3,,
3.6.5,1.3,,
2.4.1,1.0,1,R08615
5.1.3,1.0,1,R02707
4.2.3,1.0,,
3.1.5,1.0,,
2.7.99,1.0,,
2.7.12,0.9,,
4.1.1,0.6,,
2.7.10,0.4,,
1.3.7,0.4,,
1.18.6,0.4,,
1.19.6,0.2,,
3.-.-,0.2,,
