RPAIR,Score,EC,KO
RP00677,1.000,2.7.1.159 3.1.3.56,K00913 K01106
RP00678,1.000,2.7.1.127 3.1.3.62,K00911 K03103
RP04189,0.948,2.7.1.153 3.1.3.67,K00922 K01110 K02649
RP15428,0.948,3.1.3.86,K03084 K15909
RP03011,0.897,3.1.3.56,K01106
RP03092,0.875,2.7.1.140,K00915
RP05391,0.860,2.7.1.151,K00328 K00915
RP03093,0.860,2.7.1.134,K00913
RP05390,0.844,2.7.1.151,K00328 K00915
RP03083,0.824,2.7.1.68 3.1.3.36,K00889 K01099 K13712
RP05383,0.824,2.7.1.154 3.1.3.64,K00923 K01108 K02649
RP03043,0.823,2.7.1.159,K00913
RP05392,0.766,2.7.1.150,K00921
RP04800,0.748,2.7.1.158,K10572
RP02990,0.748,3.1.3.62 3.1.3.8,K01083
RP02991,0.748,3.1.3.26 3.1.3.62,K01093
RP03041,0.651,3.1.3.57,K01107 K15422
RP02947,0.644,3.1.3.64,K01108
RP04013,0.631,3.1.3.66,K01109
RP11501,0.609,3.1.3.66,K01109
RP05393,0.609,2.7.1.149 3.1.3.78,K00920 K13084 K13085
RP15855,0.602,2.7.1.151,K00328 K00915
RP00667,0.581,2.7.1.137 3.1.3.64,K00914 K01108 K02649
RP15308,0.458,2.7.1.168,K07031
RP05253,0.458,2.7.1.167,K03272
RP03010,0.434,3.1.3.57,K01107 K15422
RP02980,0.407,2.7.1.67,K00888 K13711
RP01349,0.387,3.1.3.25,K01092 K10047 K15759
RP00521,0.387,3.1.3.25,K01092 K10047 K15759
RP01350,0.387,3.1.3.25,K01092 K10047 K15759
RP00403,0.383,2.7.1.105 3.1.3.46,K00900 K01103 K14634
RP02804,0.368,2.7.1.52 2.7.1.69,K02771 K05305 K11194 K11195 K11196
RP01302,0.363,2.7.1.6,K00849
RP00303,0.363,2.7.1.41 3.1.3.10,K01085 K05344
RP11347,0.363,3.1.3.-,K10047
RP01732,0.361,2.7.1.46,K12446
RP03003,0.336,2.7.1.65,K04339
RP14118,0.329,2.7.1.162,K13059
RP14683,0.325,2.7.7.72,K00974 K07558
RP14681,0.320,2.7.7.72,K00974 K07558
RP00399,0.316,2.7.1.72 3.1.3.39,K04342 K04343 K12570
RP03773,0.316,2.7.1.100,K00899
RP15600,0.315,2.7.1.175,K16146
RP00645,0.315,2.7.1.23 3.1.3.-,K00858
RP03722,0.314,2.7.1.24,K00859 K02318
RP04532,0.307,2.7.1.25,K00860 K00955 K13811
RP00446,0.304,2.7.1.25 3.1.3.7,K00860 K00955 K01082 K13811 K15422 K15759
