EC,Weighted Score,Observed Freq,Reactions
1.1.1,690.1,24,R01183 R02776 R02777 R03396 R03397 ... (18 reactions)
1.1.99,30.1,3,R00807 R00808 R01680
1.1.3,25.5,1,R00302
2.3.1,13.9,,
1.14.13,10.6,,
1.1.5,9.9,,
1.1.-,8.0,,
1.1.2,7.5,,
5.3.3,4.5,,
1.14.11,3.9,,
1.14.-,3.0,,
1.1.98,2.0,1,R10112
1.4.3,2.0,,
1.-.-,1.9,1,R05668
1.6.5,1.3,,
1.6.99,1.3,,
1.2.1,1.1,,
5.1.3,1.0,,
4.2.1,1.0,,
1.14.15,1.0,,
1.1.9,1.0,,
1.3.1,1.0,,
1.14.12,0.9,,
1.6.3,0.9,,
1.6.1,0.9,,
6.4.1,0.6,,
5.4.99,0.5,,
1.11.1,0.4,,
4.1.1,0.3,,
