RPAIR,Score,EC,KO
RP16062,0.169,1.1.3.-,K13552
RP14226,0.156,1.1.3.43,K13552
RP02320,0.106,1.1.1.21,K00011
RP00495,0.106,1.1.1.77,K00048
RP00374,0.102,1.1.1.2 1.1.1.21 1.1.1.72,K00002 K00011
RP14238,0.101,1.1.3.44,K13552
RP01254,0.097,4.2.1.30,K06120 K06121 K06122
RP00349,0.090,1.1.1.60,K00042
RP01751,0.065,1.1.1.77,K00048
RP04436,0.064,1.1.1.1 1.14.13.15,K00001 K00488
RP09232,0.063,1.14.13.15,K00488
RP04492,0.054,1.1.1.1,K00001 K00121 K04072 K13951 K13952 K13953 K13954 K13980
RP04668,0.052,1.1.1.31 1.1.1.35,K00020 K00022 K01782 K01825 K07514
