EC,Weighted Score,Observed Freq,Reactions
1.1.1,690.4,41,R00342 R00343 R01000 R01370 R01371 ... (29 reactions)
1.1.99,29.8,3,R00298 R03225 R03534
1.1.3,25.3,1,R00360
2.3.1,13.9,,
1.14.13,10.7,,
1.1.5,9.9,2,R00361 R01257
1.1.-,8.1,,
1.1.2,7.5,,
5.3.3,4.7,,
1.14.11,3.9,,
1.14.-,3.0,,
1.1.98,2.0,,
1.4.3,2.0,,
1.-.-,1.9,,
1.6.5,1.4,,
1.6.99,1.4,,
1.2.1,1.1,,
5.1.3,1.0,,
4.2.1,1.0,,
1.14.15,1.0,,
1.1.9,1.0,,
1.3.1,1.0,,
1.14.12,0.9,,
1.6.1,0.9,,
1.6.3,0.9,,
6.4.1,0.7,,
5.4.99,0.5,,
1.11.1,0.5,,
4.1.1,0.3,,
