RPAIR,Score,EC,KO
RP01168,0.618,3.5.1.6,K01431
RP00425,0.567,3.5.1.15,K01437
RP04308,0.410,3.5.1.6,K01431
RP13250,0.410,3.5.1.6,K01431
RP00423,0.382,2.1.3.2,K00608 K00609 K00610 K11540 K11541
RP00493,0.329,2.3.1.57,K00657
RP00373,0.327,6.3.2.1,K01918 K13799
RP10160,0.309,2.3.1.178,K06718
RP04458,0.306,2.3.1.1 2.3.1.35,K00618 K00619 K00620 K11067 K14681 K14682
RP15387,0.268,3.5.1.-,K15784
RP14099,0.268,2.1.3.11,K13043
RP01042,0.260,2.3.1.35 3.5.1.14 3.5.1.16,K00620 K01438 K14677
RP02039,0.247,3.5.1.81,K06015
RP14677,0.237,6.3.2.36,K09722
RP14066,0.236,,K03823
RP14349,0.235,3.5.1.16,K01438
RP11087,0.232,3.5.1.94,K09473
RP01162,0.221,3.4.11.1 3.4.11.2 3.4.11.23 3.4.13.-,K01255 K01256 K01270 K07751 K11140 K11142 K15428
RP14076,0.220,2.3.1.183,K03823 K12915
RP00576,0.218,2.1.3.3,K00611
RP02446,0.218,3.5.1.47,K05823
RP02812,0.216,2.3.1.102,K03896
RP04560,0.208,3.4.11.1 3.4.11.2 3.4.11.23 3.4.13.-,K01255 K01256 K01270 K07751 K11140 K11142 K15428
RP00489,0.207,3.5.1.53,K12251
RP00957,0.196,3.5.1.15 3.5.1.8,K01437
RP11135,0.196,2.1.3.9,K09065
RP01331,0.193,6.3.2.4,K01921
RP01597,0.190,3.5.1.59,K08687
