EC,Weighted Score,Observed Freq,Reactions
1.14.13,367.7,1,R09573
1.14.14,59.6,,
1.14.11,36.7,,
1.14.99,32.5,,
1.14.15,27.8,,
1.14.-,24.3,,
1.17.4,11.9,,
1.14.18,10.9,,
1.17.1,9.9,,
1.14.16,8.9,,
1.14.12,7.9,,
1.7.1,7.0,,
1.11.1,6.0,,
1.17.99,5.3,,
1.7.2,3.0,,
1.5.99,3.0,,
1.1.4,2.9,,
1.10.99,2.9,,
1.13.11,2.0,,
1.3.99,2.0,,
1.10.3,2.0,,
1.97.1,2.0,,
1.16.1,2.0,,
1.14.17,2.0,,
1.17.2,2.0,,
2.6.3,1.9,,
1.1.99,1.0,,
1.1.1,1.0,,
1.-.-,1.0,,
1.7.3,1.0,,
1.7.99,1.0,,
1.17.3,1.0,,
1.1.-,1.0,,
1.3.7,1.0,,
1.17.7,1.0,,
1.14.20,1.0,,
1.17.-,1.0,,
1.8.99,1.0,,
1.4.-,1.0,,
4.2.1,1.0,,
1.13.12,0.9,,
3.7.1,0.5,,
3.13.1,0.5,,
