RPAIR,Score,EC,KO
RP10105,0.500,1.14.14.1,K07415 K07418 K07422
RP10110,0.438,1.14.14.1,K07413
RP10104,0.430,1.14.15.3,K00490 K07422 K07425
RP14912,0.423,1.14.-.-,K15401
RP14923,0.403,1.14.-.-,K15399
RP03481,0.393,1.14.13.30,K00490
RP05668,0.392,1.14.13.169,K04713
RP05669,0.376,1.14.13.169,K04713
RP14925,0.365,1.14.-.-,K13407
RP14852,0.353,1.14.-.-,K15398
RP14914,0.350,1.14.-.-,K13407
RP13123,0.315,1.14.14.1,K07411
RP13121,0.275,1.14.14.1,K07411 K07412 K07413
RP14916,0.273,1.14.-.-,K15402
RP13122,0.247,1.14.14.1,K07411 K07412 K07413
RP03060,0.211,1.14.11.8,K00474
RP16338,0.206,4.2.1.114,K16792 K16793
RP03221,0.194,1.14.13.159,K07419
RP02996,0.185,1.14.11.4,K00473 K13645 K13646 K13647
RP14881,0.180,1.14.13.126,K07436
RP12247,0.180,,K10720
RP14879,0.179,1.14.13.126,K07436
RP12243,0.174,,K10720
RP11002,0.168,1.14.99.38,K10223
RP16333,0.152,4.2.1.114,K16792 K16793
RP11001,0.152,1.14.13.98,K07440
