RPAIR,Score,EC,KO
RP00985,0.309,1.5.1.19,K00296
RP00602,0.301,1.5.1.10 1.5.1.9,K00292 K00293 K14157
RP14327,0.292,1.5.1.43,K13746
RP14325,0.276,1.5.1.43,K13746
RP02019,0.251,2.1.1.49,K00562
RP02590,0.249,2.1.1.49,K00562
RP00508,0.226,3.4.13.18 3.4.13.20 6.3.2.11,K05604 K08660 K14755
RP00609,0.223,1.5.1.7 1.5.1.8,K00290 K00291 K14157
RP00335,0.222,3.4.13.18 3.4.13.20 6.3.2.11,K05604 K08660 K14755
RP00245,0.188,3.4.13.20 3.4.13.5 6.3.2.11,K05604 K14755
RP10848,0.187,2.5.1.66,K12673
RP02283,0.175,2.1.1.28,K00553
RP01870,0.153,6.3.4.5,K01940
RP00824,0.148,2.3.2.4 6.3.2.2,K00682 K01919 K11204 K11205
RP03587,0.144,2.3.2.2,K00681
RP04539,0.144,2.3.2.2,K00681
RP03793,0.140,2.3.2.2,K00681
RP00611,0.140,2.3.2.2 2.3.2.4,K00681 K00682
RP15223,0.138,3.4.15.6,K13282
RP02591,0.135,2.3.1.87,K00669
RP15337,0.133,6.3.2.-,K05827
RP02446,0.130,3.5.1.47,K05823
RP02448,0.127,3.5.1.18,K01439
RP15346,0.121,,K05831
RP00957,0.121,3.5.1.15 3.5.1.8,K01437
RP00459,0.118,2.1.2.5 3.5.1.68,K00603 K01458 K13990
RP00625,0.118,2.1.2.5 3.5.3.8,K00603 K01479 K13990
RP00425,0.112,3.5.1.15,K01437
RP00423,0.112,2.1.3.2,K00608 K00609 K00610 K11540 K11541
RP00881,0.109,3.5.1.96,K05526
RP04458,0.109,2.3.1.1 2.3.1.35,K00618 K00619 K00620 K11067 K14681 K14682
RP05285,0.109,,K12636
RP00563,0.106,1.2.99.5 2.3.1.101,K00200 K00201 K00202 K00203 K00204 K00205 K00672 K11260 K11261
RP01028,0.106,3.5.1.31,K01450
RP05279,0.104,2.3.-.-,K12632
RP03994,0.104,6.3.2.39,K03895
RP00510,0.103,1.5.8.4,K00315
RP00432,0.102,6.3.2.3,K01920
RP01843,0.101,1.5.3.17 2.5.1.16,K00797 K13367
RP15387,0.101,3.5.1.-,K15784
RP00161,0.099,1.5.3.1 1.5.8.3 2.1.1.156 2.1.1.162 2.1.1.20,K00301 K00302 K00303 K00304 K00305 K00306 K00314 K00552
RP01042,0.097,2.3.1.35 3.5.1.14 3.5.1.16,K00620 K01438 K14677
RP01186,0.096,6.3.2.17,K01930 K11754
RP03875,0.096,3.4.19.9 6.3.2.17,K01307 K01930
RP01130,0.096,2.3.1.109,K00673
RP14710,0.096,6.3.2.32,K14940
RP14066,0.095,,K03823
RP13022,0.095,2.5.1.16,K00797
RP14318,0.094,1.5.3.13 1.5.3.17,K00308 K13367
RP14349,0.093,3.5.1.16,K01438
