Reaction Name,E-zyme1,E-zyme2
R00031,1.14.13;1.14.14;1.14.11;1.14.15;1.14.16;1.14.-;1.14.99;1.14.18;1.17.1;1.1.1;1.10.99;1.13.11;1.10.3;1.97.1;3.5.3;1.17.99;1.3.99;1.2.1;1.3.7;1.14.20;4.1.99;3.7.1;1.6.6;1.-.-;1.17.7;1.14.12;1.17.3;1.7.3;1.14.17,1.10.3;1.14.13;1.14.16;1.14.13;1.14.13;1.14.13;1.14.14;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.14;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.14;1.14.13;1.14.13;1.14.13;1.14.14;1.3.7;1.14.13;1.14.13;1.14.14;1.14.14;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;3.8.1;3.8.1;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.12;1.14.12;1.14.13;1.13.11;1.14.16;1.14.13;1.14.13;1.14.16;1.14.13;1.14.13;5.4.99;1.14.13;1.14.12;1.14.13
R00053,3.1.1;2.5.1;1.1.1;2.3.1;3.7.1;6.1.1;6.1.2;2.1.1,3.1.1
R00127,,
R00129,,
R00140,,
R00150,,
R00181,3.5.4;6.3.5;6.3.4;3.5.99;2.1.2,3.5.4;3.5.4;3.5.4;6.3.5;6.3.5;3.5.4;3.5.4;1.1.1;1.7.1;1.1.1;3.5.4;3.5.4;6.3.4;1.17.1;1.17.3;1.17.1;1.17.3;1.17.3;1.17.3;1.14.14;3.5.4;3.5.4;3.5.4;3.5.4;3.5.4;3.5.4;3.5.4;2.4.2;3.5.4;3.5.4
R00185,,
R00203,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.1;1.6.3;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-
R00209,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.1;1.6.3;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-
R00219,4.1.1;6.4.1;2.1.3;1.3.8;1.1.1,4.2.1;4.1.2;5.3.2;5.3.2;4.1.1;5.3.3;4.2.1;5.3.2;5.3.3;5.3.2;5.3.3;4.1.1;5.3.2;4.1.1;2.7.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;4.1.1;1.1.1;1.1.1
R00277,2.6.1;1.4.3;1.4.1;1.4.9;1.4.99;1.4.7;1.4.2;4.1.1;1.13.12;1.14.11;2.-.-;4.3.1;2.4.2,1.4.3;1.4.3
R00337,2.4.1;3.2.1;2.4.2;3.1.4;6.1.1;4.2.2;5.1.3;6.5.1;3.1.1;2.4.99;4.2.1;3.1.3;3.6.1;2.7.8;4.3.3,2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;3.6.1;2.4.2;2.4.2;2.4.99;2.4.2;2.4.2;2.4.99;2.4.2;2.4.1;4.2.3;2.7.8
R00357,2.6.1;1.4.3;1.4.1;1.4.9;1.4.99;1.4.7;1.4.2;4.3.1;1.13.12;4.1.1;1.14.11;2.-.-;2.4.2;1.4.5,1.4.3;1.4.3;2.6.1;2.6.1;2.6.1;1.4.99;1.4.1;2.6.1;1.4.1;2.6.1;4.4.1;4.4.1;4.4.1;1.4.3;1.4.3;4.4.1;4.4.1;4.4.1;2.6.1;2.6.1;1.4.1;1.4.1;2.6.1;1.4.1
R00371,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;1.2.4;1.8.1;2.1.3;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,1.1.1;2.3.1;2.3.1;1.2.1;1.2.1;3.1.2;1.2.1;6.2.1;2.3.1;6.2.1;2.3.1;1.2.7;2.3.1;3.1.2;1.2.7;1.2.1;1.2.7;1.2.1;2.3.1;1.2.4;1.2.1;6.2.1;6.2.1;2.3.1;2.3.1;2.3.1;2.3.1;6.2.1;2.3.1
R00397,4.1.1;6.4.1;2.1.3;1.3.8;1.1.1,4.1.1;4.1.1;4.1.1;1.1.1
R00400,2.6.1;1.4.3;1.4.1;1.4.9;1.4.99;1.4.7;1.4.2;4.3.1;1.13.12;4.1.1;1.14.11;2.-.-;2.4.2;1.4.5,1.4.3;1.4.3;2.6.1;2.6.1;1.4.99;2.6.1;1.4.1;2.6.1;1.4.1;2.6.1;4.4.1;4.4.1;4.4.1;1.4.3;1.4.3;4.4.1;4.4.1;4.4.1;2.6.1;2.6.1;1.4.1;2.6.1;1.4.1;1.4.1
R00428,4.3.2;3.5.3;3.5.4;1.14.11,3.5.4;3.5.4
R00451,4.1.1;6.4.1;2.1.3;1.3.8;1.1.1,4.1.1;4.1.1;4.1.1;4.1.1;4.1.1;4.1.1;4.1.1;4.1.1;5.1.1;4.1.1
R00453,2.6.1;1.4.3;1.4.1;1.4.9;1.4.99;1.4.7;1.4.2;4.1.1;1.13.12;1.14.11;2.-.-;2.4.2;4.3.1,2.6.1;1.4.1;1.4.99;2.6.1;4.4.1;4.4.1;2.6.1;4.4.1;4.4.1;1.4.3;1.4.3;4.4.1;4.4.1;4.3.1;4.3.1;2.6.1;1.4.1;1.4.3;1.4.3;1.4.1;2.6.1;2.6.1;1.4.1;1.4.1;4.4.1;4.3.1;2.6.1;1.4.1;4.4.1;4.4.1;4.4.1
R00477,4.1.3;2.3.3;4.2.99;2.3.1;2.4.2;4.1.1;3.3.2;4.1.2,4.1.1;4.1.3;4.1.3;4.1.3;4.1.3;4.1.3;4.1.3;4.1.3;4.1.3;4.1.3;4.1.2;4.1.2;4.1.3;4.1.2;4.1.2;4.1.2;4.1.2;4.1.2;2.1.2;2.1.2
R00481,1.4.1;1.4.3;2.6.1;4.3.1;1.4.99;1.5.3;1.4.5;3.5.1;1.21.4;4.2.1,1.4.1
R00484,3.5.99;3.5.4;6.3.4,3.5.99;5.3.2;5.3.2
R00488,6.3.2;3.5.1;2.3.1;2.3.2;3.4.13;6.3.1;6.3.4;3.4.11;3.4.19;3.4.17;2.1.3;3.1.1;6.2.1;3.4.15;3.5.3;2.3.-;3.4.24;3.4.22;4.3.2;2.7.7;6.1.1;3.1.2;1.2.1,3.5.1;2.1.3;2.3.1;3.5.1;3.5.1;3.5.1;2.3.1;3.5.1;2.3.1;6.3.2;3.5.1;3.5.1;3.5.1;3.5.1;6.3.2;6.3.2;3.5.1;3.5.1;3.4.11;6.3.2;3.4.11;2.3.2;2.3.2;2.3.2;2.3.2;2.3.2;3.5.3;3.5.1;2.3.1;2.1.2;2.1.2;3.4.13
R00509,,
R00574,4.6.1,4.6.1;4.6.1;3.1.4;3.1.4;3.1.4;2.7.7
R00584,2.7.1;3.1.3;3.6.1;2.7.8;2.7.4;2.7.7;3.6.3;2.7.11;3.1.4;2.7.2;2.7.6;2.7.3;3.6.4;3.1.7;4.6.1;2.7.9;3.6.5;3.2.1;2.7.12;2.7.13;2.6.-;2.7.-;4.1.1;2.7.10;1.3.7;1.18.6;4.2.3;2.7.99;3.1.5;2.4.1;5.1.3;1.19.6;3.-.-,3.1.3;2.7.1;2.7.1;2.7.1;2.7.2;3.1.3;2.7.8;2.7.1;2.7.1;2.7.1;3.1.3;4.2.3;2.7.1;2.7.1;2.7.1;2.7.1;3.1.3;2.7.1;2.7.1;3.1.3;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1
R00616,,
R00647,1.1.3;1.1.1;1.10.3;1.14.13;1.3.3;1.3.2,1.1.3;1.1.3;1.10.3;1.1.3;1.3.2;1.1.1;1.1.1;5.3.3
R00656,4.1.1;6.4.1;2.1.3;1.3.8;1.1.1,4.1.1;4.1.1;4.1.1;4.1.1;4.1.1;4.1.1;4.1.1;4.1.1;4.1.1;4.1.1;4.1.1;4.1.1;4.1.1;2.1.3;4.1.1;4.1.1
R00672,5.1.1,5.1.1;5.1.1;5.1.1;5.1.1;5.1.1;5.1.1;5.1.99;4.1.1;2.1.2;5.1.99;6.3.2;4.1.1;2.3.1;4.1.2;4.1.2;4.1.1
R00673,2.5.1;1.5.3;4.4.1;4.2.1;1.5.99;2.3.1;1.14.15;1.5.1;3.1.1;2.1.2;3.3.1;4.1.99;4.1.3;3.3.2;3.5.99;1.4.3;4.3.3;3.5.-;1.8.3;1.3.1;3.7.1;1.1.1;1.8.1;4.5.1,4.1.99;4.2.1;4.1.2;2.1.1;4.1.99;2.5.1;2.1.1;1.14.13;2.1.1
