reactionID,predictions
10013,1.5.3;1.8.3;1.21.3;3.5.5
10017,2.3.2;3.1.2;2.3.1;3.1.1
10189,2.3.1;2.3.2;2.3.3;2.8.3
10265,5.3.1;5.1.2;5.1.3;4.2.99
10285,5.4.1;2.6.1;4.1.2;5.3.3
10361,3.1.1;2.4.2;2.4.1;1.1.1
10369,2.6.1;2.1.3;4.1.3;4.1.2
10461,5.3.3;5.5.1;5.4.99;5.4.4
10509,2.6.1;1.1.99;4.1.3;2.8.3
10609,1.14.14;1.14.19;1.14.15;1.2.7
10613,2.4.2;2.4.1;2.7.1;2.7.8
10733,1.18.6;2.7.9;6.3.4;2.7.7
10757,4.1.2;4.1.3;2.3.1;2.8.3
10797,1.14.19;1.21.3;1.14.15;1.14.13
10805,5.2.1;5.1.1;5.1.99;5.1.3
10905,1.3.98;2.1.1;4.4.1;1.21.98
10933,4.1.1;2.1.3;1.5.8;2.3.1
10969,6.2.1;1.8.7;2.7.13;1.8.99
11089,3.1.4;3.6.1;2.7.6;2.7.1
11141,5.4.2;4.2.99;5.4.99;3.2.1
11213,1.13.11;1.13.12;3.5.2;1.14.11
11309,2.7.7;6.3.2;2.7.1;2.4.2
11313,3.8.1;4.5.1;1.5.7;1.17.2
11365,2.5.1;3.13.1;1.2.1;4.4.1
11433,2.5.1;2.1.1;2.3.1;5.3.99
11457,2.4.3;2.4.99;1.6.1;2.4.1
11465,2.1.1;2.8.4;7.2.1;1.8.5
11489,2.3.1;2.3.2;2.8.3;2.4.1
11521,2.4.2;2.4.1;4.2.99;3.2.1
11693,1.6.1;2.7.7;2.7.9;2.4.99
11713,1.6.1;2.7.9;2.7.13;2.7.7
11725,4.4.1;3.13.1;2.3.1;2.1.1
11749,2.6.1;4.1.2;4.1.3;2.1.3
11753,3.1.1;2.3.1;2.3.2;3.5.1
11781,2.4.1;2.4.99;2.4.2;2.4.3
11801,7.1.3;7.1.1;7.2.3;1.20.1
11849,6.3.4;6.7.1;1.18.6;6.3.2
11881,1.5.3;1.14.99;1.17.3;1.21.3
11905,3.5.4;3.5.99;4.3.1;3.5.1
11949,2.3.3;2.3.1;2.3.2;2.8.3
11957,3.2.1;4.2.1;2.4.1;2.4.2
12001,4.99.1;1.12.1;2.5.1;5.3.3
12005,2.4.1;2.4.2;3.2.1;4.2.99
12013,2.7.7;2.7.1;2.7.8;2.7.4
12173,4.3.1;3.5.5;3.5.3;3.5.99
12177,2.1.1;2.5.1;1.3.8;4.99.1
12181,2.1.1;2.5.1;1.3.8;4.99.1
12233,2.1.3;6.2.1;4.4.1;2.3.1
12277,1.3.8;1.1.98;2.1.1;1.3.98
12325,4.2.1;5.3.99;4.4.1;4.1.99
12606,2.7.1;5.3.2;7.2.4;3.7.1
12614,2.1.3;2.8.3;2.3.1;2.3.2
12630,1.14.11;1.14.20;1.13.11;1.4.7
12730,5.3.3;5.4.99;5.5.1;2.5.1
12734,2.4.1;2.4.2;2.5.1;1.1.1
12738,5.1.1;4.4.1;2.8.4;3.13.1
12818,1.5.1;1.19.1;1.4.1;1.7.1
12826,2.1.3;6.2.1;6.3.2;3.13.1
12946,1.2.99;4.1.1;1.2.3;3.1.2
12974,2.7.4;2.7.7;2.7.8;5.1.2
12978,3.5.3;4.3.1;3.10.1;1.4.3
13054,2.6.1;4.1.2;1.1.99;4.1.3
13110,1.2.1;1.6.5;1.5.1;1.3.1
13114,1.3.1;1.6.5;1.1.1;1.5.1
13194,3.5.4;3.5.99;4.3.3;4.3.1
13206,2.7.7;3.6.1;3.1.4;2.4.2
13266,2.7.13;1.8.99;2.7.14;6.2.2
13390,2.5.1;4.99.1;1.3.8;1.5.8
13414,3.6.1;2.7.6;3.1.4;2.7.1
13486,2.8.3;2.6.1;2.2.1;4.4.1
13522,1.2.99;1.12.99;1.3.98;1.12.98
13590,2.7.7;1.6.1;2.4.99;2.7.1
13626,1.3.99;1.4.99;4.3.1;1.14.99
13706,2.4.1;2.4.2;2.4.99;2.4.3
13774,1.14.19;1.14.14;1.14.15;1.14.18
13906,2.4.99;2.4.2;2.4.1;2.4.3
13946,5.2.1;5.1.1;5.1.3;5.3.1
14034,3.1.4;3.6.1;2.7.8;2.4.2
14122,2.1.1;2.5.1;1.3.8;4.99.1
14126,2.4.2;2.4.1;2.7.7;2.4.99
14158,3.1.3;3.1.7;3.2.1;7.1.3
14170,2.4.1;2.7.7;2.3.1;2.3.2
14190,1.13.11;4.3.1;4.3.2;4.1.2
14218,4.4.1;2.1.1;2.3.1;2.8.4
14230,1.8.7;1.18.6;1.2.7;1.3.7
