Reaction,All ECs
10013,1.1.3.15;1.4.3.3;1.4.3.13;1.8.3.5;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7
10017,2.3.1.91;2.4.1.299;2.3.1.188;3.1.1.7|3.1.1.8;3.1.1.-|3.1.1.92;3.1.4.1|3.1.4.4;2.4.1.120|2.4.1.126
10189,2.3.1.86;1.2.1.18;2.3.1.206;2.3.1.169;2.3.1.16
10265,5.1.3.3;3.2.1.22;2.7.1.1
10285,5.1.1.10;3.4.11.10
10361,5.1.1.11;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
10369,2.6.1.59;2.6.1.92;2.6.1.102;2.6.1.33;2.6.1.90;2.6.1.-|2.6.1.106;2.6.1.34|2.6.1.91;2.6.1.98;4.2.1.168;1.4.7.1;2.6.1.104;2.6.1.94;1.2.1.38|2.3.1.1|2.6.1.11|2.7.2.8
10461,1.1.1.141;2.3.1.85;5.3.99.6;1.1.1.184;1.1.1.188;3.1.2.21;5.3.3.4;3.1.2.14|3.1.2.21;1.3.1.42;3.5.1.97;1.13.11.45
10509,2.2.1.1;2.2.1.2
10609,1.14.14.-|1.14.14.13;1.14.14.3;1.14.14.5;1.14.14.28;1.14.14.8;1.14.14.15;1.14.14.30;1.14.19.56;1.14.14.46;1.5.1.39;1.14.99.46;1.14.14.91
10613,2.4.1.-|2.4.1.293;2.4.1.-|2.4.1.292;2.4.1.309;2.4.1.58;2.4.1.44|2.4.1.73;2.4.1.56;2.4.1.264;2.4.1.17;2.4.1.287;2.4.1.-|2.4.1.291;2.4.1.271;2.4.1.288;2.4.1.227
10733,1.13.12.7;1.13.12.24;2.7.9.2;6.3.4.22;6.2.1.50;6.3.1.13;6.1.1.20
10757,2.7.9.1;2.7.1.40;2.7.9.2;6.3.1.1|6.3.5.4
10797,1.14.13.225|1.6.3.1;1.6.3.5;1.11.1.6|1.14.13.225|1.3.1.95|1.6.3.1|1.6.3.3|1.6.99.3
10805,5.1.99.3;3.5.2.5;1.7.3.3;5.1.99.5;3.5.3.4;3.5.3.9;3.5.2.1;1.3.98.1
10905,1.3.99.36;1.8.99.5;3.13.1.5;4.1.1.90;1.14.11.66|1.14.11.68|1.14.11.69;1.14.11.66|1.14.11.67|1.14.11.68|1.14.11.69;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67;2.3.1.85|2.3.1.86
10933,6.3.4.5
10969,6.2.1.13;6.2.1.4;6.2.1.5
11089,4.1.2.50;3.1.5.1;2.5.1.17;6.2.1.12;6.2.1.30;6.2.1.2
11141,5.4.2.2;5.4.2.6;5.4.2.2|5.4.2.5|5.4.2.8;2.7.7.12;2.7.7.69
11213,1.14.14.153;1.14.14.1
11309,6.4.1.4;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
11313,3.5.4.43;3.8.1.8;1.13.11.49;1.14.14.172;2.5.1.18
11365,2.7.9.2;2.7.9.3;6.3.4.22;2.7.1.40
11433,2.1.1.150|2.1.1.155;2.1.1.267;2.1.1.112;2.1.1.42;2.1.1.65;2.1.1.-|2.1.1.169|2.1.1.175;2.1.1.29;2.1.1.228|2.1.1.31;2.1.1.187|2.1.1.188|2.1.1.51
11457,2.4.1.101;2.4.1.-|2.4.1.283;2.4.1.250;2.4.1.143;2.4.1.145;2.4.1.144;2.4.1.155;2.4.1.201;2.4.1.56;3.2.1.183;2.4.1.273;2.4.1.-|2.4.1.292;2.4.1.224;2.4.1.-|2.4.1.291;2.4.1.150;2.4.1.149;2.4.1.239;2.4.1.-|2.4.1.297;2.4.1.175
11465,1.8.4.2;1.11.1.12;1.11.1.27;1.11.1.9;1.11.1.12|2.5.1.18
11489,2.3.1.76;2.3.1.180
11521,2.4.1.90;2.4.1.367;2.4.1.366|2.4.1.367|2.4.1.dv;2.4.1.239;2.4.1.-|2.4.1.323;2.4.1.324;2.4.1.13;2.4.1.-|2.4.1.284;2.4.1.245;2.4.1.22;2.4.1.38|2.4.1.90;2.4.1.173;2.4.1.15
11693,1.6.1.4;2.3.1.86;2.3.1.281|2.3.1.ci;1.2.1.38|2.3.1.1|2.6.1.11|2.7.2.8
11713,1.2.1.25|1.2.4.4|1.8.1.4|2.3.1.168|2.7.11.4;1.2.7.7;1.2.7.1
11725,1.8.4.8;1.8.4.10;1.8.4.9;1.8.99.2
11749,2.1.2.1|4.1.2.48|4.1.2.5
11753,1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
11781,2.4.1.87;2.4.1.134;2.4.1.-|2.4.1.301;2.4.1.22;2.4.1.38|2.4.1.90;2.4.1.338;2.4.1.239;2.4.1.-|2.4.1.297;2.4.1.-|2.4.1.284;2.4.1.122|2.4.1.307;2.4.1.245;2.4.1.15;2.4.1.13
11801,2.5.1.143;2.7.7.1|2.7.7.18
11849,1.21.4.4;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
11881,1.1.3.15;1.4.3.3;1.4.3.13;1.8.3.5;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7
11905,3.5.4.45|3.5.99.-;3.5.4.11;3.8.1.8;3.5.4.26;3.5.1.54;3.5.1.5
11949,6.2.1.27;6.2.1.33;2.3.1.71;6.2.1.2|6.2.1.25|6.2.1.33;3.1.2|3.1.2.20|3.1.2.23;2.3.1.16
11957,3.2.1.104;2.4.1.173;2.4.1.25;2.4.1.192;3.2.1.74;3.2.1.20|3.2.1.70;2.3.1.26;3.2.1.21|3.2.1.25|3.2.1.74
12001,1.17.1.11;1.5.1.6;1.1.1.170;1.1.1.417;1.1.1.42;1.3.1.43;4.1.99.5;1.14.14.1
12005,2.4.1.35;2.4.1.111;2.4.1.126;2.4.1.128;2.4.1.170;2.4.1|2.4.1.-|2.4.1.298;2.4.1.238;2.4.1.249;2.4.1.218;2.4.1.91;2.4.1.185;2.4.1.-|2.4.1.286;2.4.1.354;2.4.1.85;2.4.1.202;2.4.1.219;2.4.1.203;2.4.1.215;2.4.1.17;2.4.1.63;1.11.1.13|1.16.3.-|2.4.1.25|2.4.1.63|2.4.1.8|3.2.1.20|4.2.1.131
12013,2.7.1.50
12173,2.6.1.16;3.5.99.6
12177,2.1.1.28;2.1.1.132;2.1.1.-|2.1.1.340;2.1.1.345;2.1.1.334;2.1.1.156|2.1.1.162|2.1.1.20;2.1.1.53;2.1.1.103;2.1.1.49;2.1.1.163
12181,6.3.2.40;2.1.1.343;2.1.1.49;2.1.1.328;2.1.1.137;2.1.1.334;2.1.1.53;2.1.1.62;2.1.1.129;2.1.1.365;5.3.3.5;2.1.1|2.1.1.163
12233,1.21.4.2;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
12277,1.3.8.4|1.3.99.10|1.3.99.3;1.3.8.4|1.3.8.7|1.3.99.10;1.3.99.12;1.14.14.15;1.14.19.56;1.5.1.45;1.3.3.6|1.3.8.1|1.3.99.-|1.3.99.2|1.3.99.3;1.3.99.7;1.3.3.6|1.3.8.1|1.3.99.-|1.3.99.13|1.3.99.3;2.1.1.74
12325,3.5.1.26;3.2.1.169;3.2.1.49;2.6.1.14;3.1.4.45;3.1.1.29
12606,2.2.1.7
12614,1.8.4.2;2.1.1.137;3.1.2.6
12630,1.14.11.11;1.14.11.67;1.14.11.65;1.14.11.27;1.14.11.54;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67;1.14.11.33;1.14.11.66|1.14.11.68|1.14.11.69;1.14.11.51;1.14.11.53;1.13|1.13.12.19;1.14.11.-|1.14.11.35;1.14.11|1.14.11.-|1.14.11.13
12730,1.14.13.90;1.14.13.129;5.2.1.-|5.2.1.14;1.13.11.75;1.14.99.63;1.14.15.21;1.10.99.3|1.23.5.1;1.13.11.84;1.14.14.158;2.4.1.276;1.14.15.24;1.13.11.71|1.14.99.-|1.14.99.n4;1.13.11.65;5.5.1.18;1.3.99.39;1.3.99.40;5.5.1.19;1.13.11.63;5.2.1.-|5.2.1.13;1.13.11.-|1.13.11.68
12734,2.4.2.-|2.4.2.54;2.4.2.11;2.4.2.12;2.4.2.17
12738,1.21.4.1;1.21.4.1|1.4.1.12;4.3.1.12;2.3.2.26;2.3.2.27|2.3.2.31
12818,
12826,1.21.4.3;1.21.4.2;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
12946,1.8.98.3;1.8.1.2|1.8.2.2
12974,2.7.4.8
12978,2.7.3.2;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
13054,2.6.1.-|2.6.1.99;2.6.1.51;2.6.1.1|2.6.1.2|2.6.1.5;2.6.1.2|2.6.1.21;2.6.1.21;2.6.1.15
13110,1.11.1.1|1.14.12.17;1.7.99.6;1.12.1.2|1.12.1.5;1.2.1.3
13114,
13194,2.7.8.26
13206,2.7.7.23
13266,3.5.3.1|3.5.3.7;3.5.3.10;2.1.4.1;2.1.4.3;3.5.3.25;2.1.3.3
13390,1.3.99.7;1.3.8.6|1.3.99.7;1.3.99.3;1.3.3.6|1.3.8.1|1.3.99.-|1.3.99.2|1.3.99.3;1.3.99.12;1.14.14.15;1.14.19.56;1.3.3.6|1.3.8.1|1.3.99.-|1.3.99.13|1.3.99.3;2.3.1.281|2.3.1.ci;2.3.1.119;1.5.1.45;1.3.3.6|1.3.8.9|1.3.99.-|1.3.99.13|1.3.99.3;1.14.14.8;2.1.1.74
13414,2.7.1.21
13486,2.6.1.21;2.6.1.7;2.6.1.1|2.6.1.27|2.6.1.42|2.6.1.5|2.6.1.57|2.6.1.9
13522,1.1.1|1.1.1.27|1.1.1.28
13590,6.4.1.4;6.4.1.5;6.4.1.3;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
13626,1.5.99.12;2.5.1.27;2.5.1.-|2.5.1.112|2.5.1.27;1.8.4.8;1.1.1.1
13706,2.4.1.250;2.4.1.-|2.4.1.283;3.2.1.183;2.4.1.143;2.4.1.145;2.4.1.150;2.4.1.101;2.4.1.40;2.4.1.223;2.4.1.174;2.4.1.-|2.4.1.292;2.4.1.149;2.4.1.87;2.4.1.56;2.4.1.144;2.4.1.155;2.4.1.212
13774,1.14.14.13;1.14.14.3;1.14.14.28;1.14.14.5;1.14.14.35;1.14.14.15;1.14.19.56;1.14.14.46;1.14.14.8;1.5.1.39;1.1.99.31;1.14.99.46;1.14.14.21;1.14.14.108
13906,2.4.1.206;2.4.1.92;2.4.1.250;2.4.1.79;2.4.1.-|2.4.1.283;2.4.1.87;2.4.1.149;2.4.1.150;2.4.1.163|2.4.1.164;2.4.1.165;2.4.1.88;3.2.1.183;2.4.1.212;2.4.1.-|2.4.1.292;2.4.1.-|2.4.1.291;2.4.1.228;2.4.1.56;2.4.1.227
13946,3.5.1.86;1.1.3.15;1.1|1.1.1.272|1.1.1.379|1.2.1.-;1.1.99.31;1.1.1.423;1.1.1.422;2.6.1.72;1.2.1.3
14034,2.7.7.74;3.1.4.46;3.1.4.2;3.1.4.2|3.1.4.38;3.1.5.1;3.1.4.43|4.6.1.13;3.1.1.3
14122,2.1.1.114;2.1.1.-|2.1.1.169|2.1.1.175;2.1.1.149|2.1.1.267;2.1.1.149|2.1.1.169|2.1.1.267|2.1.1.76;2.1.1.64
14126,2.4.1.82;2.4.1.140;3.2.1|3.2.1.-|3.2.1.22;2.4.1.99;2.4.1.67;2.7.1.69;5.4.99.11;1.1.3.9;3.2.1.26
14158,2.5.1.17;6.2.1.5
14170,6.2.1.3;6.2.1.26;6.2.1.5
14190,1.13.11.52;1.13.11.11|1.13.11.52;1.13.11.47;1.1.3.15;1.13.11.48;1.8.3.5;1.4.3.2
14218,1.8.4.13|1.8.4.14;1.8.4.12
14230,1.5.1.20|1.5.1.54;1.7.99.5;1.5.1.20|1.5.1.53;2.1.2.11
14238,1.14.14.13;1.14.14.28;1.14.14.3;1.14.14.5;1.14.14.15;1.14.14.8;1.14.19.56;1.14.14.46;1.5.1.39;1.14.99.46;1.14.14.108;1.14.14.22;1.13.12.16;1.14.14.30;1.14.19.9
14266,1.2.1.70
14274,1.5.3.13|1.5.3.16|1.5.3.17;1.4.9.1;1.5.3.14|1.5.99.6;2.5.1.44|2.5.1.45|2.5.1.46;2.6.1.82;2.5.1.16|2.5.1.22|2.5.1.79
14290,6.2.1.2;6.2.1.1
14314,2.1.1.6|2.1.1.68;2.1.1.146;2.1.1.222
14342,2.6.1.19;4.1.1.47;2.2.1.9|2.5.1.64|4.1.1.71|4.1.3.-|4.2.99.20
14390,2.4.1.149;2.4.1.250;2.4.1.87;2.4.1.150;2.4.1.-|2.4.1.283;2.4.1.224;2.4.1.102;2.4.1.40;2.4.1.101;2.4.1.212;3.2.1.183;2.4.1.244
14414,1.13.11.39;1.13.11.2;1.13.11.16;1.13.11.-|1.13.11.1|1.13.11.M6;1.13.11.15;1.13.11.8;1.13.11.-|1.13.11.29;1.13.11.25;1.13.11.86;1.13.11.64;1.13.11.57|1.13.11.8;1.15.1.1
