reaction_id,EC Number,BEC-Pred,SelenzymeRF,SIMMER,Theia,MajorityVote,MajorityVoteCore4
10013,1.5.3.6,1.5.3,1.1.3.15;1.4.3.3;1.4.3.13;1.8.3.5;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7,5.3.3,1.5.3;4.2.1;1.11.1;1.1.3;1.8.3,1.5.3,1.5.3
10017,3.1.1.49,3.1.1,2.3.1.91;2.4.1.299;2.3.1.188;3.1.1.7|3.1.1.8;3.1.1.-|3.1.1.92;3.1.4.1|3.1.4.4;2.4.1.120|2.4.1.126,3.1.1,3.1.1;2.3.1;4.1.1;2.7.2;1.2.98,3.1.1,3.1.1
10189,2.3.3.10,2.3.3,2.3.1.86;1.2.1.18;2.3.1.206;2.3.1.169;2.3.1.16,3.1.2;2.3.1,2.3.3;4.1.3;2.3.1;3.1.2;3.7.1,2.3.1,2.3.1
10265,5.1.3.3,5.3.1,5.1.3.3;3.2.1.22;2.7.1.1,5.1.1,3.2.1;5.1.3;5.3.1;2.4.1;2.7.8,5.3.1,3.2.1|5.1.3
10285,5.4.3.7,5.1.1,5.1.1.10;3.4.11.10,,2.6.1;6.3.2;5.1.1;4.1.1;2.7.4,5.1.1,5.1.1
10361,3.1.1.35,3.1.1,5.1.1.11;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,,3.1.1;3.7.1;1.2.98;3.5.2;3.1.2,3.1.1,3.1.1
10369,2.6.1.59,2.6.1,2.6.1.59;2.6.1.92;2.6.1.102;2.6.1.33;2.6.1.90;2.6.1.-|2.6.1.106;2.6.1.34|2.6.1.91;2.6.1.98;4.2.1.168;1.4.7.1;2.6.1.104;2.6.1.94;1.2.1.38|2.3.1.1|2.6.1.11|2.7.2.8,2.6.1,2.6.1;4.2.1;1.14.11;5.3.2;1.4.1,2.6.1,2.6.1
10461,5.3.3.9,5.3.3,1.1.1.141;2.3.1.85;5.3.99.6;1.1.1.184;1.1.1.188;3.1.2.21;5.3.3.4;3.1.2.14|3.1.2.21;1.3.1.42;3.5.1.97;1.13.11.45,1.17.99;1.13.11,5.3.3;2.7.8;5.3.99;5.5.1;4.2.1,5.3.3,5.3.3
10509,2.2.1.1,4.1.2,2.2.1.1;2.2.1.2,,5.1.3;2.7.4;2.7.8;2.5.1;4.1.2,2.2.1,2.2.1
10609,1.14.14.91,1.14.14,1.14.14.-|1.14.14.13;1.14.14.3;1.14.14.5;1.14.14.28;1.14.14.8;1.14.14.15;1.14.14.30;1.14.19.56;1.14.14.46;1.5.1.39;1.14.99.46;1.14.14.91,1.14.14,1.14.14;1.14.19;1.3.8;3.5.99;1.14.99,1.14.14,1.14.14
