EC,Weighted Score,Observed Freq,Reactions
2.3.1,859.6,44,R04726 R04952 R04957 R04960 R04963 ... (16 reactions)
6.2.1,79.7,,
3.1.1,71.5,,
3.1.2,59.7,,
1.2.1,36.6,,
6.1.1,27.3,,
2.3.3,22.9,,
2.3.2,21.0,,
3.5.1,14.4,,
1.2.7,10.2,,
3.7.1,7.1,,
3.2.1,3.8,,
2.1.3,3.2,,
1.2.4,3.1,,
1.8.1,3.1,,
1.1.1,3.0,,
4.1.3,2.5,,
2.3.-,2.0,,
2.5.1,2.0,,
2.8.3,2.0,,
4.4.1,2.0,,
2.1.1,2.0,,
1.-.-,1.9,,
1.2.3,1.1,,
2.6.1,1.0,,
6.1.2,1.0,,
3.5.3,1.0,,
6.3.1,0.9,,
6.3.4,0.8,,
2.1.2,0.5,,
2.2.1,0.5,,
6.3.2,0.5,,
3.4.11,0.3,,
