EC,Weighted Score,Observed Freq,Reactions
1.14.13,365.6,20,R03476 R06265 R06525 R06526 R06890 ... (20 reactions)
1.14.14,47.6,9,R07046 R07054 R08271 R08274 R08325 ... (9 reactions)
1.14.11,37.5,8,R02397 R03376 R03451 R04073 R05466
1.14.99,27.1,1,R04437
1.14.15,26.2,3,R02723 R04854 R05739
1.14.-,21.0,5,R07431 R07448 R08173 R09102 R09460
1.17.4,11.9,,
1.14.18,10.4,,
1.17.1,9.9,,
1.14.16,8.7,,
1.14.12,7.9,1,R05425
1.17.99,4.8,2,R05745 R07374
1.7.1,4.7,,
1.5.99,2.9,,
1.1.1,2.1,1,R07105
1.14.17,2.0,2,R02535 R03912
1.17.2,2.0,,
1.3.99,1.9,,
1.97.1,1.9,,
1.10.3,1.9,,
1.13.11,1.7,,
1.1.4,1.7,,
1.10.99,1.7,,
1.13.12,1.3,,
1.17.3,1.1,,
1.1.99,1.0,1,R04249
1.17.-,1.0,1,R05495
1.-.-,1.0,,
1.17.7,1.0,,
1.3.7,1.0,,
1.14.20,1.0,,
1.7.3,0.9,,
1.6.6,0.8,,
2.6.3,0.8,,
1.8.99,0.8,,
1.4.-,0.8,,
1.1.-,0.8,,
4.1.99,0.7,,
1.7.2,0.3,,
3.7.1,0.2,,
