RPAIR,Score,EC,KO
RP13342,0.132,2.3.1.94,K10817
RP12951,0.127,,K16007
RP03942,0.121,4.4.1.14,K01762
RP13956,0.093,,K15988
RP13959,0.072,,K16000 K16001 K16002
RP13963,0.072,,K16000 K16001 K16002 K16003
RP13969,0.068,,K14371
RP13991,0.068,,K14371
RP13980,0.060,,K14371
RP14002,0.060,,K14371
RP03918,0.057,4.2.3.12,K01737
RP01909,0.052,4.2.3.16,K15088
RP05467,0.052,4.2.3.20,K15096
RP11142,0.050,4.2.3.23,K14179
RP05585,0.049,4.2.3.108,K07385
RP15064,0.049,4.2.3.60,K15802
RP11143,0.049,4.2.3.75,K10187 K15803
RP15063,0.049,4.2.3.55,K15794
RP15287,0.049,4.2.3.38,K14177
RP15054,0.048,4.2.3.40,K15795
RP15053,0.048,4.2.3.59,K15796
RP12985,0.048,4.2.3.56,K14186
RP12980,0.047,4.2.3.- 4.2.3.104,K14184
RP11144,0.047,4.2.3.22,K10187 K15803
RP05354,0.044,4.2.3.120,K07384
RP05353,0.042,4.2.3.119,K07384
RP15747,0.040,4.2.3.130,K16188
RP01947,0.040,4.2.3.8,K12929
