RPAIR,Score,EC,KO
RP03290,0.388,6.1.1.3,K01868
RP13085,0.358,6.1.1.11,K01875
RP03288,0.358,6.1.1.11,K01875
RP03294,0.358,6.1.1.9,K01873
RP03276,0.353,6.1.1.5,K01870
RP03280,0.346,6.1.1.6,K04566 K04567 K04568
RP03282,0.342,6.1.1.10,K01874
RP03270,0.339,6.1.1.18,K01886
RP02710,0.339,2.3.2.- 2.3.2.10 6.1.1.7,K01872 K05363 K12554
RP13893,0.337,6.1.1.26,K11627
RP03260,0.337,6.1.1.19,K01887
RP03268,0.335,6.1.1.24,K09698
RP03278,0.335,6.1.1.4,K01869
RP04407,0.330,6.1.1.10,K01874
RP03266,0.329,6.1.1.16,K01883 K01884
RP03264,0.328,6.1.1.22,K01893
RP00730,0.324,1.2.1.70 6.1.1.17 6.1.1.24,K01885 K02492 K09698 K14163
RP03262,0.320,6.1.1.23,K09759
RP05172,0.316,6.1.1.12 6.1.1.23,K01876 K09759
RP00152,0.309,2.3.2.16 2.3.2.17 2.3.2.18 6.1.1.14,K01878 K01879 K01880 K11693 K11694 K11695 K14164
RP03274,0.307,6.1.1.21,K01892
RP03284,0.299,6.1.1.20,K01889 K01890
RP02600,0.285,6.1.1.1,K01866
RP13535,0.280,6.1.1.27,K07587
RP03292,0.274,6.1.1.2,K01867
RP04213,0.266,2.3.1.129,K00677
RP15672,0.208,,K16036
RP03286,0.206,6.1.1.15,K01881 K14163
RP05660,0.198,,K15999
RP04363,0.197,2.3.1.150,K13393
RP05659,0.184,,K15999
RP02864,0.171,2.3.1.107,K12698
RP15679,0.170,2.1.3.-,K16035
RP05658,0.155,,K15999
RP15225,0.155,3.2.1.175,K15748
RP11913,0.152,2.3.1.-,K12932
RP11914,0.148,2.3.1.-,K12932
RP00527,0.146,2.3.1.91 2.3.1.92,K09756 K09757
RP12142,0.145,2.3.1.-,K12932
RP09582,0.140,2.3.1.214,K12935
RP09329,0.136,,K12713
RP09454,0.133,2.3.1.162,K12923
RP12433,0.130,1.-.-.- 3.2.1.31,K01195
RP00224,0.122,2.3.1.26 3.1.1.13,K00637 K01052 K12298 K14674
RP00226,0.117,2.3.1.43,K00650
