EC,Weighted Score,Observed Freq,Reactions
1.1.1,690.7,37,R01608 R01644 R01773 R01775 R01781 ... (34 reactions)
1.1.99,29.7,1,R01025
1.1.3,25.3,2,R00033 R01022
2.3.1,13.9,,
1.14.13,10.7,,
1.1.5,9.9,,
1.1.-,8.7,3,R09448 R09455 R09456
1.1.2,7.9,3,R05285 R06981 R09128
5.3.3,4.6,,
1.14.11,3.9,,
1.14.-,3.0,,
1.1.98,2.0,,
1.4.3,2.0,,
1.-.-,1.9,,
1.6.5,1.3,,
1.6.99,1.3,,
1.2.1,1.1,,
5.1.3,1.0,,
1.14.15,1.0,1,R07409
4.2.1,1.0,,
1.1.9,1.0,,
1.3.1,1.0,,
1.14.12,0.9,,
1.6.1,0.9,,
1.6.3,0.9,,
6.4.1,0.6,,
5.4.99,0.5,,
1.11.1,0.4,,
4.1.1,0.3,,
