reactionID,predictions
R02997,3.1.1;2.3.1;3.1.2;-
R05764,2.1.1;2.5.1;2.3.3;4.4.1
R10549,1.2.1;1.5.1;1.17.1;1.8.1
R01488,1.1.1;1.3.1;1.5.1;1.4.1
R02610,1.5.1;1.12.1;1.18.1;1.6.2
R02954,1.8.1;1.1.1;1.16.1;1.3.1
R09129,1.8.1;1.16.1;1.1.1;1.3.1
R07212,1.14.13;1.6.3;1.14.14;1.14.99
R08035,-;3.6.1;3.1.3;5.1.3
R07447,1.3.1;1.8.1;1.1.1;1.5.1
R08304,1.14.13;1.1.1;1.3.1;1.6.3
R04844,1.8.1;1.16.1;1.1.1;1.3.1
R12636,3.2.1;3.2.2;3.1.4;3.1.1
R11072,4.2.1;4.4.1;5.4.4;1.14.14
R09680,3.5.1;3.4.19;3.1.1;3.2.2
R11953,2.1.1;2.5.1;2.3.3;2.3.1
R09099,4.4.1;4.2.1;2.3.1;3.1.1
R11589,2.3.1;4.1.1;1.2.4;4.4.1
R04555,2.7.4;2.7.1;7.5.2;2.7.2
R06921,-;1.14.13;1.14.12;1.1.1
R00841,3.1.3;3.6.1;3.1.7;3.1.4
R12236,1.16.1;1.8.1;1.6.2;1.18.1
R04373,3.6.1;3.1.3;3.2.1;2.4.1
R05409,1.13.11;3.3.2;1.14.99;1.13.99
R11534,2.1.1;2.3.1;2.3.3;2.5.1
R10974,2.3.1;3.1.1;4.1.1;4.4.1
R08045,1.16.1;1.8.1;1.7.1;1.6.2
R09563,1.11.1;1.16.1;1.8.1;1.11.2
R02581,1.8.1;1.16.1;1.1.1;1.3.1
R11094,3.5.4;2.4.2;3.5.99;1.5.99
R12797,3.1.6;3.1.1;4.2.2;3.6.1
R03045,4.2.1;4.4.1;5.4.4;1.14.14
R09726,2.4.2;2.4.1;2.7.1;2.7.7
R02706,3.1.3;3.6.1;2.7.1;2.7.6
R02599,2.3.1;1.1.1;1.3.1;2.7.1
R01511,3.1.3;3.6.1;3.1.7;4.2.3
R12817,2.7.1;2.7.6;3.1.3;3.6.1
R12910,1.13.12;1.17.3;1.7.1;4.99.1
R10496,2.7.7;2.7.1;2.4.2;6.1.1
R03396,1.16.1;1.8.1;1.1.1;1.3.1
R09820,1.2.1;1.5.1;1.17.1;1.4.1
R08651,1.1.1;1.3.1;1.8.1;1.16.1
R10039,3.1.1;4.2.2;3.1.3;2.3.1
R01036,1.1.1;1.3.1;1.2.1;2.3.1
R02150,1.4.3;1.5.3;1.1.3;1.2.3
R02561,1.6.3;1.14.13;1.14.14;1.14.18
R11335,1.14.18;7.1.1;1.10.3;1.6.5
R08714,2.6.1;1.4.1;1.4.99;4.3.1
R09371,2.1.1;2.3.1;2.5.1;4.4.1
R03308,5.5.1;4.2.99;5.3.3;1.21.3
R13445,2.5.1;2.4.2;2.1.1;2.4.1
R03157,2.8.3;3.1.2;2.3.1;6.2.1
R09724,3.1.1;2.3.1;3.1.2;3.5.1
R02010,2.5.1;5.5.1;4.2.3;3.1.3
R04591,2.7.7;6.2.1;6.1.1;2.7.1
R02914,4.2.1;4.4.1;2.3.1;1.14.14
R00844,1.1.1;1.3.1;2.3.1;1.14.13
R08879,1.1.1;1.3.1;1.8.1;2.3.1
R01088,1.16.1;1.8.1;1.1.1;1.6.2
R01717,5.3.3;5.3.99;2.5.1;1.1.1
R09286,2.8.3;3.1.2;2.3.1;6.2.1
R10170,4.2.1;4.4.1;5.4.4;1.14.14
R10003,6.2.1;2.7.1;2.7.7;2.7.2
R06945,1.14.13;1.6.3;1.14.14;1.14.18
R03519,2.4.1;2.4.2;3.6.1;3.2.1
R12741,3.6.1;3.6.5;3.1.3;2.4.2
R00708,1.8.1;1.3.1;1.1.1;1.16.1
R05247,1.6.3;1.14.13;1.14.18;1.10.3
R11776,1.3.1;1.1.1;1.5.1;1.8.1
R04611,3.4.16;3.4.11;5.4.1;3.4.19
R10093,2.7.4;2.7.1;3.6.1;2.4.2
R03220,1.3.3;1.3.99;3.5.2;1.3.8
R03590,1.3.3;1.1.3;3.5.2;4.2.1
R06352,1.14.13;1.6.3;1.14.14;1.14.15
R05585,4.1.1;2.5.1;4.4.1;3.1.3
R12903,3.1.3;3.6.1;2.7.1;2.4.1
R13236,2.1.1;2.3.1;3.1.1;4.4.1
R10470,2.7.7;6.1.1;2.4.2;2.7.1
R04456,1.14.13;1.5.1;1.6.3;1.14.14
R02341,2.4.1;3.2.1;2.4.2;3.6.1
R11997,2.4.1;2.4.2;3.6.1;3.1.3
R07821,2.4.2;3.2.2;7.6.2;3.6.1
R04091,2.5.1;4.4.1;5.3.99;4.2.1
R02973,3.4.19;3.1.1;3.5.1;3.4.16
R09936,1.14.14;4.99.1;1.14.13;5.4.4
R05462,1.14.13;1.1.1;1.6.3;1.3.1
R12481,1.3.1;1.1.1;1.5.1;1.3.99
R11462,2.3.1;2.8.3;3.1.2;4.1.3
R11351,1.2.3;1.1.3;1.21.3;1.6.3
R10050,4.1.2;2.2.1;5.3.1;3.1.3
R04640,3.5.99;5.3.1;3.5.4;3.8.1
R11932,4.1.1;2.7.11;3.7.1;2.5.1
R10178,2.6.1;2.7.2;5.3.1;3.5.1
R05768,2.4.1;2.4.2;3.6.1;3.1.3
R02370,3.1.3;3.6.1;3.1.7;4.2.3
R07478,1.16.1;1.1.1;1.14.13;1.14.14
R11103,3.1.6;3.1.1;4.2.2;2.3.1
R00390,2.3.1;2.8.3;3.1.2;6.2.1
R12466,2.3.1;3.1.1;2.8.3;3.1.2
R02118,2.4.1;2.4.2;2.7.8;3.6.1
R11368,1.14.13;1.14.14;1.13.12;1.6.3
R01480,3.2.1;5.1.3;2.4.1;4.2.2
R12997,1.1.1;1.3.1;2.3.1;1.8.1
R00833,5.4.99;5.4.3;5.4.1;5.4.2
R05408,1.13.11;3.3.2;1.14.99;1.2.1
R02555,1.1.1;1.3.1;1.8.1;1.16.1
R02946,1.16.1;1.8.1;1.1.1;1.8.4
R05363,3.7.1;4.1.1;4.2.99;3.3.2
R05222,2.7.7;2.4.2;6.1.1;6.2.1
R04890,1.4.3;1.1.3;1.5.3;1.13.12
R11620,1.1.3;1.21.3;1.14.18;1.2.3
R03738,3.4.19;4.2.2;3.5.1;5.4.99
R01031,3.4.11;3.5.1;4.3.1;3.4.13
R11911,1.1.1;1.3.1;1.14.13;1.5.1
R04507,2.7.1;2.3.1;2.7.8;2.7.6
R02036,4.2.1;4.4.1;5.4.4;1.14.14
R05807,3.1.3;2.5.1;3.6.1;4.1.1
R03640,1.1.3;1.14.11;1.2.3;1.6.3
