,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,NaN,F0IZP3,NaN,Acidiphilium multivorum,12.0,MNXR151216,MNXR166845_0.36741166853516766_nan|MNXR176619_0.36675302790959136_nan,1.14.13.81,NaN,0.0,0.36745,NaN,1,0.367450,-,-,-,-,-,-,-,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CCC(C)CCC/C(C)=C/C/C1=C(\C)C(=O)C2=CC=CC=C2C1=O.O=O.S1[Fe]S[Fe+]1.S1[Fe]S[Fe+]1.[H+].[H+]>>C/C1=C(\C/C=C(\C)CCCC(C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CO)C(=O)C2=CC=CC=C2C1=O.S1[Fe+]S[Fe+]1.S1[Fe+]S[Fe+]1.[H]O[H],C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c4c5n1[Mg-2]31n3c(c(C)c(C=C)c3=C2)=CC2=[N+]1C(=C5[C@@H](C(=O)OC)C4=O)C(CCC(=O)O)=C2C.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+].C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c(CCC(=O)OC)c4n1[Mg-2]31n3c(c(C)c(C=C)c3=C2)=CC2=[N+]1C(=C4)C(CCC(=O)[O-])=C2C
2,NaN,P0DJN9,Aerobic magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase,Rubrivivax gelatinosus OX=28068,12.0,MNXR151216,MNXR166845_0.36741166853516766_nan|MNXR176619_0.36675302790959136_nan,1.14.13.81,3.0,0.0,0.36745,NaN,1,0.367450,42.7,22.5,20.5,19.0,41513.42,9.2346,44.413,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CCC(C)CCC/C(C)=C/C/C1=C(\C)C(=O)C2=CC=CC=C2C1=O.O=O.S1[Fe]S[Fe+]1.S1[Fe]S[Fe+]1.[H+].[H+]>>C/C1=C(\C/C=C(\C)CCCC(C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CO)C(=O)C2=CC=CC=C2C1=O.S1[Fe+]S[Fe+]1.S1[Fe+]S[Fe+]1.[H]O[H],C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c4c5n1[Mg-2]31n3c(c(C)c(C=C)c3=C2)=CC2=[N+]1C(=C5[C@@H](C(=O)OC)C4=O)C(CCC(=O)O)=C2C.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+].C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c(CCC(=O)OC)c4n1[Mg-2]31n3c(c(C)c(C=C)c3=C2)=CC2=[N+]1C(=C4)C(CCC(=O)[O-])=C2C
3,NaN,B6ITV8,NaN,Rhodospirillum centenum,12.0,MNXR151216,MNXR166845_0.36741166853516766_nan|MNXR176619_0.36675302790959136_nan,1.14.13.81,NaN,0.0,0.36745,NaN,1,0.367450,-,-,-,-,-,-,-,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CCC(C)CCC/C(C)=C/C/C1=C(\C)C(=O)C2=CC=CC=C2C1=O.O=O.S1[Fe]S[Fe+]1.S1[Fe]S[Fe+]1.[H+].[H+]>>C/C1=C(\C/C=C(\C)CCCC(C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CO)C(=O)C2=CC=CC=C2C1=O.S1[Fe+]S[Fe+]1.S1[Fe+]S[Fe+]1.[H]O[H],C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c4c5n1[Mg-2]31n3c(c(C)c(C=C)c3=C2)=CC2=[N+]1C(=C5[C@@H](C(=O)OC)C4=O)C(CCC(=O)O)=C2C.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+].C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c(CCC(=O)OC)c4n1[Mg-2]31n3c(c(C)c(C=C)c3=C2)=CC2=[N+]1C(=C4)C(CCC(=O)[O-])=C2C
4,NaN,C5AV79,NaN,Methylorubrum extorquens,12.0,MNXR151216,MNXR166845_0.36741166853516766_nan|MNXR176619_0.36675302790959136_nan,1.14.13.81,NaN,0.0,0.36745,NaN,1,0.367450,-,-,-,-,-,-,-,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CCC(C)CCC/C(C)=C/C/C1=C(\C)C(=O)C2=CC=CC=C2C1=O.O=O.S1[Fe]S[Fe+]1.S1[Fe]S[Fe+]1.[H+].[H+]>>C/C1=C(\C/C=C(\C)CCCC(C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CO)C(=O)C2=CC=CC=C2C1=O.S1[Fe+]S[Fe+]1.S1[Fe+]S[Fe+]1.[H]O[H],C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c4c5n1[Mg-2]31n3c(c(C)c(C=C)c3=C2)=CC2=[N+]1C(=C5[C@@H](C(=O)OC)C4=O)C(CCC(=O)O)=C2C.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+].C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c(CCC(=O)OC)c4n1[Mg-2]31n3c(c(C)c(C=C)c3=C2)=CC2=[N+]1C(=C4)C(CCC(=O)[O-])=C2C
5,NaN,A5EQ73,Aerobic magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase,Bradyrhizobium sp. (strain BTAi1 / ATCC BAA-1182) OX=288000,13.0,MNXR151216,MNXR166845_0.36741166853516766_nan|MNXR176619_0.36675302790959136_nan,1.14.13.81,3.0,0.0,0.36745,NaN,1,0.367450,55.5,13.6,16.6,19.0,41245.97,9.4486,42.776,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CCC(C)CCC/C(C)=C/C/C1=C(\C)C(=O)C2=CC=CC=C2C1=O.O=O.S1[Fe]S[Fe+]1.S1[Fe]S[Fe+]1.[H+].[H+]>>C/C1=C(\C/C=C(\C)CCCC(C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CO)C(=O)C2=CC=CC=C2C1=O.S1[Fe+]S[Fe+]1.S1[Fe+]S[Fe+]1.[H]O[H],C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c4c5n1[Mg-2]31n3c(c(C)c(C=C)c3=C2)=CC2=[N+]1C(=C5[C@@H](C(=O)OC)C4=O)C(CCC(=O)O)=C2C.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+].C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c(CCC(=O)OC)c4n1[Mg-2]31n3c(c(C)c(C=C)c3=C2)=CC2=[N+]1C(=C4)C(CCC(=O)[O-])=C2C
6,NaN,B3Q7D4,Aerobic magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase,Rhodopseudomonas palustris (strain TIE-1) OX=395960,13.0,MNXR151216,MNXR166845_0.36741166853516766_nan|MNXR176619_0.36675302790959136_nan,1.14.13.81,3.0,0.0,0.36745,NaN,1,0.367450,47.6,20.6,19.8,16.6,42497.25,9.8684,44.384,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CCC(C)CCC/C(C)=C/C/C1=C(\C)C(=O)C2=CC=CC=C2C1=O.O=O.S1[Fe]S[Fe+]1.S1[Fe]S[Fe+]1.[H+].[H+]>>C/C1=C(\C/C=C(\C)CCCC(C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CO)C(=O)C2=CC=CC=C2C1=O.S1[Fe+]S[Fe+]1.S1[Fe+]S[Fe+]1.[H]O[H],C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c4c5n1[Mg-2]31n3c(c(C)c(C=C)c3=C2)=CC2=[N+]1C(=C5[C@@H](C(=O)OC)C4=O)C(CCC(=O)O)=C2C.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+].C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c(CCC(=O)OC)c4n1[Mg-2]31n3c(c(C)c(C=C)c3=C2)=CC2=[N+]1C(=C4)C(CCC(=O)[O-])=C2C
7,NaN,Q6N9J7,Aerobic magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase,Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594,13.0,MNXR151216,MNXR166845_0.36741166853516766_nan|MNXR176619_0.36675302790959136_nan,1.14.13.81,3.0,0.0,0.36745,NaN,1,0.367450,47.3,20.6,19.8,16.9,42483.22,9.8684,44.384,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CCC(C)CCC/C(C)=C/C/C1=C(\C)C(=O)C2=CC=CC=C2C1=O.O=O.S1[Fe]S[Fe+]1.S1[Fe]S[Fe+]1.[H+].[H+]>>C/C1=C(\C/C=C(\C)CCCC(C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CO)C(=O)C2=CC=CC=C2C1=O.S1[Fe+]S[Fe+]1.S1[Fe+]S[Fe+]1.[H]O[H],C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c4c5n1[Mg-2]31n3c(c(C)c(C=C)c3=C2)=CC2=[N+]1C(=C5[C@@H](C(=O)OC)C4=O)C(CCC(=O)O)=C2C.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+].C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c(CCC(=O)OC)c4n1[Mg-2]31n3c(c(C)c(C=C)c3=C2)=CC2=[N+]1C(=C4)C(CCC(=O)[O-])=C2C
8,NaN,Q132P2,Aerobic magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase,Rhodopseudomonas palustris (strain BisB5) OX=316057,13.0,MNXR151216,MNXR166845_0.36741166853516766_nan|MNXR176619_0.36675302790959136_nan,1.14.13.81,3.0,0.0,0.36745,NaN,1,0.367450,52.4,20.2,16.8,15.1,42708.58,9.7855,43.869,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CCC(C)CCC/C(C)=C/C/C1=C(\C)C(=O)C2=CC=CC=C2C1=O.O=O.S1[Fe]S[Fe+]1.S1[Fe]S[Fe+]1.[H+].[H+]>>C/C1=C(\C/C=C(\C)CCCC(C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CO)C(=O)C2=CC=CC=C2C1=O.S1[Fe+]S[Fe+]1.S1[Fe+]S[Fe+]1.[H]O[H],C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c4c5n1[Mg-2]31n3c(c(C)c(C=C)c3=C2)=CC2=[N+]1C(=C5[C@@H](C(=O)OC)C4=O)C(CCC(=O)O)=C2C.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+].C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c(CCC(=O)OC)c4n1[Mg-2]31n3c(c(C)c(C=C)c3=C2)=CC2=[N+]1C(=C4)C(CCC(=O)[O-])=C2C
9,NaN,I0HUK7,Aerobic magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase,Rubrivivax gelatinosus (strain NBRC 100245 / IL144) OX=983917,13.0,MNXR151216,MNXR166845_0.36741166853516766_nan|MNXR176619_0.36675302790959136_nan,1.14.13.81,3.0,0.0,0.36745,NaN,1,0.367450,43.0,21.6,19.9,20.2,41516.46,8.5554,43.855,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CCC(C)CCC/C(C)=C/C/C1=C(\C)C(=O)C2=CC=CC=C2C1=O.O=O.S1[Fe]S[Fe+]1.S1[Fe]S[Fe+]1.[H+].[H+]>>C/C1=C(\C/C=C(\C)CCCC(C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CO)C(=O)C2=CC=CC=C2C1=O.S1[Fe+]S[Fe+]1.S1[Fe+]S[Fe+]1.[H]O[H],C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c4c5n1[Mg-2]31n3c(c(C)c(C=C)c3=C2)=CC2=[N+]1C(=C5[C@@H](C(=O)OC)C4=O)C(CCC(=O)O)=C2C.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+].C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c(CCC(=O)OC)c4n1[Mg-2]31n3c(c(C)c(C=C)c3=C2)=CC2=[N+]1C(=C4)C(CCC(=O)[O-])=C2C
10,NaN,A4YNQ1,Aerobic magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase,Bradyrhizobium sp. (strain ORS 278) OX=114615,13.0,MNXR151216,MNXR166845_0.36741166853516766_nan|MNXR176619_0.36675302790959136_nan,1.14.13.81,3.0,0.0,0.36745,NaN,1,0.367450,53.1,16.6,19.0,16.0,41481.13,9.2970,43.909,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CCC(C)CCC/C(C)=C/C/C1=C(\C)C(=O)C2=CC=CC=C2C1=O.O=O.S1[Fe]S[Fe+]1.S1[Fe]S[Fe+]1.[H+].[H+]>>C/C1=C(\C/C=C(\C)CCCC(C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CO)C(=O)C2=CC=CC=C2C1=O.S1[Fe+]S[Fe+]1.S1[Fe+]S[Fe+]1.[H]O[H],C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c4c5n1[Mg-2]31n3c(c(C)c(C=C)c3=C2)=CC2=[N+]1C(=C5[C@@H](C(=O)OC)C4=O)C(CCC(=O)O)=C2C.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+].C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c(CCC(=O)OC)c4n1[Mg-2]31n3c(c(C)c(C=C)c3=C2)=CC2=[N+]1C(=C4)C(CCC(=O)[O-])=C2C
