EC,Weighted Score,Observed Freq,Reactions
2.3.1,858.1,71,R01624  R01626  R01706  R02768  R04355  ... (34 reactions)
6.2.1,80.3,5,R01406  R04449  R07325  R08905  R09475
3.1.1,71.0,,
3.1.2,59.9,11,R01706  R02814  R04014  R04450  R08157  ... (9 reactions)
1.2.1,36.8,4,R04390  R04863  R09484  R09485
6.1.1,27.0,,
2.3.3,22.9,,
2.3.2,20.7,1,R08909
3.5.1,13.4,,
1.2.7,10.2,,
3.7.1,7.1,,
3.2.1,3.8,,
2.1.3,3.1,,
1.2.4,3.1,,
1.8.1,3.1,,
1.1.1,3.0,,
4.1.3,2.5,,
2.3.-,2.0,,
2.8.3,2.0,,
2.5.1,2.0,,
4.4.1,2.0,,
2.1.1,2.0,,
1.-.-,1.9,,
1.2.3,1.1,,
2.6.1,1.0,,
6.1.2,1.0,,
3.5.3,1.0,,
6.3.1,0.8,,
6.3.4,0.7,,
2.1.2,0.5,,
2.2.1,0.5,,
6.3.2,0.5,,
3.4.11,0.3,,
