RPAIR,Score,EC,KO
RP00203,0.630,1.3.1.44 1.3.3.6 1.3.8.1 1.3.8.7 1.3.99.-,K00232 K00248 K00249 K06445 K09478
RP11251,0.613,4.2.1.17,K01692 K07511 K07514 K07515
RP02698,0.613,4.2.1.55,K01715
RP02697,0.613,4.2.1.17 4.2.1.55,K01692 K01715 K01782 K01825 K07511 K07514 K07515 K10527 K13767 K15016
RP02411,0.562,4.2.1.134 4.2.1.17 4.2.1.74,K07511 K07515 K10703
RP00729,0.538,1.3.8.4 1.3.8.7,K00249 K00253
RP00260,0.500,1.3.1.- 1.3.1.84 1.3.8.7,K00249 K14469 K15020
RP00783,0.479,1.3.1.38 1.3.1.8 1.3.3.6 1.3.8.1 1.3.8.7 1.3.8.8 1.3.99.-,K00232 K00248 K00249 K00255 K06445 K07512 K09478
RP11450,0.458,1.3.8.1 1.3.8.7 1.3.99.12,K00248 K00249 K09478 K11410
RP03765,0.438,4.2.1.17,K01692 K01782 K01825 K07511 K07514 K07515
RP04392,0.434,4.2.1.17 4.2.1.74,K01692 K01782 K01825 K07511 K07514 K07515 K10527
RP02717,0.419,4.2.1.116 4.2.1.17,K01692 K01782 K01825 K07511 K07514 K07515 K14469 K15019
RP03834,0.405,4.2.1.17,K01692 K01782 K01825 K07511 K07514 K07515
RP04069,0.403,4.2.1.59,K00665 K00668 K01716 K02372 K11533 K16363
RP00391,0.385,1.3.8.1 1.3.8.7 1.3.99.- 1.3.99.12,K00248 K00249 K09478 K11410 K11538
RP00755,0.375,1.3.1.10 1.3.1.9 2.3.1.86,K00208 K00209 K00665 K00668 K02371 K10780 K11533
RP00711,0.374,1.3.1.38 1.3.1.8 1.3.3.6 1.3.8.7 1.3.8.8 1.3.99.-,K00232 K00249 K00255 K06445 K07512
RP11169,0.354,1.3.8.6 1.3.99.32,K00252 K16173
RP04389,0.343,4.2.1.17 4.2.1.74,K01692 K01782 K01825 K07511 K07514 K07515 K10527 K13767
RP11927,0.340,1.3.99.-,K06446
RP04913,0.337,1.3.1.62,K04118
RP11353,0.333,1.3.99.-,K11731
RP03855,0.329,4.2.1.17,K01692 K01782 K01825 K07511 K07514 K07515
RP00418,0.321,1.3.8.6,K00252
RP11928,0.310,4.2.1.17,K01692 K01782 K01825 K07511 K07514 K07515
RP01963,0.296,4.2.1.18,K05607 K13766
RP00807,0.292,1.3.1.10 1.3.1.9 2.3.1.85 2.3.1.86,K00208 K00665 K00668 K02371 K10780 K11533
RP04565,0.280,2.3.1.85 2.3.1.86 4.2.1.59,K00665 K00668 K01716 K02372 K11533 K16363
RP00262,0.279,1.3.1.38 1.3.1.8 1.3.3.6 1.3.8.7 1.3.8.8 1.3.99.-,K00232 K00249 K00255 K06445 K07512
RP14554,0.272,,K09709
RP14559,0.269,1.3.1.85,K14446
RP04387,0.263,4.2.1.17 4.2.1.74,K01692 K01782 K01825 K07511 K07514 K07515 K10527 K13767
RP11250,0.257,5.3.3.3,K14534
RP12166,0.239,1.3.3.6,K00232
RP15922,0.239,1.3.1.10,K00208
RP12162,0.238,1.3.3.6,K00232
RP12227,0.235,4.2.1.17,K01692 K01782 K01825
RP15920,0.230,4.2.1.59,K02372
RP00808,0.228,1.3.1.10 1.3.1.9 2.3.1.85 2.3.1.86,K00208 K00665 K00668 K02371 K10780 K11533
RP12163,0.228,4.2.1.17 4.2.1.74,K10527
RP04181,0.221,2.3.1.85 2.3.1.86 4.2.1.59,K00665 K00668 K01716 K02372 K11533 K16363
RP12167,0.220,4.2.1.17 4.2.1.74,K10527
RP15929,0.219,1.3.1.10,K00208
RP11885,0.214,4.2.1.17,K01692 K01782 K01825
RP11884,0.214,4.2.1.17,K01692 K01782 K01825
RP14561,0.214,,K14448
RP15928,0.209,4.2.1.59,K02372
RP00254,0.205,1.3.1.38 1.3.1.8 1.3.3.6 1.3.8.7 1.3.8.8 1.3.99.-,K00232 K00249 K00255 K06445 K07512
RP03803,0.199,4.2.1.17 4.2.1.74,K01692 K01782 K01825 K07511 K07514 K07515 K10527 K13767
RP12170,0.191,1.3.3.6,K00232
