EC,Weighted Score,Observed Freq,Reactions
2.3.1,822.4,13,R00209 R00212 R01624 R02569 R04355
6.2.1,77.0,,
3.1.1,68.8,,
3.1.2,61.6,,
1.2.1,37.8,,
2.5.1,28.9,,
6.1.1,26.6,,
2.3.3,22.8,,
2.1.1,21.5,,
2.3.2,19.9,,
1.2.7,16.9,2,R01196
4.4.1,12.9,,
1.2.4,9.9,1,R00209
4.1.3,9.2,,
3.5.1,7.4,,
1.8.1,7.0,1,R00209
4.1.2,5.8,,
2.1.3,5.7,,
4.1.1,5.5,,
1.14.-,5.0,,
1.1.1,4.9,,
3.2.1,4.7,,
6.4.1,3.2,,
3.7.1,3.1,,
1.8.3,3.0,,
2.8.1,2.9,,
1.14.99,2.7,,
1.2.3,2.3,1,R00211
4.2.1,2.0,,
2.3.-,2.0,,
1.13.11,2.0,,
2.8.3,2.0,,
1.-.-,1.8,,
2.1.2,1.2,,
2.6.1,1.0,,
3.3.1,1.0,,
4.5.1,1.0,,
6.1.2,1.0,,
1.14.18,0.9,,
6.3.4,0.7,,
1.4.4,0.5,,
1.14.12,0.4,,
3.11.1,0.4,,
3.10.1,0.3,,
6.3.1,0.3,,
2.1.4,0.2,,
2.8.2,0.2,,
3.5.4,0.2,,
