Reaction name,SIMMER pred
R06826,2.4.1
R04920,4.1.2
R02295,2.4.2
R07226,3.5.1
R12771,
R11542,3.1.2;2.3.1
R12658,
R06498,2.4.1
R08367,3.1.4
R06366,1.2.1;1.1.1
R02334,3.1.6;3.2.1
R11213,4.1.2
R04922,3.2.1
R07906,3.1.1
R00807,
R00627,2.3.1
R06028,1.10.3
R03238,2.7.1
R11051,1.1.1
R01231,3.5.4
R06203,3.2.1
R12761,5.3.1;4.2.1
R10545,3.1.1
R11409,4.2.1;2.6.1
R07657,1.13.11
R00472,2.3.3;2.3.1
R01416,3.5.3
R03511,
R01676,3.5.1;3.5.4
R07891,2.3.1
R11947,3.5.1
R01189,2.1.1
R09757,2.4.1
R09914,5.4.99
R10124,3.5.1
R09000,2.5.1
R05092,4.2.3
R04378,2.4.2
R01361,1.1.1
R06634,2.6.1
R07145,1.1.1
R11134,1.3.1;1.1.1
R10741,1.14.11
R00732,1.3.1;1.1.1
R03685,3.2.1
R11495,4.1.1
R03439,1.3.1;1.1.1
R02506,1.2.1
R12333,3.5.1
R03854,4.1.1
R03681,2.4.1
R05621,1.14.12;1.3.1;1.1.1
R07177,3.1.1
R08373,4.2.3
R02003,2.5.1;4.2.3
R05674,2.1.1
R01184,5.3.1
R03502,2.6.1
R10207,
R09776,2.7.4;2.7.1
R01570,2.4.2
R03303,1.13.11
R08124,2.7.1
R04656,2.4.1
R07498,1.3.1;1.14.13;1.1.1
R07633,4.4.1;4.1.3
R10451,2.1.1
R10621,3.5.1
R07014,3.3.2
R10090,6.3.2
R01270,3.2.2
R03345,
R09299,
R07301,3.5.1
R06885,
R10619,5.1.3
R09689,5.4.99
R01945,2.3.1
R08353,6.3.1
R05052,3.8.1
R12298,3.5.1;5.4.99
R04756,5.3.3
R01281,2.3.1
R02433,2.6.1
R09956,1.1.1
R12807,2.4.1
R12125,3.1.3
R05835,3.5.1
R02493,2.7.1
R09185,1.13.11
R03668,2.3.1
R03346,3.1.3
R08708,5.1.3
R07001,1.14.12;1.14.13;1.1.1
R03607,2.7.1
R03098,6.3.4;2.7.7
R09089,2.6.1
R08203,1.3.1
R02456,1.1.1
R05334,1.4.3
R03123,1.1.1
R05114,2.4.1
R01730,1.3.1;1.5.1;1.1.1
R01312,3.1.1
R09408,1.14.13;1.1.1
R04643,3.1.4
R00883,2.7.7;2.4.1
R07109,3.3.2
R03693,4.2.1
R02790,2.4.1
R05625,3.6.1;2.7.1
R06679,
R02789,2.4.1
R11678,1.14.19;1.1.1
R10586,2.1.1
R08863,
R10990,2.4.1
R01924,3.1.1
R10824,2.1.1
R12916,2.4.1
R05559,3.5.4
R02093,
R10512,1.14.13;1.1.1
R00670,
R06824,2.1.1
R04867,2.1.1
R00590,4.2.1
R07296,2.3.1
R05312,1.3.1;1.1.1
R10874,2.4.1
R02367,2.3.1
R06158,
R12947,4.2.1
R10407,3.1.4
R09697,4.2.1;4.1.1
R02976,2.7.1
R01214,2.6.1
R07149,1.14.13;1.1.1
R00103,2.7.7;2.4.1
R10278,2.3.1
R08738,2.3.1
R12816,2.4.2;2.4.1;2.5.1
R06389,1.3.1;1.1.1
R06974,2.7.3;6.3.4;2.7.1
R10624,5.4.99
R12582,2.7.7
R12391,
R08809,2.3.1
R09250,2.5.1
R01900,4.2.1
R09384,2.7.7
R08597,5.1.3
R12259,4.2.3
R11048,1.4.3
R11100,
R01061,1.1.1
R06945,1.4.1;1.1.1
R09555,1.14.13;1.3.1
R10141,2.6.1
R07727,1.3.1;1.1.1
R02815,3.5.4;3.5.1
R11193,2.1.1
R12634,3.2.1
R06243,
R12515,3.1.1
R02605,4.3.1
R11718,4.1.2
R13108,1.13.11
R02665,1.13.11
R00624,1.14.13;1.17.1;1.1.1
R02179,2.4.1
R07052,1.5.1;1.1.1
R03799,2.5.1
R02979,
R09446,1.14.13;1.1.1
R02251,2.3.1
R11503,
R01140,2.7.1
R08403,
R04208,6.3.3
R12384,2.4.1
R09835,4.2.1;4.1.99
R03188,3.5.4
R05565,3.5.4
R10692,1.3.1
R09600,5.1.3
R11242,3.1.1
R03228,5.1.3
R07499,1.3.1;1.14.13;1.1.1
R07310,5.4.99
R00806,2.4.1
R12868,5.3.1
R06551,1.14.20
R01434,1.14.12;1.1.1
R02030,5.3.1;2.7.7
R10765,5.3.1
R06112,3.1.3
R12527,3.2.1
R02142,2.4.2
R03461,4.1.1
R11417,2.4.1
R05506,2.3.1
R08547,2.1.1
R06398,1.5.1;1.1.1
R04557,1.3.1;1.1.1
R12313,5.1.3
R10896,4.2.3
R00223,4.3.1;4.4.1
R12577,2.3.1
R04072,2.4.1
R11026,1.14.12;1.3.1;1.1.1
R00256,3.5.1
R10068,1.3.1
R04741,1.1.1
R08824,2.4.1
R11488,1.11.1;1.10.3
R07318,4.2.1
R08867,2.7.7
R01709,1.2.3
R04884,1.10.3
R09786,1.14.13;1.17.1;1.1.1
R02260,1.14.13;1.1.1
R00766,2.4.1
R09237,1.13.11
R05381,
R08540,4.2.3
R12942,4.2.1
R01181,5.4.99
R10040,3.2.1
R09416,1.3.1;1.5.1;1.1.1
R02355,1.1.1
R00081,1.13.11
R05782,4.2.1
R01780,2.8.3
R00828,1.1.1
R12407,1.14.11
R12573,3.6.1;2.7.1
R02817,3.1.4
R06927,1.14.12;1.1.1
R11510,4.2.1
R04450,3.5.1
R10459,1.1.1
R01207,5.1.3
R06467,1.1.1
R00490,4.3.1
R10408,4.3.1;4.2.1
R08227,3.5.2;3.5.1
R04321,3.1.4
R06895,
R05030,6.3.5
R05554,3.5.3;3.5.99
R08170,4.4.1
R04495,2.4.1
R02925,
R09305,
R00331,2.7.4
R01030,3.1.4
R09608,4.2.3
R10976,3.5.1
R03577,1.2.1;1.1.1
R12260,4.2.3
R09574,4.2.3
R05548,3.1.8
R04567,2.7.7
R02465,3.2.1
R08242,5.1.3
R04225,
R02897,2.4.1
R03633,2.1.1
R03778,2.3.1
R12722,
R06490,2.4.1
R09941,2.4.1
R09625,5.5.1
R05716,
R00262,2.6.1
R05391,5.5.1
R01251,1.7.1;1.1.1
R06863,5.3.1
R00012,3.6.1
R05676,2.1.1
R04575,2.4.1
R06832,1.3.1;1.1.1
R08733,2.3.1
R05642,1.13.11
R09660,3.5.4
R00980,1.14.19;1.1.1
R05148,1.3.1;1.1.1
R13080,3.5.4
R12364,4.2.3
R12258,4.2.3
R00113,1.14.13;1.1.1
R03269,3.5.1
R01533,5.1.3
R05759,2.1.1
R04273,5.1.3
R00630,3.1.1;3.5.1
R08879,1.3.1;1.1.1
R08633,4.4.1
R10161,1.3.1
R07796,2.8.3
R00837,3.2.1;2.4.1
R07688,4.5.1
R02173,1.4.3
R05574,3.5.4
R08521,1.21.98;1.11.1
R07379,3.1.1
R12909,1.14.13;1.1.1
R05771,
R10987,2.4.1
R01902,2.7.1
R11214,4.2.1
R07165,1.1.1
R06424,5.3.2
R06588,2.7.1
R06981,
R07405,5.4.99;3.5.4
R06886,
R12873,
R10484,2.3.1
R09405,1.5.1;1.1.1
R12974,3.1.1
R09654,
R04744,4.2.1
R06809,3.1.6;3.1.7
R02452,2.3.1
R06970,3.5.4
R01764,4.1.1
R12606,2.6.1
R11837,4.2.3
R10804,2.4.2;2.4.1
R11537,2.7.7
R01252,1.14.11
R08274,1.3.1;1.5.1;1.1.1
R04368,2.7.7
R09560,1.4.3
R00889,5.1.3
R12452,1.14.11
R05394,5.5.1
R10113,1.1.1
R00127,2.7.7
R13382,3.1.1
R08681,4.2.1
R06676,5.5.1
R01248,1.3.1;1.1.1
R06802,2.4.1
R02447,2.3.1
R11798,2.1.1
R13377,1.14.13;1.1.1
R07081,1.7.1;1.5.1;1.1.1
R10530,3.2.1
R12711,4.2.1
R05646,2.7.1
R02409,3.1.1
R07613,2.6.99;2.6.1
R08219,
R09724,3.1.1
R10133,3.5.99
R00031,
R07174,5.1.3
R04913,2.6.1
R05429,1.3.1;1.1.1
R12624,3.5.1;3.5.2
R08533,2.4.1
R05774,4.1.1
R11106,3.5.4
R09892,4.2.3
R00264,1.1.1
R01294,1.1.1
R11290,1.1.1
R05608,4.2.1
R08694,3.2.1
R12501,
R12356,5.3.3
R07336,2.1.2;2.4.1
R00551,3.5.3
R05532,2.1.1
R08990,
R11229,2.7.1
R07621,
R00656,
R00197,
R06865,
R11218,2.1.1
R13164,2.4.1
R04832,1.1.1
R09159,1.1.1
R11672,2.6.1
R05063,2.3.3;2.3.1
R13047,3.1.7
R09929,1.1.1
R07221,
R03031,5.3.3
R12012,2.4.1
R10920,1.14.11
R02084,2.8.3
R01754,2.7.1
R11823,4.2.3
R10272,4.2.3
R05149,
R07350,1.5.1;1.14.13
R06951,5.3.99
R01080,3.2.2
R07967,1.3.1;1.1.1
R12457,1.14.13;1.17.1;1.1.1
R12785,1.1.1
R11277,1.14.13;1.1.1
R12767,3.6.1;2.7.1
R12640,2.7.7;6.3.5
R06853,1.10.3
R04359,2.4.1
R05150,1.3.1
R02191,2.3.1
R08233,2.7.1
R08255,2.5.1
R07921,2.1.1
R10849,3.1.4
R05061,3.2.1
R03067,2.5.1
R05631,2.4.1
R04859,3.5.1
R02111,2.4.1
R01651,1.2.1
R13432,3.5.1
R04257,5.4.4
R01943,2.3.1
R12348,2.4.1
R02014,3.2.1
R00716,1.5.1;1.1.1
R02670,1.13.11
R08396,4.2.3
R04027,1.4.3;1.5.3
