RPAIR,Score,EC,KO
RP11999,0.964,1.14.-.-,K09590 K12640
RP00792,0.957,1.1.1.146,K15680
RP00415,0.940,1.1.1.- 1.1.1.146,K00071 K15680
RP00714,0.937,1.1.1.- 1.1.1.146,K00071 K15680
RP00785,0.927,1.1.1.146,K15680
RP14082,0.909,1.1.1.295,K13070
RP13728,0.874,1.1.1.181,K12408
RP03893,0.874,1.1.1.181,K12408
RP14036,0.874,1.1.1.181,K12408
RP13718,0.873,1.1.1.181,K12408
RP13719,0.873,1.1.1.181,K12408
RP00472,0.871,1.1.1.145 5.3.3.1,K00070 K01822
RP00422,0.867,1.1.1.145 5.3.3.1,K00070 K01822
RP01523,0.867,1.1.1.145 1.1.3.6 5.3.3.1,K03333 K16045
RP00776,0.866,1.1.1.145 5.3.3.1,K00070 K01822
RP00386,0.865,1.1.1.145 5.3.3.1,K00070 K01822
RP00731,0.864,1.1.1.145 5.3.3.1,K00070 K01822
RP00661,0.863,1.1.1.145 5.3.3.1,K00070 K01822
RP00795,0.862,1.1.1.145 5.3.3.1,K00070 K01822
RP00494,0.861,1.1.1.145 5.3.3.1,K00070 K01822
RP15616,0.830,5.3.3.1,K01822
RP09445,0.829,,K12920
RP14139,0.814,1.1.1.62,K00044 K10251 K13368 K13369 K13370 K13373
RP00675,0.811,1.1.1.51,K05296
RP00491,0.803,1.1.1.239 1.1.1.51 1.1.1.64,K04119 K05296 K10207 K13368 K13369 K13370
RP05632,0.799,,K14373
RP05634,0.799,,K14373
RP05633,0.796,,K14373
RP05635,0.795,,K14373
RP15487,0.791,1.3.99.4,K05898
RP14621,0.768,1.14.13.106,K12645
RP14618,0.768,1.14.13.106,K12645
RP12008,0.760,1.1.1.170,K07748
RP09136,0.737,1.1.1.50,K00037
RP00786,0.728,1.1.1.50,K00037
RP07501,0.724,1.14.99.9,K00512
RP00791,0.719,1.1.1.50,K00037
RP01796,0.718,1.14.99.9,K00512
RP11539,0.716,1.1.1.270,K09827 K13373
RP00790,0.716,1.1.1.50,K00037
RP03963,0.715,1.1.1.50,K00037
RP14149,0.714,1.1.1.213,K00089 K04119
RP00789,0.712,1.1.1.50,K00037
RP00794,0.712,1.1.1.50,K00037
RP14146,0.712,1.1.1.213,K00089 K04119
RP14145,0.712,1.1.1.213,K00089 K04119
RP02161,0.711,1.1.3.16,K10724
RP00381,0.708,1.1.1.209 1.1.1.213 1.1.1.50,K00037
RP00748,0.708,1.1.1.152 1.1.1.50,K00037
RP15617,0.708,1.1.1.51,K05296
RP00793,0.707,1.1.1.50,K00037
RP12004,0.702,1.14.-.-,K09589
RP00788,0.700,1.1.1.50,K00037
RP11993,0.697,1.14.-.-,K09589
RP15618,0.695,1.1.1.51,K05296
RP00777,0.502,1.1.1.62,K00044 K10251 K13368 K13369 K13370 K13373
RP00698,0.500,1.1.1.218,K03378
RP04720,0.499,1.1.1.247,K13394
RP00350,0.489,1.1.1.51 1.1.1.62,K00044 K05296 K10251 K13368 K13369 K13370 K13373
RP11654,0.462,1.14.11.31,K14976
RP04335,0.429,1.1.1.248,K13392
RP14985,0.411,1.14.13.121,K15472
RP02594,0.367,1.1.1.236,K05354
RP02541,0.367,1.1.1.206,K08081
