RPAIR,Score,EC,KO
RP14031,0.032,4.1.99.-,K11782
RP13342,0.023,2.3.1.94,K10817
RP12951,0.023,,K16007
RP13956,0.019,,K15988
RP13967,0.018,,K14371
RP13989,0.018,,K14371
RP13959,0.018,,K16000 K16001 K16002
RP13963,0.017,,K16000 K16001 K16002 K16003
RP11142,0.017,4.2.3.23,K14179
RP15064,0.017,4.2.3.60,K15802
RP13978,0.017,,K14371
RP11143,0.017,4.2.3.75,K10187 K15803
RP12979,0.017,4.2.3.71,K15801
RP14000,0.017,,K14371
RP15053,0.016,4.2.3.59,K15796
RP12985,0.016,4.2.3.56,K14186
RP12980,0.016,4.2.3.- 4.2.3.104,K14184
RP05354,0.015,4.2.3.120,K07384
RP01947,0.014,4.2.3.8,K12929
RP12978,0.014,4.2.3.57,K14184 K15808
RP14370,0.013,4.2.3.29,K14037
RP14371,0.013,4.2.3.30,K14038
RP10678,0.012,4.3.3.6,K06215 K08681
RP05498,0.012,4.2.3.32,K14041
RP05497,0.012,4.2.3.32,K14041
RP13558,0.010,4.2.3.124,K13546
