RPAIR,Score,EC,KO
RP01377,0.502,4.1.1.61,K01612
RP01123,0.489,4.1.1.46,K14333
RP01120,0.466,1.14.13.1,K00480
RP03032,0.458,1.14.13.114,K14974
RP09286,0.433,1.14.13.1,K00480
RP09393,0.409,1.14.13.1,K00480
RP04981,0.408,4.1.1.55,K04102
RP11614,0.382,4.1.1.-,K03182 K03186
RP09641,0.370,1.14.13.1,K00480
RP03839,0.368,4.1.1.21,K01587 K11808
RP14551,0.363,,K15063
RP01649,0.357,4.1.1.55,K04102
RP01201,0.250,4.1.1.23,K01591 K13421
RP09574,0.207,,K12722
RP16073,0.192,,K16874 K16875
RP05236,0.170,1.14.13.1 1.14.13.135,K00480
RP02963,0.165,2.4.2.19,K00767
RP04595,0.152,4.1.1.-,K03182 K03186
