reaction,REACTION_ID,true_EC
10001-3.5.1.50-Q,10001,3.5.1.50
10041-3.1.3.7-Q,10041,3.1.3.7
10045-1.1.1.245-Q,10045,1.1.1.245
10061-2.3.1.34-Q,10061,2.3.1.34
10089-2.4.1.167-Q,10089,2.4.1.167
10133-6.2.1.25-Q,10133,6.2.1.25
10145-3.1.3.6-Q,10145,3.1.3.6
10245-3.7.1.2-Q,10245,3.7.1.2
10305-2.3.1.40-Q,10305,2.3.1.40
10457-2.3.1.79-Q,10457,2.3.1.79
10461-5.3.3.9-Q,10461,5.3.3.9
10517-1.1.1.166-Q,10517,1.1.1.166
10569-2.4.1.189-Q,10569,2.4.1.189
10717-5.5.1.4-Q,10717,5.5.1.4
10757-2.7.9.1-Q,10757,2.7.9.1
10789-2.7.1.13-Q,10789,2.7.1.13
10829-6.2.1.32-Q,10829,6.2.1.32
10857-2.4.1.47-Q,10857,2.4.1.47
10881-3.2.2.25-Q,10881,3.2.2.25
10925-5.2.1.10-Q,10925,5.2.1.10
11073-1.14.12.1-Q,11073,1.14.12.1
11093-1.1.1.8-Q,11093,1.1.1.8
11093-1.1.1.94-Q,11093,1.1.1.94
11225-6.3.2.4-Q,11225,6.3.2.4
11257-2.4.1.210-Q,11257,2.4.1.210
11265-1.6.3.1-Q,11265,1.6.3.1
11265-1.6.3.3-Q,11265,1.6.3.3
11273-1.1.5.10-Q,11273,1.1.5.10
11349-7.3.2.7-Q,11349,7.3.2.7
11481-1.14.13.23-Q,11481,1.14.13.23
11497-2.5.1.53-Q,11497,2.5.1.53
11525-1.3.1.3-Q,11525,1.3.1.3
11537-1.1.3.17-Q,11537,1.1.3.17
11541-1.1.1.233-Q,11541,1.1.1.233
11565-2.4.1.321-Q,11565,2.4.1.321
11597-4.1.1.23-Q,11597,4.1.1.23
11629-4.1.1.1-Q,11629,4.1.1.1
11697-2.1.1.139-Q,11697,2.1.1.139
11709-1.1.1.205-Q,11709,1.1.1.205
11801-3.6.1.22-Q,11801,3.6.1.22
11837-2.4.3.1-Q,11837,2.4.3.1
11877-1.1.1.141-Q,11877,1.1.1.141
11881-1.5.3.5-Q,11881,1.5.3.5
11897-1.1.1.181-Q,11897,1.1.1.181
11901-1.1.1.286-Q,11901,1.1.1.286
11901-1.1.1.87-Q,11901,1.1.1.87
11941-3.5.1.20-Q,11941,3.5.1.20
11961-2.6.1.17-Q,11961,2.6.1.17
11977-1.14.13.38-Q,11977,1.14.13.38
12073-3.8.1.11-Q,12073,3.8.1.11
12093-5.1.2.4-Q,12093,5.1.2.4
12101-4.2.1.110-Q,12101,4.2.1.110
12145-2.4.1.116-Q,12145,2.4.1.116
12169-1.1.1.54-Q,12169,1.1.1.54
12197-4.1.2.22-Q,12197,4.1.2.22
12281-2.7.1.149-Q,12281,2.7.1.149
12297-3.5.99.16-Q,12297,3.5.99.16
12321-1.3.1.73-Q,12321,1.3.1.73
12333-7.2.2.7-Q,12333,7.2.2.7
12369-1.1.99.4-Q,12369,1.1.99.4
12501-1.5.1.25-Q,12501,1.5.1.25
12581-1.5.1.23-Q,12581,1.5.1.23
12602-2.6.1.39-Q,12602,2.6.1.39
12654-1.1.1.38-Q,12654,1.1.1.38
12654-1.1.1.39-Q,12654,1.1.1.39
12702-1.17.4.2-Q,12702,1.17.4.2
12802-2.7.11.26-Q,12802,2.7.11.26
12826-1.21.4.3-Q,12826,1.21.4.3
12890-1.1.1.45-Q,12890,1.1.1.45
12906-2.7.7.22-Q,12906,2.7.7.22
12946-3.13.1.3-Q,12946,3.13.1.3
12970-3.1.4.46-Q,12970,3.1.4.46
13038-3.5.4.17-Q,13038,3.5.4.17
13038-3.5.4.18-Q,13038,3.5.4.18
13106-3.1.3.19-Q,13106,3.1.3.19
13114-1.7.1.12-Q,13114,1.7.1.12
13214-1.2.1.16-Q,13214,1.2.1.16
13214-1.2.1.79-Q,13214,1.2.1.79
13454-2.8.2.25-Q,13454,2.8.2.25
13510-2.7.7.23-Q,13510,2.7.7.23
13614-2.7.1.90-Q,13614,2.7.1.90
13634-6.3.1.11-Q,13634,6.3.1.11
13690-2.7.1.79-Q,13690,2.7.1.79
13738-1.3.1.102-Q,13738,1.3.1.102
13738-1.3.1.74-Q,13738,1.3.1.74
13814-1.14.12.3-Q,13814,1.14.12.3
13930-3.5.3.11-Q,13930,3.5.3.11
13942-2.7.1.28-Q,13942,2.7.1.28
13986-2.7.1.39-Q,13986,2.7.1.39
13990-2.7.7.12-Q,13990,2.7.7.12
14002-2.3.1.65-Q,14002,2.3.1.65
14026-3.5.4.24-Q,14026,3.5.4.24
14042-3.2.1.119-Q,14042,3.2.1.119
14070-1.1.1.124-Q,14070,1.1.1.124
14074-4.1.1.16-Q,14074,4.1.1.16
14106-1.5.1.2-Q,14106,1.5.1.2
14226-1.1.1.258-Q,14226,1.1.1.258
14306-6.1.1.15-Q,14306,6.1.1.15
14342-2.2.1.5-Q,14342,2.2.1.5
14358-2.7.1.26-Q,14358,2.7.1.26
14370-3.1.3.18-Q,14370,3.1.3.18
14378-4.1.3.14-Q,14378,4.1.3.14
14402-1.1.1.225-Q,14402,1.1.1.225
14438-1.4.3.14-Q,14438,1.4.3.14
14466-3.1.3.15-Q,14466,3.1.3.15
14474-1.3.1.93-Q,14474,1.3.1.93
14506-2.8.1.3-Q,14506,2.8.1.3
14558-3.2.1.125-Q,14558,3.2.1.125
14562-2.3.1.145-Q,14562,2.3.1.145
14570-4.2.1.28-Q,14570,4.2.1.28
14690-1.14.12.9-Q,14690,1.14.12.9
14706-1.8.1.14-Q,14706,1.8.1.14
14754-1.14.14.19-Q,14754,1.14.14.19
14754-1.14.14.32-Q,14754,1.14.14.32
14770-1.5.99.4-Q,14770,1.5.99.4
14814-5.1.1.15-Q,14814,5.1.1.15
14910-1.1.1.19-Q,14910,1.1.1.19
14914-2.7.1.114-Q,14914,2.7.1.114
14982-1.1.1.51-Q,14982,1.1.1.51
14982-1.1.1.64-Q,14982,1.1.1.64
15122-2.8.1.5-Q,15122,2.8.1.5
15130-1.14.14.99-Q,15130,1.14.14.99
15298-2.4.1.133-Q,15298,2.4.1.133
15350-2.3.1.35-Q,15350,2.3.1.35
15366-2.4.2.61-Q,15366,2.4.2.61
15426-1.3.98.3-Q,15426,1.3.98.3
15466-2.7.1.91-Q,15466,2.7.1.91
15474-2.4.1.236-Q,15474,2.4.1.236
15582-2.3.1.115-Q,15582,2.3.1.115
15602-2.8.3.17-Q,15602,2.8.3.17
15610-2.7.6.1-Q,15610,2.7.6.1
15614-1.3.1.76-Q,15614,1.3.1.76
15674-3.1.2.11-Q,15674,3.1.2.11
15782-5.4.3.6-Q,15782,5.4.3.6
15954-2.7.3.10-Q,15954,2.7.3.10
15974-2.8.2.4-Q,15974,2.8.2.4
15990-1.1.1.34-Q,15990,1.1.1.34
15994-1.14.13.40-Q,15994,1.14.13.40
