reaction_id,EC Number,BEC-Pred,SelenzymeRF,SIMMER,Theia,BridgIT,E-zyme1,E-zyme2,MajorityVote,MajorityVoteCore4
R03681,2.4.1.186,2.4.1,2.4.1.111;2.4.1.35;2.4.1.170;3.1.3.48,2.4.1,2.4.1;2.4.2;3.2.1;2.7.7;4.1.3,2.4.1.186;2.4.2.40;2.4.99.18,2.4.1;3.2.1;2.4.2;3.1.4;6.1.1;4.2.2;5.1.3;6.5.1;3.1.1;2.4.99;4.2.1;3.1.3;3.6.1;2.7.8;4.3.3,2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;3.6.1;2.4.2;2.4.2;2.4.2;2.4.99;2.4.2;2.4.99;2.4.2;2.4.1;4.2.3;2.7.8,2.4.1,2.4.1
R02297,2.4.2.1,2.4.2,2.4.2.-|2.4.2.1,2.4.2,2.4.2;2.7.1;2.7.8;3.2.2;2.4.1,2.4.2.1;2.4.1.118;2.4.99.18,2.4.2;3.2.2;2.4.1;4.3.3;2.7.8;1.14.14;1.14.11;3.5.1;6.3.4;4.1.3;2.6.1,2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;3.2.2;2.4.2;2.4.2;2.4.2;2.4.2;3.2.2;2.4.2;2.4.2;2.4.1;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;1.14.14;2.4.2;3.2.2;2.4.2;3.2.2;2.4.1;2.4.2;1.13.12;1.13.12;1.13.12;1.13.12,2.4.2,2.4.2
R11326,4.2.3.154,4.2.3,4.2.3.154;2.2.1.2,4.2.3,4.2.3;3.1.7;3.1.3;4.1.2;3.1.5,,,4.2.1;4.2.1;4.2.1;4.2.1;4.2.1;3.1.3;4.2.1;4.2.1;4.2.1;4.2.1;4.2.1;4.2.1;4.3.1;5.1.3;1.1.1;4.2.1;5.1.2;5.3.1;4.2.1;1.1.1;4.2.1;4.2.1;4.2.3;1.14.13;1.1.1;1.14.99;4.2.3;4.2.3,4.2.3,4.2.3
R10782,4.2.1.120,4.2.1,1.3.8.1;4.2.1.120;4.2.1.17;4.2.1.-|4.2.1.134,4.2.1,4.2.1;2.3.1;3.1.2;3.1.1;1.14.14,3.1.7.2;3.1.3.7;3.1.4.52;3.6.1.20;3.1.5.1;4.6.1.13;3.2.1.184;2.4.1.17;5.1.3.14;3.1.1.31;4.2.3.1;3.1.6.9;3.1.2.30;4.2.1.155;3.11.1.3;3.7.1.8;2.3.1.85,1.3.8;1.3.99;1.3.1;2.3.1;1.3.3,1.3.1;1.3.8;1.3.1;4.2.1;4.2.1;4.2.1;4.2.1;1.3.1;1.3.8;4.2.1;1.3.1;4.2.1;1.3.1;4.2.1;4.2.1;1.3.8;1.3.8;1.3.8;1.3.99;1.3.1;1.3.99;1.3.1;4.2.1;4.2.1;4.2.1;1.3.1;4.2.1;4.2.1;1.3.1;5.3.3;1.3.1;1.3.1;1.3.3;1.3.3;2.3.1;1.3.1;4.2.1;1.3.1;4.2.1;4.2.1;4.2.1,4.2.1,4.2.1
R09764,2.4.99.14,1.1.99,2.4.99.12|2.4.99.13;2.4.99.1;2.7.8.41;2.7.8.46;2.7.8.14;3.6.1.26;3.1.3|3.1.3.2,,5.4.99;2.3.1;1.14.13;1.1.1;1.-.-,,,,2.4.99,2.4.99
R10443,3.6.1.5,3.6.1,3.6.1.5;3.6.1.15|3.6.1.5,3.6.1,3.6.1;3.-.-;3.1.4;3.1.3;3.6.4,3.6.1.5;3.6.5.1;3.6.3.55;3.6.4.1;3.1.3.81,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;1.2.4;1.8.1;2.1.3;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,1.2.1;1.2.1;1.2.1;1.2.1;1.2.1;1.2.1,3.6.1,3.6.1
R13248,4.2.2.29,3.4.23,3.4.17.14|3.4.17.8;3.4.16.4|3.4.17.8;6.3.2.42;3.4.17.21;6.3.1.9;3.1.2.6,,2.5.1;3.4.22;1.14.12;3.4.21;5.3.3,,,,3.4.17,3.4.17
R12867,6.1.1.13,6.3.2,3.6.1.5;6.3.2.14;6.3.2.39;6.1.1.15,,1.14.13;2.3.1;1.14.14;2.5.1;4.1.1,,,,6.3.2,6.3.2
R13043,1.11.1.12,1.11.1,1.8.4.2;1.8.1.7;1.8.1.12;2.5.1.18,,1.11.1;5.3.3;1.14.99;4.2.1;2.5.1,,1.11.1;1.14.21;1.14.99;1.10.3;1.1.1;1.1.3;1.1.99;1.2.99;1.1.2;4.1.2,1.11.1;1.11.1;1.14.99,1.11.1,1.11.1
R05222,2.7.7.62,2.5.1,2.1.1.326;1.14.13.187;2.7.4.3,2.7.7;3.5.1,2.7.4;2.7.1;2.1.1;6.2.1;2.7.2,2.7.6.5;2.7.7.96;2.7.1.86;2.7.8.44;2.7.4.8;2.7.2.8;2.7.14.1;2.7.3.3;2.7.11.7;2.7.10.1;2.7.12.1;6.3.5.5;2.7.99.1,,,2.7.7,2.1.1|2.7.4
