reaction_id,EC Number,BEC-Pred,SelenzymeRF,SIMMER,Theia,BridgIT,E-zyme1,E-zyme2,MajorityVote,MajorityVoteCore4
R10609,2.4.2.56,2.4.2,2.4.1.91;2.4.1.234;2.4.1.35|2.4.1.91;3.2.1.21,2.4.2;2.4.1,2.4.2;2.4.1;2.3.1;5.1.3;2.4.-,2.4.1.234;2.4.2.56;2.4.99.18,2.4.1;3.2.1;2.4.2;3.1.4;6.1.1;4.2.2;5.1.3;6.5.1;3.1.1;2.4.99;4.2.1;3.1.3;3.6.1;2.7.8;4.3.3,2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;3.6.1;2.4.2;2.4.2;2.4.2;2.4.99;2.4.2;2.4.2;2.4.99;2.4.1;4.2.3;2.7.8,2.4.1,2.4.1
R13196,4.2.99.25,5.3.1,4.2.2.6;3.2.1.172;3.2.1.179;5.3.1.17;4.2.2.26;3.2.1.180;5.5.1.27;5.5.1.25;4.2.1.68;4.2.1.90;4.2.1.67;4.2.1.158;4.2.1.40;4.2.1.42;4.2.1.156;4.2.2.11;4.2.2.24,5.5.1,4.2.2;5.3.1;5.5.1;1.1.3;2.4.1,1.13.11.54;1.13.12.4;1.13.99.1;1.14.13.239,,4.2.2;4.2.3,4.2.2,4.2.2
R01963,3.10.1.1,3.1.6,3.10.1.1;3.5.1.33;2.3.1.78;3.2.1.147;3.2.2.1;3.2.1.21,3.10.1;3.5.1,3.2.1;3.1.6;3.10.1;3.4.13;3.4.17,,3.10.1;2.8.2,2.8.2,3.10.1,3.10.1
R02750,2.7.1.15|2.7.1.229,2.7.1,2.7.1.15|2.7.1.229;2.7.1.40;5.4.2|5.4.2.2|5.4.2.7,2.7.1,2.7.1;2.7.2;3.1.3;3.6.1;2.1.1,2.7.1.15;2.7.2.7;6.3.5.5;2.7.3.8;2.7.7.96;2.7.11.2;2.7.4.8;2.7.14.1;2.7.10.1;2.7.12.1;2.7.6.1;2.7.8.4;2.7.99.1,,,2.7.1,2.7.1
R08870,2.3.3.18,2.3.3,2.3.3.13|4.1.3.-,2.3.3;2.3.1,2.3.3;2.3.1;3.1.2;3.2.1;4.1.3,2.3.3.18;2.3.1.182;6.2.1.1;2.3.2.14;2.1.3.5;1.2.1.95;6.1.2.2;6.3.1.20;6.3.4.10;2.1.2.2,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;1.2.4;1.8.1;2.1.3;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,1.1.1;2.3.1;2.3.1;1.2.1;1.2.1;3.1.2;1.2.1;6.2.1;6.2.1;2.3.1;2.3.1;1.2.7;2.3.1;3.1.2;1.2.7;1.2.1;1.2.7;1.2.1;2.3.1;1.2.4;1.2.1;6.2.1;6.2.1;2.3.1;2.3.1;2.3.1;2.3.1;6.2.1;2.3.1,2.3.1,2.3.3
R00192,3.13.2.1,3.3.1,2.1.1.15;2.1.1.80;4.2.1.22;6.3.5.9;2.5.1.48;3.2.2.19;3.2.2.24;2.3.1.24;2.6.1.57;2.7.8.24;2.3.1.24|2.3.1.291|2.3.1.297|2.3.1.298;2.7.8.11;3.5.1.114,3.3.1;2.5.1,3.3.1;3.13.1;4.4.1;3.1.2;4.2.1,3.3.1.1;3.2.2.1;4.2.1.22;3.1.2.13;3.3.2.4;2.5.1.18;3.2.1.86;1.14.14.1;2.3.1.85;3.1.1.35;3.7.1.8;2.1.1.246,4.4.1;2.5.1;4.2.1;1.8.3;3.3.1;2.1.2;1.1.1;1.8.1;4.5.1;2.3.1;4.1.99,3.3.1;4.4.1,3.3.1,3.3.1
R03789,2.4.2.64,2.1.1,2.4.2.64;2.4.2.29,,2.4.2;3.2.2;2.4.1;1.17.3;4.1.3,,2.4.2;3.2.2;2.4.1;1.14.14;1.14.11;2.7.8;3.5.1;6.3.4;4.3.3;4.1.3;2.6.1,2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;3.2.2;3.2.2;2.4.2;2.4.2;2.4.2;2.4.1;2.4.2;2.4.2;2.4.2;3.2.2;3.2.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.1;1.14.14,2.4.2,2.4.2
R02791,2.4.1.87,2.4.1,2.4.1.87;2.4.1.38|2.4.1.90;2.4.1.-|2.4.1.301;2.4.1.22;3.2.1.74;2.4.1.252;2.4.1.338;2.4.1.239;2.4.1.230;2.4.1.-|2.4.1.284;2.4.1.-|2.4.1.297;3.2.1.4,2.4.1,2.7.7;2.4.2;5.1.3;2.3.1;2.4.1,2.4.1.87;2.4.2.34;2.4.99.1,2.4.1;3.2.1;2.4.2;3.1.4;6.1.1;4.2.2;5.1.3;6.5.1;3.1.1;2.4.99;4.2.1;3.1.3;3.6.1;2.7.8;4.3.3,2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;3.6.1;2.4.2;2.4.2;2.4.2;2.4.99;2.4.2;2.4.99;2.4.2;2.4.1;4.2.3;2.7.8,2.4.1,2.4.1
R08010,1.21.3.6,1.21.3,1.21.3.6;1.14.17.1;1.6.3.1;1.14.13.196;1.14.13.72;1.14.12.17;1.14.13.90;1.14.13.119;1.14.13.137;1.14.13.139;1.14.13.138;1.14.13.217;1.14.13.25;1.14.13.239;1.14.12.22;1.14.13.166;1.14.13.84;1.14.13.128;1.14.13.242;1.14.13.64;1.14.13.178;1.14.12.1;1.14.13.179;1.14.13.216;1.14.13.224;1.14.13.211;1.14.13.222;1.14.13.92;1.14.13.107,,1.21.3;1.14.18;1.-.-;1.10.3;1.1.3,,1.21.3,1.21.3;1.21.3;1.21.3,1.21.3,1.21.3
R05563,3.5.1.84,3.5.1,3.5.2.15;3.5.1.84;2.1.3.3|6.3.4.16,3.5.1,3.2.1;3.5.1;3.1.1;3.2.2;3.1.26,3.5.1.84;3.5.3.21;3.5.5.1;3.5.2.16;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;1.2.7.12;3.4.13.22;3.4.11.1;3.5.4.1;4.2.1.48;2.3.2.2;3.1.1.1;3.13.1.6;3.8.1.8;3.4.19.13;3.4.17.8;3.4.14.13;2.1.2.3;3.5.99.8;4.3.2.4,3.5.1;3.5.3;2.1.2;6.3.4;2.3.1;3.5.4;6.3.1;6.3.5;6.3.2;2.1.4;1.2.99;2.3.2;2.1.3;3.4.11;3.4.13,3.5.1;3.5.1;3.5.1;3.5.1;6.3.5;3.5.1;3.5.1;3.5.1;3.5.1;3.5.1;1.4.1;3.5.1;3.5.1;3.5.1;3.5.1;3.5.1;3.5.1;6.3.2,3.5.1,3.5.1
R00491,5.1.1.13,5.1.1,3.5.1.1;6.3.5.4;2.1.3.2,5.1.3,5.1.1;1.4.1;1.4.3;2.6.1;4.3.1,1.13.12.4;1.13.11.54;1.13.99.1;1.14.13.239,5.1.1,5.1.1;5.1.1;5.1.1;5.1.1;5.1.1,5.1.1,5.1.1
R12012,2.4.1.353,2.4.1,2.4.1.353;2.4.1.69;2.4.1|2.4.1.344;2.4.1.68;2.4.1.214;2.4.1.308;2.4.1.13;2.4.1.159;2.4.1.236;2.4.1.17,2.4.1,2.4.1;2.4.-;2.7.7;5.1.3;2.7.1,2.4.1.17;2.4.2.34;2.4.99.18,,5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;5.1.3;5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;4.2.2;1.1.1;1.1.1;4.2.3;5.3.99;5.3.99;5.1.3;1.1.1;4.1.99;1.1.1;4.2.3;4.2.1;4.2.3;5.3.3;4.2.3;5.5.1;4.2.3;1.21.-;4.2.1;1.1.3;1.3.2;4.2.3;4.2.3;4.3.1;4.2.3;2.1.1;4.2.3;1.1.3;5.4.99;1.14.11;4.2.3;5.3.1;1.13.99;1.14.13;4.1.1;5.3.3;1.14.11;1.1.1;5.3.99;2.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.10.3,2.4.1,2.4.1
R04741,1.1.1.35|1.1.1.211,1.1.1,1.1.1.211|1.1.1.35,1.1.1,1.1.1;2.3.1;4.2.1;1.14.13;1.-.-,,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.1;1.6.3;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-,1.1.1,1.1.1
R04340,1.5.1.25,1.5.1,,1.5.1;1.3.1;1.1.1,1.5.1;1.1.1;2.3.1;1.2.1;1.14.13,,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.3;1.6.1;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-,1.5.1,1.5.1
R01337,1.2.1.23,1.2.1,1.2.1.23;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.1.1.337|1.1.1.375;1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4;1.1.1.345,1.14.13;1.17.1;1.1.1,1.2.1;1.1.1;1.2.3;1.4.1;1.5.1,,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.3;1.6.1;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-,1.2.1,1.2.1
R00810,5.4.99.11,5.4.99,5.4.99.11;2.4.1.99;2.4.1.140;2.4.1.82;2.4.1.13;2.4.1.7;3.1.3.79;3.1.3.24;2.7.1.69;2.4.1.329;3.2.1.80;3.2.1.26,5.4.99;3.2.1,5.4.99;2.4.1;5.4.1;3.2.1;2.3.1,2.4.1.166;2.4.99.1;2.4.2.35,,5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;2.6.1;5.3.1;4.2.2;5.1.3;5.3.99;1.1.1;1.1.1;4.2.2;5.1.3;1.1.1;4.2.3;5.4.99;1.1.3;4.2.1;5.5.1;5.3.99;1.14.13;1.1.1;4.2.3,5.4.99,5.4.99
R08759,1.14.15.15,1.1.1,1.1.1.1|1.1.1.161,,1.14.15;1.1.1;1.14.13;4.1.1;1.1.-,4.2.1.98;4.2.3.141;1.14.13.197;3.1.7.12;3.2.1.186;4.2.99.20;3.7.1.21;2.3.1.85;4.3.3.3;4.3.1.9;1.1.1.286;3.3.1.1;4.1.1.56;1.2.1.31;1.4.1.18;2.5.1.119;5.5.1.2;3.5.5.4;1.3.8.6;1.17.98.2;1.1.3.47;3.5.1.110;2.7.8.23,1.1.1;1.1.99;1.1.3;2.3.1;1.14.13;1.1.5;1.1.-;1.1.2;5.3.3;1.14.11;1.14.-;1.1.98;1.4.3;1.-.-;1.6.5;1.6.99;1.2.1;5.1.3;4.2.1;1.14.15;1.3.1;1.1.9;1.6.3;1.6.1;1.14.12;6.4.1;5.4.99;1.11.1;4.1.1,1.14.13;1.1.1,1.1.1,1.1.1
