reaction_id,EC Number,BEC-Pred,CLAIRE,SelenzymeRF,SIMMER,Theia,BridgIT,E-zyme1,E-zyme2,MajorityVote,MajorityVoteCore4
R09087,2.7.4.21,2.7.1,2.7.1;2.7.4;2.7.6;3.6.1,2.7.4.6,3.6.1,2.7.4;2.7.1;2.1.1;6.3.2;1.6.1,2.7.4.24;2.7.7.2;2.7.2.6;2.7.1.82;2.7.3.8;6.3.5.5;2.7.11.15;2.7.14.1;2.7.10.1;2.7.12.1;2.7.8.46;2.7.6.1;2.7.99.1,2.3.1;3.1.1;6.2.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;1.2.7;3.5.1;3.7.1;3.2.1;2.1.3;1.2.4;1.8.1;1.1.1;4.1.3;2.5.1;2.3.-;2.8.3;4.4.1;2.1.1;1.-.-;6.1.2;3.5.3;1.2.3;2.6.1;6.3.1;6.3.4;2.1.2;2.2.1,3.1.1;3.1.1;2.3.1;2.3.1;2.3.1;2.3.1;2.3.1;3.1.1;2.3.1;2.3.1;3.1.1;3.1.1;2.3.1;2.3.1,2.7.4,2.7.4
R12242,2.3.1.276,2.3.1,2.3.1;3.1.1;3.1.2;1.1.1,1.2.1.18;2.3.1.180,2.3.1,2.3.1;2.6.1;3.1.1;3.2.1;2.7.7,2.3.1.157;2.3.2.19;2.1.2.13;2.3.3.14;6.2.1.1;2.1.3.12;6.1.2.2;6.3.4.10;6.3.1.20;1.2.1.95,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;1.2.4;1.8.1;2.1.3;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,1.1.1;2.3.1;2.3.1;1.2.1;1.2.1;1.2.1;3.1.2;6.2.1;6.2.1;2.3.1;2.3.1;1.2.7;2.3.1;1.2.7;3.1.2;1.2.7;1.2.1;1.2.1;2.3.1;1.2.4;1.2.1;6.2.1;6.2.1;2.3.1;2.3.1;2.3.1;2.3.1;6.2.1;2.3.1,2.3.1,2.3.1
R09450,3.1.2.2,3.1.2,2.3.1;3.1.1;1.1.1;3.1.2,3.1.2.2;2.3.1.29;2.3.1.16,2.3.1,3.1.2;3.1.1;2.3.1;6.2.1;2.3.3,2.3.1.33;6.2.1.1;2.3.3.10;2.1.2.3;2.1.3.7;2.3.2.30;6.3.4.10;6.3.1.20;1.2.1.95;6.1.2.2,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;1.2.4;1.8.1;2.1.3;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,1.2.1;1.2.1;1.2.1;3.1.2;2.3.1;2.3.1;1.1.1;2.3.1;6.2.1;1.2.7;1.2.7;3.1.2;2.3.1;1.2.7;2.3.1;6.2.1;1.2.1;2.3.1;1.2.4;6.2.1;1.2.1;1.2.1;2.3.1;2.3.1;6.2.1;6.2.1;1.1.1;2.3.1;2.3.1;2.3.1;2.3.1;2.3.1;6.2.1;2.3.1;6.2.1,2.3.1,3.1.2
R04436,2.1.1.44,2.1.1,2.1.1;2.5.1;2.3.3;4.4.1,2.1.1.98;2.1.1.85;2.1.1.233;2.1.1.354|2.1.1.355|2.1.1.59|2.1.1.60;2.1.1.314,2.1.1,2.1.1;2.3.1;2.5.1;3.1.1;1.-.-,2.1.1.44;2.8.4.4;2.1.2.13;2.1.3.2;2.3.1.101,2.1.1;1.14.14;3.1.1;2.3.1;1.5.3;1.14.11;1.5.8;2.-.-;1.16.1;1.14.99;1.14.13;1.2.7;1.5.99;3.7.1,2.-.-;2.5.1;2.3.1,2.1.1,2.1.1
R03105,2.8.1.2,1.8.4,4.4.1;2.5.1;4.1.99;1.8.4,2.8.1.2;1.8.4.11,3.5.1,2.8.1;1.8.4;5.3.4;1.8.5;1.8.1,,2.8.1;1.13.11;4.2.1,2.8.1,2.8.1,1.8.4
R09097,1.2.1.87,1.2.1,1.2.1;1.5.1;1.1.1;1.8.1,1.2.1.-|1.2.1.10|1.2.1.57|1.2.1.87;1.2.1.27,1.2.1,1.2.1;2.3.1;1.5.1;1.3.1;1.8.1,,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.1;1.6.3;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-,1.2.1,1.2.1
R04582,6.3.4.10,6.3.4,2.7.7;6.2.1;2.7.2;2.3.1,6.3.4.15;3.6.1.5;6.3.2.39;2.7.1.20|2.7.1.74;6.3.2.14;3.5.1.119;2.8.1.11|2.8.1.4,6.3.4,6.3.4;3.5.1;6.4.1;2.7.2;6.3.5,6.3.4.10;6.3.1.19;6.3.2.6;6.3.3.3;6.2.1.39;6.3.5.4;3.5.4.41;3.5.1.18;3.4.14.13;3.4.13.4;2.3.2.2;3.4.17.23;3.13.1.6;3.4.19.13;1.4.1.13;1.4.7.1;4.3.3.6;3.5.5.4;3.5.99.5;3.1.1.1;3.4.11.1;3.5.3.21,3.5.1;6.3.2;2.3.1;2.3.2;6.3.1;3.4.13;6.3.4;3.4.11;3.4.19;2.1.3;3.4.17;3.1.1;6.2.1;2.1.2;3.4.15;6.3.5;3.5.3;2.3.-;3.5.4;4.3.2;3.4.22;3.4.24;1.2.99;1.4.1;4.3.3,3.5.1;6.3.1;6.3.2;3.5.1;3.5.1;6.2.1;6.3.2,6.3.4,6.3.4
R00913,3.5.3.17,3.5.3,3.5.3;3.5.1;3.2.2;3.4.19,3.5.3.1;3.5.3.1|3.5.3.7;3.5.3.17|3.5.3.7;3.5.3.3;3.5.3.22;3.5.3.1|3.5.3.11;3.5.3.-|3.5.3.24;6.3.4.6;3.5.1.84;2.1.3.3,3.5.3,3.5.3;3.5.1;3.2.1;3.5.4;3.4.11,3.5.3.17;3.5.1.6;3.5.5.1;3.4.13.22;3.4.11.1;4.2.1.48;2.3.2.2;3.5.2.16;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.5.4.1;1.2.7.12;3.4.19.13;3.4.14.13;3.4.17.8;3.1.1.1;3.13.1.6;3.8.1.8;2.1.2.3;4.3.2.4;3.5.99.8,3.5.3;2.1.4;1.14.13,2.1.4;2.1.4;3.5.3;3.5.3;2.1.4;6.3.4;3.5.3;3.5.1;3.5.3;2.1.2;3.5.1;1.5.3;2.1.3;3.5.1;2.1.3;2.1.2;2.3.1,3.5.3,3.5.3
R01999,2.3.1.75,2.3.1,2.3.1;3.1.1;3.1.2;2.8.3,2.3.1.24|2.3.1.291|2.3.1.297|2.3.1.298;2.3.1.76;2.3.1.180,3.1.2;2.3.1,2.3.1;1.2.1;3.1.2;2.5.1;2.3.3,2.3.1.75;2.3.3.9;6.2.1.1;2.1.2.13;2.1.3.12;6.1.2.2;1.2.1.95;2.3.2.19;6.3.4.10;6.3.1.20,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;1.2.4;1.8.1;2.1.3;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,2.3.1;2.3.1;1.1.1;1.2.1;1.2.1;3.1.2;1.2.1;6.2.1;2.3.1;6.2.1;2.3.1;1.2.7;2.3.1;1.2.7;3.1.2;1.2.1;1.2.7;1.2.1;2.3.1;1.2.4;1.2.1;6.2.1;6.2.1;2.3.1;2.3.1;2.3.1;6.2.1;2.3.1,2.3.1,2.3.1
R10424,2.4.1.301,2.4.1,2.4.1;2.4.2;3.6.1;3.1.3,2.4.1.87;2.4.1.239;2.4.1.15;2.4.1.236;2.4.1.-|2.4.1.254;2.4.2.51;2.4.1.173;2.4.1.210;2.4.1|2.4.1.297;2.4.1.17,2.4.1,2.7.7;2.4.1;6.2.1;2.7.4;2.5.1,2.4.1.301;2.4.2.9;2.4.99.1,2.4.1;3.2.1;2.4.2;3.1.4;6.1.1;4.2.2;5.1.3;6.5.1;3.1.1;2.4.99;4.2.1;3.1.3;3.6.1;2.7.8;4.3.3,2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;3.6.1;2.4.1;2.4.1;2.4.2;2.4.2;2.4.2;2.4.99;2.4.2;2.4.99;2.4.2;2.4.1;4.2.3;2.7.8,2.4.1,2.4.1
