reaction_id,EC Number,BEC-Pred,SelenzymeRF,SIMMER,Theia,BridgIT,E-zyme1,E-zyme2,MajorityVote,MajorityVoteCore4
R02997,3.1.1.42,3.1.1,2.3.1.98;3.1.1.42;2.3.1|2.3.1.133|2.3.1.99|3.1.2.-;1.1.99.35;5.5.1.1;5.5.1.7;3.2.1.14,3.1.1;3.2.1,3.1.1;2.3.1;3.1.2;3.2.1;3.1.-,3.1.1.42;3.1.3.25;3.1.4.44;3.2.1.175;3.7.1.8;4.6.1.13;3.1.6.1;3.1.7.3;3.6.1.20;3.1.2.31;2.4.1.17;2.3.1.85;4.2.3.1;5.1.3.14;3.1.5.1;3.11.1.3;4.2.1.155,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.2;2.3.3;1.2.7;3.5.1;3.7.1;3.2.1;2.1.3;1.2.4;1.8.1;1.1.1;1.-.-;4.1.3;2.3.-;2.5.1;2.8.3;4.4.1;2.1.1;6.1.2;1.2.3;2.6.1;3.5.3;6.3.2;6.3.1;6.3.4,2.3.1;2.3.1;2.3.1;2.3.1;2.3.1,2.3.1,3.1.1
R05764,2.1.1.145,2.1.1,2.1.1.197;2.1.1.145;2.1.1.80;2.1.1.77,2.1.1,2.1.1;2.3.1;2.5.1;3.5.1;3.1.1,2.1.1.72;2.8.4.4;2.1.2.3;2.3.1.101;2.1.3.2,2.1.1;1.14.14;3.1.1;2.3.1;1.5.3;1.14.11;1.5.8;2.-.-;1.16.1;1.14.99;1.14.13;1.2.7;1.5.99;3.7.1,2.5.1;2.3.1,2.1.1,2.1.1
R10549,1.2.1.50,1.2.1,1.2.1.50;1.2.1.80;1.6.5.4;1.6.3.2;1.3.1.102;1.3.1.102|1.3.1.74;1.12.1.3|1.12.1.5;1.11.1.21;1.11.1.1|1.11.1.2,1.1.1,1.2.1;1.3.1;1.1.1;1.8.1;1.5.1,,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.3;1.6.1;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-,1.2.1,1.2.1
R01488,1.1.1.91,1.1.1,1.1.1|1.1.1.19|1.1.1.2|1.1.1.21|1.1.1.91;1.1.1.21|1.1.1.90;1.6.5.2,1.7.1;1.1.1,1.1.1;1.3.1;1.2.1;1.-.-;1.1.99,,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.3;1.6.1;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-,1.1.1,1.1.1
R02610,1.3.1.22,1.1.1,1.3.1|1.3.1.-|1.3.1.22|1.3.99.-;1.1.1.145|5.3.3.1;1.1.1.181;1.1.1.-|1.1.1.100|2.3.1.85|2.3.1.86;1.3.1.-|1.3.1.10|1.3.1.104|1.3.1.39;1.2.1.-|1.2.1.103|1.2.1.ag,1.3.1;1.1.1,1.3.1;1.3.99;1.1.1;1.3.3;1.3.8,,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.1;1.6.3;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-,1.1.1,1.1.1
R02954,1.3.1.46,1.3.1,1.3.1.45;1.6.5.4;1.11.1.1|1.11.1.2;1.6.3.2;1.12.1.3|1.12.1.5;1.11.1.1|1.14.12.17;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3,1.5.1;1.1.1,1.3.1;4.2.1;1.2.1;1.1.1;5.3.3,,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.1;1.6.3;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-,1.3.1,1.3.1
R09129,1.1.1.306,1.1.1,1.1.1.233;1.1.1.211|1.1.1.35,1.1.1,1.1.1;1.-.-;1.3.1;1.14.13;1.1.5,,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.3;1.6.1;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-,1.1.1,1.1.1
R07212,1.14.16.2,1.14.16,1.14.16.2;1.14.16.7;1.14.16.1;1.14.16.4;1.10.3.1|1.14.18.1;1.14.16.5;4.2.1.96,,1.14.16;1.14.18;4.2.1;1.14.13;2.1.1,1.14.16.2;1.14.99.46;1.14.13.71;1.14.18.1;1.14.14.9;1.14.11.21;1.14.12.9;1.14.15.3;1.2.3.9;1.14.21.2;1.14.19.44;1.10.3.4,1.14.13;1.14.14;1.14.11;1.14.15;1.14.16;1.14.-;1.14.99;1.14.18;1.17.1;1.1.1;1.10.99;1.13.11;1.10.3;1.97.1;3.5.3;1.17.99;1.3.99;1.2.1;1.3.7;1.14.20;4.1.99;3.7.1;1.6.6;1.-.-;1.17.7;1.14.12;1.17.3;1.7.3;1.14.17,1.10.3;1.14.13;1.14.16;1.14.13;1.14.13;1.14.13;1.14.14;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.14;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.14;1.14.13;1.14.13;1.14.13;1.14.14;1.3.7;1.14.13;1.14.13;1.14.14;1.14.14;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;3.8.1;3.8.1;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.12;1.14.12;1.14.13;1.13.11;1.14.16;1.14.13;1.14.13;1.14.16;1.14.13;1.14.13;5.4.99;1.14.13;1.14.12;1.14.13,1.14.16,1.14.16
R08035,1.8.1.22,5.4.4,1.8.99.3|1.8.99.5;1.12.99.6|1.2.7.1|1.2.7.4|1.2.99.2;5.4.4.1;5.4.4.3;1.10.5.1;1.6.5.2,3.5.99,1.8.99;1.14.13;1.7.1;1.-.-;2.5.1,4.3.1.24;3.5.99.5;4.3.2.1;4.2.1.87;4.3.3.1,1.7.1;1.-.-;1.7.2;1.7.7;1.9.6;1.8.99;1.4.-;1.7.99;1.2.7;1.2.99;1.12.99,1.8.99,1.8.99,1.8.99
R07447,1.3.1.22,1.3.1,1.3.1|1.3.1.-|1.3.1.22|1.3.99.-;1.1.1.145|5.3.3.1;1.1.1.-|1.1.1.100|2.3.1.85|2.3.1.86;1.1.1.181;1.3.1.-|1.3.1.10|1.3.1.104|1.3.1.39|2.3.1.86;1.2.1.-|1.2.1.103|1.2.1.ag,1.3.1;1.14.13;1.1.1,1.3.1;1.3.99;1.1.1;1.3.3;1.3.8,1.1.1.201;5.3.3.1;2.3.1.85;1.2.1.3;1.3.1.20;1.17.1.4;1.1.3.16;4.1.1.56;5.4.99.3;1.1.99.9;1.1.5.4;1.4.3.5;4.2.1.155,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.1;1.6.3;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-,1.3.1,1.3.1
