RPAIR,Score,EC,KO
RP12955,1.000,2.5.1.68,K12503
RP15078,1.000,2.5.1.92,K15887
RP01902,1.000,2.5.1.10,K00787 K00795 K00804 K13787 K13789
RP01945,0.961,2.5.1.29,K00804 K13787 K13789
RP01673,0.898,2.5.1.1,K00787 K00795 K00804 K13787 K13789 K14066
RP05142,0.867,2.5.1.87,K11778
RP05210,0.756,2.5.1.82 2.5.1.83,K05355
RP00845,0.648,2.5.1.30,K00805
RP01318,0.565,5.3.3.2,K01823
RP12710,0.554,2.5.1.90,K02523
RP05457,0.553,1.17.1.2,K03527
RP10970,0.476,2.5.1.84 2.5.1.85,K05356
RP13734,0.412,2.5.1.91,K12504 K12505
RP12711,0.360,2.5.1.31,K00806
RP15662,0.360,2.5.1.89,K15888
