COMPOUNDS
ENTRY;GENERATION;KEGG;NAME;STRINGCODE;SPECIES;INCHIKEY;SMILES;ISBIO;FORMULA;CAR
BON;CHARGE;FILENAME;COFACTOR;DATABASE_LINKS;ENERGY;ERROR
reactionsS
ENTRY;KEGG;EQUATION;OPERATORS
102;;c252+c48<=>c253+c100;
103;;c254+c11<=>c255+c14+c5;
104;;c256+c73<=>c257+c44;
105;;c258+c68<=>c259+c70;
106;;c260+c14+c5<=>c261;
107;;c262+c53+c18+c5<=>c262+c52+c14;
108;;c263+c13<=>c264+c10;
109;;c265+c25+c11<=>c266+c27+c14+c5;
110;;c19+c64<=>c267+c66;
111;;c268+c268<=>c269;
112;;c270+c271<=>c272+c44;
113;;c214+c64+c11<=>c273+c66+c14;
114;;c274+c66<=>c275+c64+c5;
115;;c148+c52+c116<=>c276+c139+c44;
116;;c277+c278+c5<=>c279+c44;
117;;c280<=>c281;
118;;c282+c53+c5<=>c283+c52;
119;;c284+c53+c18<=>c285+c52+c116;
120;;c286+c48+c14<=>c287+c116+c5;
121;;c288+c114<=>c289+c116+c5;
122;;c290+c291+c5<=>c292+c19+c116+c14;
123;;c293+c14<=>c294+c18;
124;;c242+c95<=>c295+c14;
125;;c296+c207+c14<=>c297+c173;
126;;c298+c4+c5<=>c299+c7;
127;;c300+c10+c5<=>c199+c301+c13;
128;;c302+c303<=>c304+c305;
129;;c106+c19+c19+c19+c19<=>c306+c5+c5+c5+c5;
130;;c307+c68+c5<=>c308+c70;
131;;c309+c70<=>c310+c68+c5;
132;;c311+c312+c5<=>c313+c14;
133;;c314+c66<=>c315+c64;
134;;c243+c76+c14<=>c245+c316;
135;;c317+c70<=>c318+c68+c5;
136;;c319+c68+c5<=>c320+c70;
137;;c321+c138+c138+c14+c14<=>c322+c136+c136+c11+c5+c5;
138;;c323+c11<=>c324+c5;
139;;c325+c326<=>c327+c11;
140;;c328<=>c329+c44;
141;;c330+c11<=>c331+c89;
142;;c332+c138+c138+c14<=>c333+c136+c136+c5+c5;
143;;c334+c66<=>c335+c118+c64+c5+c5;
144;;c336+c4+c5<=>c337+c189;
145;;c338+c339+c339<=>c340+c314+c77+c5;
146;;c42+c14<=>c341+c44;
147;;c342<=>c343;
148;;c344+c14<=>c345+c18;
149;;c346+c19<=>c262+c5;
150;;c347+c11<=>c348;
151;;c349+c13+c14<=>c331+c10+c5+c5;
152;;c350+c52<=>c351+c53+c5;
