RPAIR,Score,EC,KO
RP08404,1.000,2.5.1.- 2.5.1.39,K03179 K06125
RP05705,1.000,2.5.1.10 2.5.1.68 2.5.1.93 4.2.3.10 4.2.3.119 4.2.3.120 4.2.3.15 4.2.3.16 4.2.3.20 4.2.3.25 4.2.3.26,K00787 K00795 K00804 K07384 K12467 K12503 K13565 K13787 K13789 K15086 K15087 K15088 K15096 K15097
RP05713,0.959,2.5.1.- 2.5.1.103 2.5.1.21 2.5.1.29 2.5.1.31 2.5.1.58 2.5.1.87 2.5.1.96 4.1.99.16 4.2.3.- 4.2.3.104 4.2.3.13 4.2.3.21 4.2.3.22 4.2.3.23 4.2.3.24 4.2.3.37 4.2.3.38 4.2.3.39 4.2.3.40 4.2.3.46 4.2.3.47 4.2.3.48 4.2.3.49 4.2.3.55 4.2.3.56 4.2.3.57 4.2.3.58 4.2.3.59 4.2.3.6 4.2.3.60 4.2.3.61 4.2.3.67 4.2.3.69 4.2.3.7 4.2.3.70 4.2.3.71 4.2.3.73 4.2.3.75 4.2.3.76 4.2.3.9,K00801 K00804 K00806 K02257 K02301 K05954 K05955 K10156 K10187 K10208 K11778 K12249 K12250 K13605 K13787 K13789 K14173 K14174 K14175 K14176 K14177 K14178 K14179 K14180 K14181 K14182 K14183 K14184 K14185 K14186 K15793 K15794 K15795 K15796 K15799 K15801 K15802 K15803 K15804 K15806 K15807 K15808 K15809
RP15037,0.959,4.2.3.50,K15798
RP05727,0.879,2.5.1.1 2.5.1.106 2.5.1.27 2.5.1.75 2.5.1.92 4.2.3.27,K00787 K00791 K00795 K00804 K10760 K12707 K12742 K13787 K13789 K14066 K14132 K15887
RP05736,0.862,2.5.1.32 2.5.1.41 2.5.1.42 2.5.1.89 2.5.1.99 3.1.7.10 4.2.3.17 4.2.3.43 4.2.3.8,K02291 K04040 K10960 K12921 K12929 K14047 K15888 K16086 K17104 K17105
RP06121,0.639,2.5.1.-,K06125
RP05734,0.609,4.2.3.18 4.2.3.32 4.2.3.44,K12927 K14041 K14042
RP14365,0.609,4.2.3.33 4.2.3.34 4.2.3.35 4.2.3.42,K12928 K14044 K14045 K14046
RP08455,0.609,4.2.3.103 4.2.3.19 4.2.3.28 4.2.3.29 4.2.3.30,K04121 K14036 K14037 K14038 K16082
RP05484,0.556,2.5.1.- 2.5.1.62,K02548 K04040 K09833
RP12709,0.545,4.2.3.130,K16188
RP06122,0.467,2.5.1.- 2.5.1.74 2.5.1.84 2.5.1.85,K02548 K03179 K05356
RP10662,0.404,2.5.1.- 2.5.1.39,K06125 K12501
RP05863,0.403,2.5.1.30 2.5.1.31 2.5.1.82 2.5.1.83 2.5.1.84 2.5.1.85 2.5.1.86 2.5.1.87 2.5.1.89 2.5.1.90 2.5.1.91 2.5.1.92,K00805 K00806 K02523 K05355 K05356 K11778 K12504 K12505 K14215 K15887 K15888
