RPAIR,Score,EC,KO
RP04731,0.763,3.2.1.86,K01223
RP04728,0.756,3.2.1.86,K01222
RP00723,0.599,2.4.1.111,K12356
RP04606,0.598,3.2.1.21,K01188 K05349 K05350
RP00476,0.563,2.4.1.111,K12356
RP13802,0.519,2.4.1.-,K15776
RP11816,0.513,2.4.1.170,K13263
RP11247,0.512,2.4.1.170,K13263
RP13880,0.507,2.4.1.-,K13235
RP11825,0.506,2.4.1.170,K13263
RP11671,0.503,2.4.1.-,K13078
RP09208,0.497,2.4.1.170,K13263
RP02612,0.495,2.4.1.170,K13263
RP00700,0.484,2.4.1.111,K12356
RP11936,0.476,2.4.1.170,K13263
RP09566,0.467,,K12717
RP09568,0.467,,K12711
RP13825,0.466,2.4.1.-,K15775
RP13813,0.465,2.4.1.-,K15774
RP14598,0.464,,K15931
RP11822,0.464,2.4.1.170,K13263
RP11617,0.464,2.4.1.-,K12938
RP11758,0.460,2.4.1.298 2.4.1.299,K12338 K17194
RP13882,0.459,2.4.1.-,K13235
RP09067,0.459,2.4.1.115,K12930
RP16215,0.456,2.4.1.300,K17192
RP15389,0.455,2.4.1.-,K15787
RP09359,0.451,2.4.1.91,K10757
RP09360,0.451,2.4.1.234,K13269
RP11906,0.446,2.4.1.-,K15929
RP09078,0.436,2.4.1.298 2.4.1.299,K12338 K17194
RP02149,0.435,2.4.1.17,K00699
RP09068,0.432,2.4.1.115,K12930
RP02213,0.432,2.4.1.-,K15787
RP16161,0.429,2.4.1.300,K17192
RP02008,0.428,2.4.1.91,K10757
RP02756,0.427,2.4.1.17,K00699
RP12697,0.415,2.4.1.17 3.2.1.31,K00699 K01195
RP11896,0.414,2.4.1.298 2.4.1.299,K12338 K17194
RP11752,0.409,2.4.1.-,K12938
RP12148,0.408,2.4.1.238 2.4.1.249,K12939
RP09072,0.408,2.4.1.115,K12930
RP16217,0.405,2.4.1.300,K17192
RP09092,0.404,2.4.1.298,K12338
RP09331,0.403,2.4.1.17,K00699
RP09332,0.395,2.4.1.17,K00699
RP12699,0.367,2.4.1.17,K00699
RP12153,0.344,2.4.1.238,K12939
RP14601,0.332,2.4.1.-,K15964
RP09326,0.330,3.2.1.31,K01195
RP12155,0.311,2.4.1.238,K12939
RP09572,0.276,,K12726 K12727
RP13324,0.274,4.2.1.126,K07106
RP06028,0.248,3.2.1.21,K01188 K05349 K05350
RP12727,0.244,3.2.1.26,K01193
RP01134,0.239,3.2.1.122 3.2.1.93,K01226 K01232
RP02887,0.239,3.2.1.85,K01220
RP01135,0.239,3.2.1.122,K01232
RP14230,0.229,2.4.2.49,K13554
