Reaction name,SIMMER pred
R13055,5.1.3
R11862,3.5.1
R06805,2.4.1
R12242,2.3.1
R09911,5.4.99
R07214,1.14.17;1.14.11
R02238,6.3.4
R10134,3.2.1
R02257,1.2.1;1.1.1
R03429,2.7.1
R12941,3.4.19
R12898,
R00483,3.6.1;2.7.1
R00928,2.8.3
R11030,
R10748,3.1.4
R03045,4.2.1
R13305,2.6.1
R00478,4.2.1
R08115,1.13.11
R09109,5.3.3
R04641,3.5.1
R04835,1.1.1
R00265,1.2.1
R03942,1.1.1
R03805,2.1.1
R02191,2.3.1
R10424,2.4.1
R03633,2.1.1
R12220,5.1.3
R01930,
R03111,2.1.1
R04339,1.5.1;1.3.1;1.1.1
R02992,
R02473,3.6.1
R03832,2.1.1
R04812,1.1.1
R11260,2.4.1;3.2.1
R05114,2.4.1
R04473,3.1.6;3.1.1
R08758,
R01585,6.3.3;2.7.3;2.7.1
R02718,2.7.1
R10068,1.3.1
R09665,2.5.1;2.4.1
R05420,3.1.1
R02398,3.1.1
R05163,2.3.1
R10694,1.3.1
R04024,2.3.1
R03095,6.3.2
R08667,4.4.1
R08047,1.5.1;1.3.1;1.1.1
R10563,1.14.13;1.1.1
R12329,3.5.1
R04410,3.2.1
R06178,2.4.1
R06921,1.13.11
R00470,
R11942,3.2.1
R02709,2.4.1
R08617,4.2.3
R00669,3.5.1
R07905,3.1.1
R01003,3.1.3
R03478,2.7.1
R10487,1.14.11
R09417,3.3.2
R13314,5.5.1
R09081,4.1.1
R07242,2.1.1
R02147,2.4.2
R03157,6.2.1;2.3.1
R02478,2.4.1
R03847,1.1.1
R08303,1.14.13;1.1.1
R05277,3.5.1
R02248,3.1.7;3.1.3
R01621,4.1.2;2.2.1
R12749,3.1.3
R12910,
R12683,
R02428,3.1.1
R00652,2.6.1
R01270,3.2.2
R00114,1.3.1;1.14.13;1.1.1
R09613,2.1.1
R03688,4.2.1;5.3.1
R00650,2.1.1
R12821,5.4.99
R07840,5.5.1
R10446,1.14.11
R11927,1.3.1;1.1.1
R09552,3.5.99
R02990,2.8.3
