EC,Weighted Score,Observed Freq,Reactions
1.14.13,369.7,1,R03344
1.14.14,30.5,,
4.1.1,20.8,,
2.5.1,16.2,,
1.14.11,13.9,,
2.1.1,10.8,,
1.14.15,10.5,,
1.97.1,8.9,,
1.14.16,8.6,,
1.14.-,8.3,,
1.14.18,7.4,,
1.14.99,7.2,,
4.2.1,4.9,,
1.14.21,4.1,,
1.17.1,4.0,,
1.11.1,3.9,,
4.1.99,3.6,,
3.7.1,3.4,,
3.8.1,3.0,,
1.22.1,3.0,,
3.5.3,2.9,,
1.10.99,2.9,,
1.13.11,2.7,,
6.4.1,2.0,,
1.10.3,2.0,,
4.1.2,1.9,,
1.1.1,1.7,,
1.4.-,1.5,,
1.14.17,1.1,,
2.4.1,1.1,,
1.17.99,1.0,,
3.5.99,1.0,,
1.2.1,1.0,,
1.3.1,1.0,,
2.1.2,1.0,,
1.3.99,1.0,,
3.2.-,1.0,,
3.13.1,1.0,,
1.3.7,0.9,,
1.14.20,0.9,,
1.-.-,0.9,,
1.17.3,0.5,,
4.99.1,0.5,,
1.7.3,0.5,,
2.8.4,0.5,,
4.7.1,0.5,,
3.1.6,0.3,,
2.3.1,0.3,,
1.6.6,0.3,,
1.17.7,0.2,,
