COMPOUNDS
ENTRY;GENERATION;KEGG;NAME;STRINGCODE;SPECIES;INCHIKEY;SMILES;ISBIO;FORMULA;CAR
BON;CHARGE;FILENAME;COFACTOR;DATABASE_LINKS;ENERGY;ERROR
reactionsS
ENTRY;KEGG;EQUATION;OPERATORS
204;;c455+c44+c44<=>c185+c185+c73;
205;;c456+c70<=>c457+c68+c5;
206;;c458+c10+c5<=>c459+c13;
207;;c460+c48<=>c461+c100;
208;;c462+c53+c5<=>c463+c52;
209;;c436+c70<=>c438+c68+c5;
210;;c464<=>c465;
211;;c466+c18<=>c467+c14;
212;;c468+c11<=>c469+c5+c5;
213;;c470+c10+c5<=>c471+c118+c13;
214;;c472+c25+c11<=>c473+c27+c14+c5;
215;;c474+c66+c14<=>c475+c64+c5;
216;;c476+c339+c339<=>c477+c340+c14;
217;;c478<=>c343+c14;
218;;c479+c13<=>c480+c10+c5;
219;;c481+c95+c46+c19<=>c482+c48+c11;
220;;c483<=>c484;
221;;c485+c379+c379+c379+c379+c379+c379+c14+c14+c14+c14<=>c486+c380+c380+c380+c380+c380+c380+c11+c11+c11+c5+c5+c5+c5+c5;
222;;c273+c66+c14<=>c214+c64+c11;
223;;c487+c18+c5<=>c488+c14;
224;;c489+c262+c5<=>c353+c490;
225;;c491+c70<=>c492+c68+c5;
226;;c425+c14<=>c247+c18;
227;;c276+c19<=>c493+c5;
228;;c494+c14<=>c345+c282+c5;
229;;c495+c496+c52+c14<=>c497+c100+c53+c18+c5;
230;;c498+c499<=>c500+c501;
231;;c502+c379+c379+c14<=>c503+c380+c380+c11+c5+c5;
232;;c504+c64+c64+c5+c5<=>c505+c66+c66;
233;;c491+c13<=>c506+c416+c5;
234;;c507+c14<=>c357+c242;
235;;c508+c128<=>c509+c126;
236;;c510+c10+c5<=>c511+c13;
237;;c512+c513+c5<=>c514+c97;
238;;c515+c515<=>c516+c14+c14;
239;;c517+c518<=>c519+c165+c5;
240;;c520+c521+c521+c5+c5<=>c522+c522+c523;
241;;c524<=>c525;
242;;c526+c53+c18+c5<=>c527+c528+c52;
243;;c529+c202+c5<=>c530+c531;
244;;c532+c139+c44<=>c363+c432+c52;
245;;c380+c380+c66+c5<=>c379+c379+c64;
246;;c533<=>c534;
247;;c535+c25+c11<=>c536+c27+c14+c5;
248;;c537+c92<=>c538;
249;;c539+c540<=>c541+c61+c5;
250;;c97+c165+c5<=>c542+c18;
251;;c543+c14<=>c544+c18+c5;
252;;c545+c66+c116<=>c546+c64+c5;
253;;c547+c547+c89<=>c548+c548+c14+c14;
254;;c549+c10+c5<=>c550+c13;
