EC,Weighted Score,Observed Freq,Reactions
2.6.1,238.9,186,R00258 R00355 R00372 R00373 R00400 ... (114 reactions)
1.4.1,31.4,18,R00093 R00114 R00243 R00248 R00581 ... (14 reactions)
1.4.3,23.3,15,R00250 R00279 R00357 R00359 R00447 ... (12 reactions)
1.5.1,11.0,3,R00563 R00715 R00716
4.1.3,6.0,2,R00409 R00479
3.8.1,5.5,,
4.1.1,4.5,2,R05144 R09991
1.17.4,2.3,,
1.4.7,2.0,2,R00021 R10086
4.3.1,1.9,1,R08846
1.4.99,1.4,1,R01374
1.14.11,1.4,,
1.13.12,1.0,1,R08920
2.6.3,1.0,,
1.14.13,0.9,,
1.14.14,0.8,,
1.5.3,0.8,,
3.7.1,0.8,,
1.4.2,0.8,,
3.11.1,0.8,,
4.2.3,0.5,,
3.3.2,0.5,,
1.1.1,0.4,,
1.4.5,0.2,,
2.-.-,0.2,,
