RPAIR,Score,EC,KO
RP14864,0.083,4.1.99.16,K10187
RP14977,0.077,1.14.13.119,K15805
RP01710,0.070,4.2.3.5,K01736
RP15846,0.069,1.10.99.3 1.14.13.90,K09838 K09839
RP15257,0.069,1.14.13.129,K02294
RP04376,0.068,4.2.1.96,K01724
RP02087,0.066,5.3.99.5,K01832
RP12999,0.060,1.14.14.1,K07411 K07412 K07424
RP15452,0.060,5.3.3.18,K15866
RP14685,0.059,1.14.13.107,K14733
RP05557,0.059,1.14.13.107,K14733
RP15674,0.055,,K16037
RP09372,0.053,1.10.99.3 1.14.13.90,K09838 K09839
RP14563,0.053,4.2.1.-,K05556 K14626 K14627
RP09401,0.053,1.10.99.3 1.14.13.90,K09838 K09839
RP14651,0.051,,K03635 K03636
RP14593,0.051,,K15927
RP04903,0.051,1.14.20.1,K12744
RP09457,0.050,,K16436
RP05592,0.050,,K13314 K16435
RP04829,0.050,,K12746
RP05499,0.049,4.2.3.32,K14041
RP02055,0.047,1.14.13.22,K03379
RP09043,0.047,1.14.13.22,K03379
RP11352,0.047,1.14.13.154,K14370
RP05626,0.047,,K16006
RP11681,0.047,1.14.13.154,K14370
RP14116,0.047,2.6.1.86,K13063
RP14360,0.047,4.2.3.44,K14042
RP14367,0.047,4.2.3.35,K14046
RP05627,0.047,,K16006
RP14722,0.046,1.14.14.1,K07409
RP14723,0.046,1.14.14.1,K07409 K07411 K07424
RP09599,0.046,1.1.1.288,K09841
RP11658,0.046,4.2.1.100,K07537
RP14720,0.046,1.14.14.1,K07411
RP14366,0.046,4.2.3.34,K14045
RP11877,0.046,,K12928
RP02493,0.046,4.2.1.44,K03335
RP11878,0.046,,K12928
RP05496,0.046,4.2.3.18,K12927
RP04871,0.045,1.14.-.-,K14366
RP11876,0.045,4.2.3.42,K12928
RP00434,0.045,2.6.1.16 3.5.99.6,K00820 K02564 K12410
RP13006,0.045,5.3.1.-,K02080
RP11797,0.045,4.2.1.-,K07534
RP14369,0.045,4.2.3.28,K14036
RP14364,0.044,4.2.3.33,K14044
RP09096,0.044,,K16021
RP02750,0.043,4.2.1.10,K03785 K03786 K13830 K13832
RP05605,0.043,,K13322
RP05664,0.043,5.1.3.13,K01790
RP14200,0.043,1.1.1.-,K12451
RP05266,0.042,,K03335
RP14687,0.042,3.3.2.8,K10533
RP13643,0.042,1.1.1.- 5.1.3.-,K12451
RP11910,0.042,,K14628 K14629
RP05296,0.041,1.1.1.271,K02377
RP03918,0.041,4.2.3.12,K01737
RP10163,0.041,5.3.3.4,K03464
RP03084,0.041,4.1.1.44,K01607 K14727
RP09453,0.041,1.14.99.37,K14039
RP05373,0.040,3.3.2.8,K10533
RP05629,0.040,1.14.-.-,K14372
RP05631,0.040,1.14.-.-,K14372
RP05628,0.040,1.14.-.-,K14372
RP05630,0.040,1.14.-.-,K14372
RP11404,0.039,1.3.1.82,K15091
RP03015,0.039,1.3.1.42,K05894
RP01159,0.039,5.1.3.18,K10046
RP11603,0.039,1.14.13.83,K02229
RP13890,0.039,4.3.1.-,K13309
RP15190,0.038,4.2.1.115,K15894
RP04693,0.038,4.2.3.19,K04121
RP15547,0.038,4.2.3.103,K16082
RP05594,0.038,,K13327
RP05593,0.038,,K13315
RP14034,0.038,,K13323
RP10265,0.038,3.3.2.9,K01253
RP10262,0.038,3.3.2.9,K01253
RP14208,0.037,5.3.1.-,K13324
RP13065,0.037,4.2.99.20,K08680 K14759
RP04468,0.036,1.14.99.9,K00512
RP05586,0.036,4.2.3.108,K07385
RP01025,0.036,1.1.3.8,K00103
RP14583,0.036,1.3.3.-,K15949
RP11730,0.036,5.3.99.8,K14593
RP02044,0.035,1.14.99.9,K00512
RP15844,0.035,1.1.3.8,K00103
RP00554,0.035,1.3.2.3 1.3.3.12,K00225 K05276
