Reaction ID,BridgIT
R02693,2.3.1.73;2.3.3.17;2.1.3.12;2.3.2.19;6.1.2.2;6.2.1.51;6.3.1.20;6.3.4.10;1.2.1.95;2.1.2.13
R05170,3.5.3.21;3.5.1.84;3.5.2.2;3.5.4.1;3.5.5.1;1.2.7.12;3.4.11.1;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.4.13.22;2.3.2.2;3.13.1.6;4.2.1.48;3.1.1.1;3.4.19.13;3.4.17.8;3.8.1.8;3.4.14.13;2.1.2.3;3.5.99.8;4.3.2.4
R11539,2.8.3.25;2.8.2.34;2.3.1.187
R11824,2.5.1.39;1.3.1.96;2.4.1.192;2.4.2.34;2.1.3.12;4.4.1.20
R02268,1.13.11.25;1.13.99.1;1.13.12.3;1.14.13.239
R11395,2.6.1.109;2.6.99.2;2.7.8.29
R04322,2.4.1.47;2.4.2.40;2.4.99.18
R01525,
R10443,3.6.1.5;3.6.5.1;3.6.3.55;3.6.4.1;3.1.3.81
R05441,1.14.13.7;1.14.14.1;1.14.15.3;1.14.18.1;1.14.12.12;1.2.3.9;1.14.21.11;1.14.99.2;1.14.16.2;1.14.11.28;1.10.3.4;1.14.19.17
R09748,
R03805,1.14.13.128;1.13.99.1;1.13.12.1;1.13.11.54
R01722,
R08239,2.1.1.67;2.8.4.4;2.1.2.5;2.3.1.101;2.1.3.2
R09219,1.1.1.320;1.2.1.82;1.3.1.20;2.3.1.85;1.17.1.4;5.3.3.1;1.1.3.49;1.1.99.9;5.4.99.3;4.1.1.56;1.4.3.5;4.2.1.155;1.1.5.4
R07094,4.4.1.20;2.5.1.18;2.4.1.311;1.3.1.96;2.4.2.27;2.1.3.12
R04418,
R04344,
R09099,2.3.1.101;2.1.2.1;2.1.1.86;2.1.3.2;2.8.4.4
R03585,
R08117,6.2.1.33;3.1.2.23;4.2.1.155;2.3.1.85
R01401,3.2.2.16;4.3.3.5;3.2.1.22;3.1.1.93
R10438,
R10720,
R03134,5.5.1.1;4.2.99.12;4.3.1.17;4.2.1.31;2.5.1.119;4.1.1.2;2.3.1.85;3.5.1.110;1.1.1.276;4.2.3.3;1.2.1.31;1.4.1.18;1.3.8.6;3.5.5.4;1.1.3.47;3.2.1.22;3.7.1.21;2.7.8.23;3.1.7.9;3.3.1.1;1.14.13.109;1.17.98.2;4.3.3.3
R09980,3.5.1.110;3.5.2.16;3.5.5.7;3.5.3.21;3.4.13.22;3.4.11.1;3.1.1.1;4.2.1.48;2.3.2.2;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;1.2.7.12;3.5.4.16;3.13.1.6;3.4.19.13;3.4.17.8;3.4.14.13;3.8.1.8;3.5.99.8;2.1.2.3;4.3.2.4
R02144,
R05598,4.1.99.11;4.1.2.45;4.1.1.77;4.1.3.39;4.2.99.21;1.1.1.38;4.2.1.155;2.1.2.11;1.3.8.6;3.1.1.82
R09630,3.1.7.6;3.1.5.1;3.1.3.74;3.6.1.7;3.2.1.42;2.4.1.17;4.2.3.1;5.1.3.14;3.1.4.46;3.11.1.1;3.1.1.59;4.6.1.13;3.1.2.28;3.7.1.8;3.1.6.1;2.3.1.85;4.2.1.155
R05885,
R00287,3.6.1.45;3.1.3.81;3.6.3.1;3.6.4.1;3.6.5.1
R03177,
R05030,
R00771,2.7.1.142;2.7.8.20;2.7.7.40;2.7.2.11;2.7.6.1;2.7.99.1;2.7.11.7;6.3.5.5;2.7.10.1;2.7.12.1;2.7.3.8;2.7.4.26;2.7.14.1
R02601,1.11.1.21
R04457,2.5.1.78;2.4.1.332;2.1.3.12;4.4.1.20;2.4.2.34;1.3.1.96
R03554,2.1.1.50;2.8.4.4;2.3.1.32;2.1.2.13;2.1.3.2
R02706,3.1.1.53;3.1.3.31;3.1.6.1;3.1.4.2;3.2.1.183;5.1.3.14;4.6.1.13;4.2.3.1;3.6.1.7;3.11.1.3;3.1.7.2;2.4.1.17;3.1.5.1;3.1.2.30;3.7.1.8;2.3.1.85;4.2.1.155
R09610,2.5.1.41;1.3.1.96;2.4.1.178;2.4.2.34;2.1.3.12;4.4.1.20
R08878,
R10194,
R03062,3.1.1.41;3.1.2.28;4.2.1.155;3.7.1.8;3.2.1.175;3.1.4.12;3.1.3.101;3.6.1.20;2.3.1.85;3.1.6.9;3.11.1.3;4.2.3.1;4.6.1.13;5.1.3.14;3.1.7.2;3.1.5.1;2.4.1.17
R13127,3.6.1.43;3.1.3.81;3.6.5.1;3.6.3.1;3.6.4.1
R06486,2.4.1.176;2.4.2.34;2.4.99.12
R04315,1.17.4.2;1.17.7.1;1.17.1.1;1.17.3.2
R03905,
R11950,6.3.1.10;6.3.4.10;6.3.2.48;6.2.1.39;6.3.5.4;6.3.3.3;3.5.1.127;3.4.14.13;2.3.2.2;3.4.13.4;3.13.1.6;3.4.17.23;1.4.1.13;1.4.7.1;4.3.3.6;3.4.19.13;3.5.5.4;3.5.99.5;3.4.11.1;3.1.1.1;3.5.4.1;3.5.3.21
R08630,1.13.12.2;1.13.11.54;1.13.99.1;1.14.13.239
R11330,4.1.1.88;4.2.1.155;1.1.1.276;5.4.99.3;1.1.3.13;1.1.5.4;1.4.3.5;1.1.99.9;1.2.1.23;2.3.1.85;1.3.1.20;5.3.3.1;1.17.1.4
R05221,2.7.1.24;2.7.7.96;2.7.11.7;2.7.2.8;2.7.3.2;2.7.14.1;6.3.5.5;2.7.10.1;2.7.12.1;2.7.4.26;2.7.6.5;2.7.8.28;2.7.99.1
R04007,4.1.1.102;4.2.1.121;5.5.1.1;2.3.1.85;4.3.1.17;4.2.3.20;1.3.8.6;4.2.99.12;1.1.3.47;1.1.1.276;1.2.1.31;1.4.1.18;2.5.1.119;3.1.7.9;3.7.1.21;3.5.5.4;1.14.13.197;1.17.98.2;3.2.1.21;4.3.3.3;3.5.1.110;3.3.1.1;2.7.8.23
R09533,3.2.1.167;3.1.1.93;4.3.3.5;3.2.2.11
R10009,2.5.1.39;1.3.1.96;2.4.1.192;2.4.2.34;2.1.3.12;4.4.1.20
R09099,2.3.1.101;2.1.2.1;2.1.1.86;2.1.3.2;2.8.4.4
R12144,
R11371,2.1.1.97;2.8.4.4;2.1.2.13;2.1.3.2;2.3.1.32
R09126,3.5.1.106;3.5.2.16;1.2.7.12;3.5.5.7;3.4.13.22;3.4.11.1;3.5.3.9;3.1.1.1;4.2.1.48;2.3.2.2;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.13.1.6;3.4.19.13;3.5.4.1;3.4.17.8;3.4.14.13;3.5.99.8;2.1.2.3;3.8.1.8;4.3.2.4
R06465,
R03296,1.13.12.2;1.13.11.54;1.13.99.1;1.14.13.239
R06787,1.14.13.14;1.14.18.1;1.14.14.1;1.14.12.9;1.14.15.3;1.2.3.9;1.14.21.11;1.14.99.2;1.14.16.4;1.14.11.40;1.10.3.4;1.14.19.17
R12596,6.3.5.4;6.3.2.1;6.3.1.11;6.3.4.12;6.2.1.39;6.3.3.3;3.5.1.96;2.3.2.2;3.4.14.13;3.4.13.4;3.13.1.6;3.5.5.4;3.4.17.21;1.4.1.13;1.4.7.1;4.3.3.6;3.4.19.13;3.5.99.5;3.4.11.1;3.5.4.1;3.1.1.1;3.5.3.21
R08342,4.2.1.78;4.3.3.3;4.2.3.38;1.14.13.197;1.1.1.394;5.5.1.6;4.2.99.20;4.1.1.105;3.1.7.9;3.2.1.118;3.7.1.21;4.3.1.9;1.2.1.31;1.4.1.18;2.3.1.85;3.3.1.1;1.17.98.2;2.5.1.119;3.5.5.4;1.3.8.6;1.1.3.47;3.5.1.110;2.7.8.23
R02679,
R04659,2.1.2.13;2.1.1.307;2.1.3.2;2.3.1.32;2.8.4.4
R03940,1.14.13.128;1.13.11.48;1.13.12.23;1.13.99.1
