EC,Weighted Score,Observed Freq,Reactions
6.3.2,40.2,17,R00497 R00735 R01150 R02473 R02741 ... (17 reactions)
3.5.1,36.3,5,R00682 R02474 R04112 R04113 R05783
3.1.2,25.9,5,R01736 R02764 R03352 R04090 R05064
6.2.1,23.5,5,R04507 R04580 R08733 R08738
2.8.3,21.8,6,R01449 R04000 R05508 R05588 R06904
6.3.5,15.1,2,R05030 R08855
2.3.2,9.2,1,R05055
3.4.13,9.0,3,R00899 R04951 R07651
6.3.1,8.5,2,R03613 R09591
2.3.1,8.2,,
3.4.11,6.0,6,R00899 R04951
3.7.1,5.1,1,R05364
6.3.4,4.2,,
3.4.17,2.8,2,R04611 R08850
1.14.13,2.5,,
3.4.19,2.2,,
1.5.1,1.8,,
4.3.3,1.4,,
1.4.1,1.4,,
2.6.1,1.4,,
2.1.1,1.3,,
3.4.15,1.3,1,R09722
3.4.24,1.0,1,R09845
3.4.22,1.0,1,R09845
3.1.1,0.9,,
2.4.2,0.9,,
4.1.3,0.9,,
1.4.7,0.9,,
3.5.3,0.8,,
2.1.2,0.8,,
1.13.11,0.5,,
1.5.3,0.5,,
3.2.1,0.5,,
4.1.1,0.5,,
3.5.5,0.5,,
1.2.4,0.5,,
1.2.3,0.5,,
2.5.1,0.3,,
2.1.3,0.3,,
1.14.14,0.3,,
1.5.99,0.3,,
3.5.99,0.3,,
2.3.-,0.3,,
