Reaction ID,SelenzymeRF
R09385,1.14.13.107;1.11.1.6|1.14.13.225|1.3.1.95|1.6.3.1|1.6.3.3|1.6.99.3
R11842,2.5.1.39;2.5.1.20
R00430,2.7.1.40;2.7.9.1;2.7.3.9
R00764,2.7.1.90;3.1.3.11
R09739,7.2.1.3;1.16.3.1;2.1.1.342;1.16.1.9;1.14.14.18
R03396,1.1.1.133;1.1.1.271;1.1.1.135|1.1.1.187;1.1.1.187|1.1.1.281;1.1.1.339|1.1.1.344;1.1.1.266;1.1.1.364;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
R09637,2.5.1.63;2.5.1.94;2.5.1.6
R07276,2.6.1.1|2.6.1.79;2.6.1.1|2.6.1.57|2.6.1.78;2.6.1.27;2.6.1.7;2.6.1.1|2.6.1.27|2.6.1.42|2.6.1.5|2.6.1.57|2.6.1.9
R09299,1.11.1.14;1.17.4.2;1.14.13.242;1.11.1.16;1.17.4.1
R05277,1.7.1.6;1.7.1.17|1.7.1.6
R02243,5.5.1.1;2.3.1.180
R12274,3.3.2.10;1.10.3.11;1.1.5.3;1.1.5.2
R07813,3.2.1.76;3.2.1.21
R05231,1.1.1.2;1.1.1.2|1.1.1.21|1.1.1.71;1.1.1|1.1.1.-|1.1.1.1|1.1.1.2|1.1.1.21
R09518,1.14.18.3;1.14.13.25;1.14.13.8;4.7.1.1;1.1.99.37;1.1.2.7;1.11.1.21|1.11.1.6|1.11.1.7
R02517,1.14.13.63;1.6.3.2;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.3|1.14.14.9;1.14.13.240;1.14.13.2|1.14.13.33;1.14.12.22;1.14.12.14;1.14.12.-|1.14.12.10;1.14.13.84;1.14.14.43|1.14.14.45;1.14.13.87;1.14.13.8
R05163,2.3.1.153;2.3.1|2.3.1.-|2.3.1.215;2.3.1.172;2.3.1.171;2.3.1.115;2.3.1.116;2.3.1.79;2.3.1.133;2.3.1|2.3.1.133|2.3.1.99|3.1.2.-;6.2.1.12;2.3.1.180
R01899,1.6.5.4;1.6.3.2;1.11.1.1|1.11.1.2;1.12.1.3|1.12.1.5;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
R04478,4.2.1.83;2.3.3.13|4.1.3.-
R12898,3.1.1.3|3.1.1.34
R11100,1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7
R12314,3.2.1.199;1.1.1.390;5.1.3.3;5.1.3.44;5.3.1.31;2.7.1.1;2.7.1.1|2.7.1.15;2.7.1.204;2.7.1.1|2.7.1.55;2.3.1.79;2.7.1.2
R06447,2.5.1.87|2.5.1.91;2.5.1|2.5.1.31|2.5.1.M1;2.5.1.86;2.5.1.88;2.5.1.89;2.5.1.90;2.5.1.-|2.5.1.30;2.5.1.-|2.5.1.33;2.5.1.83;2.5.1.85;2.5.1.84;2.5.1.142;2.5.1.81;2.7.8.13
R04812,1.1.1.36;1.1.1.211|1.1.1.35
R10732,2.5.1.20;2.5.1.103|2.5.1.21|2.5.1.96;2.5.1.89;2.5.1.39
R00424,3.5.4.16
R10549,1.2.1.50;1.2.1.80;1.6.5.4;1.6.3.2;1.3.1.102;1.3.1.102|1.3.1.74;1.12.1.3|1.12.1.5;1.11.1.21;1.11.1.1|1.11.1.2
R08603,3.7.1.-|3.7.1.22;5.3.1.30;3.2.2.1;3.2.2.8;5.3.1.12
R07673,2.7.7.69;1.1.1.133;1.-.-.-|1.1.1.271;5.1.3.-|5.1.3.18;5.1.3.13;3.6.1.13;3.6.1.21;1.1.1.132;2.4.1.83;2.7.7.69|2.7.7.78;2.4.1.142;2.4.1.132;2.4.1.232;2.4.1.-|2.4.1.266;2.4.1.252;2.4.1.270;2.4.1.345;2.4.1.269;2.4.1.54;2.4.1.36
R02718,3.6.1.5;6.3.2.14;1.1.1.117;1.1.1.46;6.3.2.39;2.7.1.20|2.7.1.74;6.1.1.15
R11881,1.14.13.9;1.14.13.225|1.6.3.1;1.14.13.-|1.14.14.-|1.14.14.1
R12866,1.14.13.242;1.3.5.3;3.5.4.11;1.14.14.18;1.14.13.210;2.4.2.31;1.1.1.328;1.14.12.22;1.3.7.1;1.14.18.1
