reactionID,predictions
R10283,4.1.2;4.1.3;2.2.1;4.2.1
R09329,1.1.1;1.3.1;1.8.1;1.16.1
R09780,5.3.1;5.1.3;3.1.3;3.6.1
R13368,4.4.1;2.3.1;2.5.1;2.1.1
R00150,2.7.1;3.5.1;2.7.6;3.5.4
R03402,5.3.99;5.3.3;4.2.2;5.4.99
R00761,3.1.3;3.6.1;5.3.1;5.1.3
R08125,3.2.1;5.3.1;5.1.3;3.6.1
R11346,1.6.3;1.14.13;1.14.18;1.14.14
R09726,2.4.2;2.4.1;2.7.1;2.7.7
R07025,2.5.1;4.4.1;5.3.99;4.1.99
R01395,2.7.2;2.7.4;5.1.99;2.7.1
R07043,5.4.4;1.14.14;4.99.1;1.13.11
R00672,5.1.1;3.4.17;4.3.1;3.4.11
R09890,2.5.1;5.5.1;5.3.3;5.3.99
R11420,3.2.1;2.4.1;4.1.3;3.1.2
R05035,2.1.1;2.3.1;3.1.1;2.5.1
R08965,1.14.18;1.10.3;1.6.3;7.1.1
R02983,1.1.1;1.3.1;1.16.1;1.8.1
R00673,4.1.99;4.3.1;4.4.1;3.4.11
R10280,5.1.99;3.5.3;5.1.3;5.1.1
R05475,1.6.3;1.14.13;1.21.1;1.14.18
R01717,5.3.3;5.3.99;2.5.1;1.1.1
R12028,1.13.12;1.14.13;1.6.3;1.14.14
R11860,5.5.1;4.2.3;4.4.1;2.5.1
R07684,1.13.11;3.3.2;1.14.99;1.2.1
R00209,1.1.1;1.3.1;1.8.1;2.3.1
R12413,6.3.2;6.3.4;6.3.1;4.3.3
R10576,1.13.11;3.3.2;1.14.99;1.2.1
R01155,2.6.1;2.7.2;1.4.99;1.4.1
R12248,3.1.1;2.3.1;3.1.2;3.5.1
R06908,2.3.1;3.1.2;2.8.3;3.1.1
R05684,1.1.1;1.3.1;1.8.1;2.3.1
R02174,2.1.1;2.3.1;4.4.1;2.5.1
R00509,3.6.1;3.1.3;4.2.1;4.1.2
R00181,3.5.4;2.4.2;3.5.99;1.5.99
R13355,1.14.13;1.1.1;1.3.1;1.5.1
R00484,3.5.1;3.4.19;3.2.2;4.3.3
R09774,2.4.1;2.4.2;2.7.8;2.3.2
R10596,2.4.1;3.2.1;2.4.2;5.1.3
R04016,2.4.1;3.1.3;3.6.1;2.4.2
R10155,1.14.13;1.6.3;1.14.14;1.1.1
R08966,2.4.2;2.7.7;2.7.8;2.3.1
R09426,2.4.1;3.2.1;5.1.3;2.4.2
R03770,2.7.4;2.7.1;3.6.1;2.1.1
R08222,2.4.1;2.7.8;2.4.2;3.6.1
R08104,1.14.13;1.6.3;1.14.12;1.14.14
R05338,4.1.2;5.3.1;4.2.1;4.4.1
R06894,1.1.1;1.3.1;1.5.1;1.17.1
R07648,2.5.1;5.5.1;4.2.99;5.3.99
R00705,1.2.1;1.1.1;1.5.1;1.3.1
R10257,2.4.2;3.2.2;2.4.1;3.5.4
R04279,1.1.1;1.3.1;1.8.1;1.16.1
R10762,4.2.3;5.5.1;3.1.7;3.1.3
R05386,4.5.1;3.8.1;4.1.99;1.97.1
R03422,3.1.4;3.6.1;3.1.3;5.4.2
R09765,2.8.3;3.1.2;2.3.1;3.2.2
R09723,3.1.1;2.3.1;3.1.2;3.5.1
R11882,1.8.3;1.2.3;1.14.99;1.1.3
R04125,4.4.1;4.3.1;4.99.1;4.1.99
R12151,4.2.1;4.4.1;1.14.14;5.4.4
R11842,5.5.1;4.2.3;3.1.7;3.1.3
R12662,1.13.11;1.14.99;5.4.4;4.4.1
R03462,1.13.11;3.3.2;1.14.99;1.2.1
R11704,2.4.1;2.7.8;3.2.1;2.3.1
R08391,1.14.13;1.6.3;1.14.12;1.14.18
R04431,2.7.1;2.7.6;2.4.2;2.4.1
R07259,2.4.1;3.2.1;5.1.3;3.1.3
R02975,1.8.1;1.16.1;1.7.1;1.1.1
R11462,2.3.1;2.8.3;3.1.2;4.1.3
R10002,3.4.11;3.4.19;2.3.2;3.6.5
R12575,4.4.1;2.3.1;1.11.1;2.5.1
