Reaction name,SIMMER pred
R11860,4.2.3
R03894,4.1.1
R09286,6.2.1;2.3.1
R05358,3.5.5;3.5.1
R11072,
R05290,1.14.12;1.3.1;1.1.1
R00985,5.4.4
R13101,4.2.3
R03464,3.5.4
R02914,
R04277,3.1.1
R08651,1.1.1
R10055,5.3.99
R04555,2.7.1
R09724,3.1.1
R03589,2.4.1
R10887,
R05467,6.3.2
R07921,2.1.1
R09651,3.5.1
R01034,1.1.1
R07186,1.14.11
R09635,2.4.1
R08104,1.5.1;1.14.12;1.3.1;1.1.1
R03716,1.7.1;1.1.1
R12903,5.4.99
R09601,1.13.11
R09788,4.2.3
R05507,2.6.1
R13022,1.14.13;1.1.1
R02118,2.4.1
R03781,
R13063,3.2.1
R10448,2.1.1
R03308,5.5.1
R08045,1.14.12;1.1.1
R11020,2.1.1
R00084,4.1.1
R09987,1.1.1
R02714,3.1.1
R00833,5.4.99;4.1.3
R02010,4.2.3
R10016,
R11205,2.7.7
R01088,1.4.1;1.1.1
R11119,1.4.3
R00432,6.2.1;2.3.1
R10050,2.2.1;4.1.2
R04373,2.4.2;2.4.1
R09351,2.7.7;2.4.1
R04844,1.1.1
R06998,2.1.1
R10332,1.5.1;1.14.13
R07997,1.14.11
R09783,1.1.1
R12797,3.1.3
R01538,4.2.1;5.3.1
R12910,
R05409,1.13.11
R01480,3.2.1
R12391,
R05795,2.7.7
R10154,1.1.1
R04921,
R12152,4.3.2
R03530,2.7.4
R06496,2.4.1
R05724,1.14.13;1.17.1;1.14.12;1.1.1
R12636,2.4.1
R01101,3.2.1
R07343,3.1.4;3.1.3
R02520,
R13410,2.5.1
R03519,2.4.1
R03935,3.4.13;3.5.1
R03640,1.14.11
R04217,2.6.1
R08879,1.3.1;1.1.1
R05768,2.5.1;2.4.1
R01201,2.7.1
R00485,3.5.1
R12914,5.1.3
R12286,2.5.1
R03300,1.14.13;1.1.1
R13013,1.14.11
R08639,5.4.2
R12080,3.1.1;2.5.1
R09677,3.2.1;2.4.1
R00490,4.3.1
R06913,4.1.2
R03157,6.2.1;2.3.1
R07099,1.7.1;1.1.1
R11877,1.14.13;1.1.1
R03072,2.5.1
R03224,4.2.1
R08787,2.1.1
R03220,
R00649,2.1.1
R13445,1.3.1
R02150,1.4.3
R01494,3.4.13;3.5.1
R10196,2.1.1
R11487,1.11.1;1.10.3
R02350,3.6.1
R09844,2.5.1
R03056,2.3.1
R05247,1.14.12;1.3.1;1.1.1
R08111,1.14.12;1.3.1;1.1.1
R03738,4.3.3
R01519,3.1.1
R02529,1.4.3
R08164,2.4.1
R08521,1.21.98
R11368,3.5.4
R02907,4.2.1
R09095,3.8.1
R09250,2.5.1
R08191,3.1.2;2.3.1
R10732,4.2.3
R04145,2.1.1
R03590,1.14.20
R05462,1.14.13
R09610,4.2.3
R00809,2.4.1
R12848,1.14.20;1.14.11
R04961,1.5.1;1.1.1
R11367,3.6.1;2.7.1
R09936,3.5.4
R08531,2.3.1
R03271,2.5.1
R10844,1.13.11
R11620,5.3.1
R04106,1.8.1;1.1.1
R11555,2.4.1;2.3.1
R13234,4.2.3
R10496,2.7.7;6.3.1
R00488,3.5.1
R02370,3.1.4;3.1.3
