reaction_id,EC Number,BEC-Pred,SelenzymeRF,SIMMER,Theia,BridgIT,E-zyme1,E-zyme2,MajorityVote,MajorityVoteCore4
R09780,5.3.1.27,5.3.1,5.3.1.27;2.2.1.1;5.3.1.6,5.3.1,5.1.3;5.-.-;5.3.1;1.1.1;4.1.2,1.1.1.86;5.4.99.3;4.1.1.5;4.2.1.155;1.1.3.15;1.1.5.4;1.2.1.89;1.4.3.5;1.1.99.9;2.3.1.85;1.3.1.20;5.3.3.1;1.17.1.4,5.3.1;3.5.4,5.3.1;5.3.1;5.3.1;5.3.1;1.1.1;1.1.1;1.1.1;5.3.1,5.3.1,5.3.1
R13368,3.13.2.4,3.5.1,3.5.1.124;2.3.2.36;2.8.1.11|2.8.1.4,3.5.1,2.5.1;3.5.1;1.8.4;3.2.1;2.7.1,4.2.1.22;3.1.2.11;3.3.2.15;2.3.1.85;3.1.1.55;1.14.14.1;3.3.1.1;3.7.1.8;2.1.1.246;2.5.1.18;3.2.2.1;3.2.1.86,5.1.1;5.1.2;3.8.1;5.1.99;5.1.3;3.5.3;2.3.1;1.11.1;5.-.-,4.2.1;1.14.11;2.5.1;4.4.1;2.5.1;2.5.1;1.14.14;1.14.14;1.14.14;4.2.1;4.2.1;1.14.13;1.14.11;4.2.1;1.14.11;1.14.99;4.2.1;4.2.1;4.4.1;4.2.3;1.14.-;1.14.-;1.14.11;4.2.1;4.2.1;4.2.1;1.14.13;1.14.13;5.1.99;1.14.-;1.14.13;4.4.1;1.14.13;1.14.13;5.1.99;1.14.13;1.14.13;1.14.-;1.14.14;1.14.13;4.2.1;1.14.14,3.5.1,3.5.1
R07025,2.5.1.18,2.5.1,2.5.1.18,3.4.19,2.5.1;2.1.1;5.3.99;4.2.99;5.3.3,2.3.1.196;2.3.2.14;2.3.3.13;2.1.2.5;6.3.4.10;2.1.3.2;6.2.1.50;6.3.1.20;6.1.2.2;1.2.1.95,2.5.1;1.5.3;4.4.1;4.2.1;1.5.99;2.3.1;1.14.15;1.5.1;3.1.1;3.3.1;2.1.2;4.1.99;4.1.3;3.3.2;3.5.99;1.4.3;4.3.3;3.5.-;1.3.1;3.7.1;1.1.1;1.8.3,2.5.1;2.5.1;2.5.1;2.5.1;2.5.1;2.5.1;2.5.1;2.5.1;2.5.1,2.5.1,2.5.1
R00672,5.1.1.9|5.1.1.10|5.1.1.12,5.1.1,2.1.3.3,5.1.3,5.1.1;2.6.1;2.3.2;3.4.16;1.5.99,1.13.12.2;1.13.11.54;1.13.99.1;1.14.13.239,5.1.1,5.1.1;5.1.1;5.1.1;5.1.1;5.1.1;5.1.1;5.1.99;4.1.1;2.1.2;5.1.99;6.3.2;4.1.1;2.3.1;4.1.2;4.1.2;4.1.1,5.1.1,5.1.1
R11420,2.4.2.-,2.1.1,2.4.1.327;2.4.1.322;2.4.1.-|2.4.1.326;2.4.1.-|2.4.1.318;2.4.2.27;2.4.1.325;2.4.1.311;2.4.1.-|2.4.1.328;2.4.1.-|2.4.1.289;5.4.2.7,2.4.1,2.4.2;2.4.1;2.4.-;2.3.1;3.2.1,2.4.1.66;2.4.2.9;2.4.99.7,2.4.1;3.2.1;2.4.2;3.1.4;6.1.1;4.2.2;5.1.3;6.5.1;3.1.1;2.4.99;4.2.1;3.1.3;3.6.1;2.7.8;4.3.3,2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;3.6.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;4.2.3;2.4.2;2.4.99;2.4.1;2.4.1;2.4.2;2.4.2;2.4.2;2.4.1;2.4.99,2.4.1,2.4.1
R00673,4.1.99.1,4.4.1,4.1.99.1;4.2.1.122;4.2.1.122|4.2.1.20,1.13.11,4.1.99;4.4.1;4.2.1;4.3.3;4.3.1,4.1.99.1;4.1.2.45;4.1.1.3;4.1.3.39;1.1.1.38;2.1.2.11;4.2.99.21;4.2.1.20;1.3.8.6;3.1.1.82,2.5.1;1.5.3;4.4.1;4.2.1;1.5.99;2.3.1;1.14.15;1.5.1;3.1.1;2.1.2;3.3.1;4.1.99;4.1.3;3.3.2;3.5.99;1.4.3;4.3.3;3.5.-;1.8.3;1.3.1;3.7.1;1.1.1;1.8.1;4.5.1,4.1.99;4.2.1;4.1.2;2.1.1;4.1.99;2.5.1;2.1.1;1.14.13;2.1.1,4.1.99,4.1.99
R10280,5.1.99.6,5.1.99,3.2.2.19;3.2.2.24;3.6.1.21|3.6.1.9,5.1.3,5.1.99;4.2.1;5.2.1;2.A.3;1.97.1,2.4.2.7;2.4.1.118;2.4.99.18,5.1.99,5.1.3;5.1.3;5.1.3;5.1.3;5.1.3;5.1.3;5.1.3;5.1.3;5.1.3;5.1.3;1.1.1;5.1.3;1.1.1;1.1.1;1.1.5;1.1.1;2.1.1;5.1.3;5.1.3;1.5.3,5.1.3,5.1.99
R05475,1.14.12.-,1.14.12,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.12.-|1.14.12.26;1.14.13.131;1.14.13.245;1.14.13.69;1.14.13.223;1.6.5.4;1.14.13.87;1.14.12.17,1.1.1,1.14.12;1.3.1;1.11.1;1.14.21;1.3.3,1.14.12.18;1.14.13.236;1.14.14.1;1.14.15.3;1.14.18.1;1.2.3.9;1.14.99.2;1.14.21.11;1.14.16.4;1.14.11.40;1.10.3.4;1.14.19.19,1.14.12;1.14.99;1.13.11;1.14.-;1.14.14;1.14.13,1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;4.2.1;4.2.1;1.14.14;1.14.14;4.2.1;1.14.12;1.14.12;4.1.3;1.3.7;1.14.14;4.2.1;1.3.1;4.2.1;4.2.1;1.14.13;1.14.13;1.3.1;4.2.1;1.14.13;4.2.1;1.3.5;4.2.99;1.14.13;4.1.3;4.1.3,1.14.12,1.1.1|1.14.12
R11860,4.2.3.193,4.2.3,2.7.7.91;1.3.1.96|2.5.1.21;2.4.1.266;2.5.1.39,4.2.3,4.2.3;2.5.1;5.5.1;5.3.3;4.3.2,2.5.1.62;2.4.1.39;1.3.1.96;2.4.2.34;2.1.3.12;4.4.1.20,4.2.3;4.1.99;3.1.7,4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;2.1.1;2.1.1;1.3.1;4.2.1,4.2.3,4.2.3
R07684,1.13.11.-,1.13.11,1.13.11.38;1.13.11.-|1.13.11.3;1.13.11.-|1.13.11.39;1.13.11.-|1.13.11.56;1.13.11.4;1.14.18.1;1.14.14.154;1.14.14.78;1.14.14.115;1.14.14.126;1.14.14.111;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7,1.13.11,1.13.11;1.14.99;1.1.3;1.1.99;1.-.-,1.13.11.38;1.13.12.23;1.13.99.1;1.14.13.239,1.13.11;1.14.99;1.13.-;1.14.13;3.7.1;2.8.1;1.8.1;1.8.99;1.8.7,1.14.13;1.14.13;1.13.11;1.14.13;1.14.13;1.14.13;1.14.16;1.14.13;1.14.13;1.14.12;1.14.12;1.14.13;1.14.13;1.14.13;1.14.13;1.14.16;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.14;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.14;1.10.3;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.3.7;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.13;1.14.14;1.14.13;1.14.16;1.14.13;1.14.13;1.14.13;1.14.14;1.14.13;1.14.14;1.14.13;1.14.14;1.14.13;1.14.13;1.14.12;1.14.13;1.14.14;1.13.11;1.14.13;1.14.14;1.14.14;1.14.13;1.13.11;1.14.14;1.14.14;1.13.11;1.14.13;1.13.11;1.14.20;1.14.12;1.14.12;1.14.12;1.21.3;1.14.14;1.21.3;1.14.14;1.14.13;1.14.21;4.1.1;1.14.-;1.14.13;1.13.11;1.13.11;1.14.13;4.1.3,1.13.11,1.13.11
