reaction_id,EC Number,BEC-Pred,CLAIRE,SelenzymeRF,SIMMER,Theia,BridgIT,E-zyme1,E-zyme2,MajorityVote,MajorityVoteCore4
R07336,2.4.1.226,2.4.1,4.1.1;2.7.11;2.7.8;2.2.1,2.4.99.20;5.4.2.2;3.6.1.15|3.6.1.5,2.1.2;2.4.1,2.4.1;1.14.-;4.2.1;5.3.1;2.3.1,2.4.1.226;2.4.2.34;2.4.99.7,2.4.1;3.2.1;2.4.2;3.1.4;6.1.1;4.2.2;5.1.3;6.5.1;3.1.1;2.4.99;4.2.1;3.1.3;3.6.1;2.7.8;4.3.3,2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.99;3.6.1;2.4.2;2.4.2;4.2.3;2.4.2;2.4.2;2.4.2;2.4.99;2.4.1;2.4.2,2.4.1,2.4.1
R01252,1.14.11.2|1.14.11.57,1.14.11,1.14.13;1.6.3;1.14.14;5.4.4,1.13|1.13.12.19;1.13.12.24;1.14.11|1.14.11.2|1.14.11.57;1.14.11.56;1.2.2.4;1.14.11.1;1.14.11.13;1.13.12.6;1.13.11.27;1.14.11.-|1.14.11.55;1.14.20.7;1.14.11.28;1.14.11.41;1.13.11.46;1.14.11.4;1.14.11.75;1.13.11.83;1.14.11.76;1.14.11.21;1.14.11.8;1.14.11.40;1.14.11.45;1.14.11.39;1.14.11.27,1.14.11,1.14.11;1.14.20;2.6.1;1.4.11;4.1.1,1.14.11.2;1.14.18.5;1.14.15.3;1.14.19.32;1.10.3.3;1.14.13.168;1.14.12.19;1.14.14.1;1.2.3.9;1.14.21.11;1.14.99.46;1.14.16.7,1.14.13;1.14.14;1.14.11;1.14.15;1.14.16;1.14.-;1.14.18;1.14.99;1.17.1;1.10.99;1.13.11;1.1.1;1.10.3;1.97.1;1.17.99;1.2.1;1.3.99;1.3.7;1.14.20;4.1.99;3.5.3;1.-.-;1.17.7;3.7.1;1.6.6;2.5.1;1.14.12;1.17.3;1.7.3;1.14.17,1.14.11;1.14.11;1.17.1;2.6.1;4.2.1;2.6.1,1.14.11,1.14.11
R01943,6.2.1.12,6.2.1,2.3.1;6.2.1;2.7.1;2.7.7,6.2.1.12;6.2.1.12|6.2.1.34;2.3.1|2.3.1.133|3.1.2.-;2.3.1|2.3.1.133|2.3.1.99|3.1.2.-;6.2.1.2;2.3.1.140;2.3.1.215;2.3.1.153;2.3.1.302;2.3.1.196;2.3.1.138;6.2.1.7;6.2.1.33;6.2.1.30,2.3.1,6.2.1;2.3.1;3.1.2;1.2.1;4.1.2,6.2.1.12;3.1.2.28;4.2.1.155;2.3.1.85,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;1.2.4;1.8.1;2.1.3;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,1.2.1;1.2.1;1.2.1;1.2.1;1.2.1;1.2.1,6.2.1,6.2.1
R10451,2.1.1.277,2.1.1,2.1.1;2.3.1;2.5.1;2.3.3,2.1.1.277;2.1.1.274;2.1.1.6|2.1.1.68;2.1.1.50;2.1.1|2.1.1.163,2.1.1,2.1.1;2.3.1;6.-.-;2.5.1;6.3.2,2.1.1.277;2.8.4.4;2.1.2.3;2.3.1.101;2.1.3.2,2.1.1;1.14.14;3.1.1;2.3.1;1.5.3;1.14.11;1.5.8;2.-.-;1.16.1;1.14.99;1.14.13;1.2.7;1.5.99;3.7.1,2.5.1;2.3.1,2.1.1,2.1.1
R08597,5.1.3.-,5.1.3,5.1.3;5.1.99;-;2.4.2,2.4.1.327;5.1.3.2;4.2.1.164;1.1.1.-|1.1.1.384;5.1.3.27;2.7.4.12|2.7.4.13|2.7.4.9,5.1.3,5.1.3;5.3.1;1.1.1;4.2.1;5.-.-,2.4.2.9;2.4.1.71;2.4.99.18,5.1.3;1.1.1;5.3.1;5.-.-,5.1.3;1.1.1;2.1.1;1.1.1;5.1.3;4.3.1;5.3.1;1.1.1;1.1.1;1.1.1;1.1.1;4.2.1;5.1.3;5.1.3;5.1.3;1.1.1;1.1.1;1.1.1;4.2.1;1.1.1;4.2.1;5.1.3;1.1.1;4.2.1;5.1.3;4.2.1;5.1.3;5.1.3;5.1.3;1.1.1;1.1.1;5.1.3;5.1.3;1.1.1;4.2.1;1.3.1;5.1.3,5.1.3,5.1.3
R06757,2.5.1.111,2.5.1,2.5.1;5.3.99;4.4.1;2.2.1,2.5.1.111;2.5.1.39,2.5.1,2.5.1;5.3.3;1.14.-;1.14.15;1.14.13,2.5.1.122;1.3.1.96;2.4.1.85;2.1.3.12;2.4.2.34;4.4.1.20,2.5.1;1.5.3;4.4.1;4.2.1;1.5.99;2.3.1;1.14.15;1.5.1;3.1.1;2.1.2;3.3.1;4.1.99;4.1.3;3.3.2;3.5.99;1.4.3;4.3.3;3.5.-;1.8.3;1.3.1;3.7.1;1.1.1;1.8.1;4.5.1,2.5.1;2.5.1;2.5.1;2.5.1;2.5.1;2.5.1,2.5.1,2.5.1
R08533,2.4.1.126,2.4.1,2.4.1;2.4.2;3.6.1;3.1.3,2.4.1.126;2.4.1.35|2.4.1.91;2.4.1.234;2.4.1.128;2.4.1.17;2.4.1.185;2.4.1.170;2.4.1.218;2.4.1.-|2.4.1.286;2.4.1.220;2.4.1.237;2.4.1.120|2.4.1.126;2.4.1.238|2.4.1.249;2.4.1|2.4.1.-|2.4.1.298;2.4.1.115;2.4.1.63;2.4.1.202;2.4.1.81,2.4.1,2.4.1;2.7.7;1.14.-;2.4.2;3.2.1,2.4.1.126;2.4.2.9;2.4.99.18,2.4.1;3.2.1;2.4.2;3.1.4;6.1.1;4.2.2;5.1.3;6.5.1;3.1.1;2.4.99;4.2.1;3.1.3;3.6.1;2.7.8;4.3.3,2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;3.6.1;2.4.2;2.4.2;2.4.2;2.4.99;2.4.2;2.4.99;2.4.2;2.4.1;4.2.3;2.7.8,2.4.1,2.4.1
R04359,2.4.1.193,2.4.1,2.4.1;2.4.2;2.7.8;3.6.1,2.4.1.173;2.4.1.17;2.4.1.192;2.4.1.52;2.4.1.276;2.4.1.364;2.4.1.367;2.4.1.350;2.4.1.366|2.4.1.367|2.4.1.dv;2.4.1.368|2.4.1.dx;2.4.1.210;2.4.1.324;2.4.1.-|2.4.1.323;2.4.1.-|2.4.1.301;2.4.1.15,2.4.1,2.4.1;2.4.2;2.7.7;3.1.1;3.2.1,2.4.1.193;2.4.2.9;2.4.99.18,2.4.1;3.2.1;2.4.2;3.1.4;6.1.1;4.2.2;5.1.3;6.5.1;3.1.1;2.4.99;4.2.1;3.1.3;3.6.1;2.7.8;4.3.3,2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;3.6.1;2.4.2;2.4.2;2.4.2;2.4.99;2.4.2;2.4.99;2.4.2;2.4.1;4.2.3;2.7.8,2.4.1,2.4.1
R09757,2.4.1.271,2.4.1,2.4.1;2.4.2;2.7.8;2.7.7,2.4.1.271;2.4.1.136;2.4.1.35;2.4.1.185;2.4.1.126;2.4.1.91;2.4.1.-|2.4.1.286;2.4.1.234;2.4.1.357;2.4.1.263;2.4.1.120|2.4.1.126;2.4.1.177;2.4.1.121;2.4.1.-|2.4.1.330;2.4.1.63;2.4.1.17;2.4.1.-|2.4.1.298;2.4.1.238;2.4.1.14,2.4.1,2.4.1;2.3.1;2.7.7;2.7.1;3.1.1,2.4.1.271;2.4.2.9;2.4.99.18,2.4.1;3.2.1;2.4.2;3.1.4;6.1.1;4.2.2;5.1.3;6.5.1;3.1.1;2.4.99;4.2.1;3.1.3;3.6.1;2.7.8;4.3.3,2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;3.6.1;2.4.2;2.4.2;2.4.2;2.4.99;2.4.2;2.4.99;2.4.2;2.4.1;4.2.3;2.7.8,2.4.1,2.4.1
R02003,2.5.1.10,2.5.1,2.5.1;5.3.99;4.4.1;2.2.1,2.5.1.20;2.5.1.-|2.5.1.31;2.5.1.103|2.5.1.21|2.5.1.96;2.5.1.89;5.5.1.-|5.5.1.18;2.5.1.39,2.5.1;4.2.3,2.5.1;5.3.3;1.17.1;2.7.1;4.1.1,2.5.1.20;1.3.1.96;2.4.1.137;2.4.2.34;2.1.3.12;4.4.1.20,2.5.1;1.5.3;4.4.1;4.2.1;1.5.99;2.3.1;1.14.15;1.5.1;3.1.1;3.3.1;2.1.2;4.1.99;4.1.3;3.3.2;3.5.99;1.4.3;4.3.3;3.5.-;1.3.1;3.7.1;1.1.1;1.8.3,2.5.1;2.5.1;2.5.1;2.5.1;2.5.1;2.5.1;2.5.1;2.5.1;5.3.3;2.5.1;1.17.1;2.5.1;2.5.1;2.5.1;2.5.1,2.5.1,2.5.1
