reaction_id,EC Number,BEC-Pred,SelenzymeRF,SIMMER,Theia,BridgIT,E-zyme1,E-zyme2,MajorityVote,MajorityVoteCore4
R00357,1.4.3.2|1.4.3.16,1.4.3,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.1.3.15;1.14.18.1,2.6.1,1.4.3;1.4.1;1.4.9;1.4.11;4.3.1,1.4.3.1;1.1.5.4;1.1.3.15;1.5.3.21;1.5.99.6;1.4.9.2;1.1.99.9;1.4.4.2;1.4.1.21;1.5.1.22,2.6.1;1.4.3;1.4.1;1.4.9;1.4.99;1.4.7;1.4.2;4.3.1;1.13.12;4.1.1;1.14.11;2.-.-;2.4.2;1.4.5,1.4.3;1.4.3;2.6.1;2.6.1;2.6.1;1.4.99;1.4.1;2.6.1;1.4.1;2.6.1;4.4.1;4.4.1;4.4.1;1.4.3;1.4.3;4.4.1;4.4.1;4.4.1;2.6.1;2.6.1;1.4.1;1.4.1;2.6.1;1.4.1,1.4.3,1.4.3
R10835,2.4.1.324,2.4.1,2.4.1.324;2.4.1.-|2.4.1.323;2.4.1.245;2.4.1.15;2.4.1.38|2.4.1.90;2.4.1.-|2.4.1.266;2.4.1.202;2.4.1.22;2.4.1.-|2.4.1.284;2.4.1.85;2.4.1.173,2.4.1,2.4.1;3.2.1;5.1.3;2.7.7;2.4.2,2.4.1.324;2.4.2.9;2.4.99.1,2.4.1;3.2.1;2.4.2;3.1.4;6.1.1;4.2.2;5.1.3;6.5.1;3.1.1;2.4.99;4.2.1;3.1.3;3.6.1;2.7.8;4.3.3,2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;3.6.1;2.4.2;2.4.2;2.4.2;2.4.99;2.4.2;2.4.99;2.4.2;2.4.1;4.2.3;2.7.8,2.4.1,2.4.1
R08869,2.7.8.23,4.1.1,2.7.8.23;2.3.1.180,2.7.8,2.7.8;6.5.1;2.7.4;6.2.1;2.A.3,2.2.1.6;1.2.4.4;4.1.1.1,2.7.8,2.7.8,2.7.8,2.7.8
R13099,4.2.3.206,4.2.3,2.5.1.41;2.5.1.62;2.5.1.89;2.5.1.31;2.5.1.81;1.3.1.83;2.5.1.-|2.5.1.32,4.2.3,4.2.3;5.5.1;4.3.2;3.1.7;4.1.99,2.5.1.39;1.3.1.96;2.4.1.192;2.4.2.34;2.1.3.12;4.4.1.20,2.2.1;4.1.2;1.2.4;2.3.1,2.2.1;2.2.1,4.2.3,4.2.3
R10966,2.5.1.121,2.5.1,2.5.1.121;2.5.1.34;2.5.1.39,2.5.1,2.5.1;5.3.3;1.14.15;4.2.99;2.7.8,2.5.1.121;1.3.1.96;2.4.1.85;4.4.1.20;2.4.2.27;2.1.3.12,2.5.1;1.5.3;4.4.1;4.2.1;1.5.99;2.3.1;1.14.15;1.5.1;3.1.1;2.1.2;3.3.1;4.1.99;4.1.3;3.3.2;3.5.99;1.4.3;4.3.3;3.5.-;1.8.3;1.3.1;3.7.1;1.1.1;1.8.1;4.5.1,2.5.1;2.5.1;2.5.1;2.5.1;2.5.1;2.5.1;2.5.1;2.1.1;2.5.1;4.1.99;2.1.1;4.1.99;4.1.2;2.1.1;1.14.13;2.1.1;1.14.13;2.1.1;1.14.13;4.1.1;1.14.13;4.1.1;4.1.1;1.14.13;1.14.13;2.1.1;4.2.1;2.1.1;4.1.1;1.14.13;4.1.1;1.14.21;1.14.13;2.1.1;2.1.1;1.21.3;2.4.1,2.5.1,2.5.1
R13401,6.3.2.65,6.3.2,2.7.1.40;3.6.1.5;1.2.1.38|2.3.1.1|2.6.1.11|2.7.2.8,6.3.2,2.7.1;6.3.2;2.7.3;2.6.1;6.3.5,6.3.2.32;6.3.1.17;6.2.1.39;6.3.4.12;6.3.5.4;6.3.3.3;3.5.1.96;3.4.14.13;2.3.2.2;3.4.13.4;3.4.17.23;3.13.1.6;3.5.5.4;1.4.1.13;1.4.7.1;4.3.3.6;3.4.19.13;3.4.11.1;3.5.99.5;3.1.1.1;3.5.4.1;3.5.3.21,2.3.1;3.5.1;6.2.1;2.3.2;3.1.2;3.1.1;6.3.2;6.3.1;1.2.1;6.3.4;2.3.3;2.1.3;3.4.11;3.4.13;1.2.7;6.1.1;2.1.2;3.7.1;3.5.3;3.5.4;6.3.5;4.3.2;1.2.4;1.8.1;1.1.1;2.7.7;2.3.-;4.1.3;1.2.99;2.5.1;2.8.3;4.4.1;3.4.19;3.2.1;2.1.1;3.4.17;2.6.1;1.2.3;1.-.-,2.3.1;2.3.1;2.3.1;2.1.2;2.3.1;3.5.1;3.5.1;2.3.2;2.3.1;3.5.1;2.3.1;6.3.4;3.5.1;2.1.4;4.3.2,2.3.1,6.3.2
R07532,4.2.1.131,4.2.1,4.2.1.131;2.1.1.210;5.5.1.-|5.5.1.19;5.5.1.-|5.5.1.18;1.3.99.27;1.14.15.9;1.3.5.6;1.3.5.6|1.3.99.26|1.3.99.30|1.3.99.31;1.3.5.6|1.3.99.26|1.3.99.28|1.3.99.30;5.2.1.12;5.2.1.-|5.2.1.13;1.3.5.5;1.3.8.2;2.5.1.150;1.3.99.29;2.4.1.8|3.2.1.20|4.2.1.131,4.2.1;5.5.1,4.2.1;1.14.13;1.14.99;5.4.4;1.14.14,1.14.12.12;1.10.3.1;1.14.18.1;1.14.14.1;1.14.19.19;1.14.15.22;1.14.13.136;1.14.21.8;1.14.99.2;1.2.3.9;1.14.16.4;1.14.11.2,4.2.1;2.3.1;4.1.2;4.3.3;3.5.5;3.2.-;2.5.1;3.5.1;3.5.2;2.8.1;2.9.1;5.4.4,4.2.1;4.2.1;4.2.1;4.2.1;4.2.1;4.2.1;4.2.1;4.2.1;4.2.1;1.3.99;1.3.99;1.3.5;1.3.5;1.3.99;1.3.5;1.3.5;1.3.8;1.3.8;1.3.5;1.3.99;1.3.5;1.14.99;1.3.8;1.3.5;1.3.5;1.3.5;1.3.99;1.3.8;1.14.13;1.3.1,4.2.1,4.2.1
R01627,4.2.1.118,4.2.1,1.13.11.1;1.13.11.15;1.13.11.-|1.13.11.3;1.13.11.2;1.3.1.25;1.13.11.57|1.13.11.8;1.3.1.87;1.14.12.-|1.14.12.26;1.3.1.29;1.13.11.-|1.13.11.16|1.13.11.2|1.13.11.39,4.2.1,4.2.1;1.1.1;1.1.5;1.2.1;1.1.-,3.1.1.17;3.7.1.8;3.11.1.3;3.1.3.1;4.2.1.155;3.1.2.4;3.2.1.175;3.6.1.7;3.1.6.17;3.1.4.2;2.3.1.85;4.2.3.1;3.1.7.5;3.1.5.1;4.6.1.13;2.4.1.17;5.1.3.14,4.2.1;2.3.1;4.1.2;4.3.3;3.5.5;3.2.-;2.5.1;3.5.1;3.5.2;2.8.1;2.9.1;5.4.4,4.2.1;4.2.1;1.3.1;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;4.2.1;1.14.12;1.3.1;4.1.3;1.3.1;1.3.5;1.14.18;4.1.3;4.2.99;1.14.12;1.3.1;1.14.12;1.3.1;1.3.1;1.14.12;1.3.1;1.14.12;1.3.1;1.14.12;1.3.1;4.1.3;1.10.3;1.14.12;1.3.1;5.3.3;1.3.1;1.3.7;1.3.1;1.3.1;1.3.1;1.3.1;1.3.1;1.14.13;1.3.1;1.3.1,4.2.1,4.2.1
R13286,1.14.13.252,1.14.13,1.14.14.1,1.7.1;1.14.13;1.1.1,1.14.13;1.14.15;1.14.14;1.13.12;1.14.99,1.14.13.227;1.14.15.3;1.14.14.1;1.14.12.12;1.14.18.1;1.2.3.9;1.14.21.11;1.14.99.2;1.14.11.28;1.14.16.7;1.10.3.4;1.14.19.17,1.14.13;1.14.14;1.14.11;1.14.15;1.14.16;1.14.99;1.14.-;1.14.18;1.17.1;1.1.1;1.13.11;1.10.99;1.10.3;1.97.1;3.5.3;3.7.1;1.6.6;1.17.99;1.2.1;1.3.99;1.3.7;1.14.20;4.1.99;1.-.-;1.14.12;1.17.3;1.7.3;1.14.17;1.17.7,1.14.13;1.14.13;1.14.13,1.14.13,1.14.13
R05136,4.1.2.45,4.1.2,4.1.2.45|4.2.1.-;4.1.2.34;2.7.3.9;4.1.3.27,4.1.2,4.1.2;4.2.1;4.4.1;4.5.1;4.1.99,3.1.1.2;3.3.2.15;3.7.1.8;3.1.2.23;1.14.14.1;4.2.1.22;2.3.1.85;3.2.1.126;2.5.1.18;2.1.1.246;3.3.1.1;3.2.2.3,4.1.2;4.2.1;4.1.3;2.2.1;2.5.1;1.13.11;1.14.99;2.3.1;4.1.1,4.1.2;4.1.2;4.1.2,4.1.2,4.1.2
