reaction_id,EC Number,BEC-Pred,CLAIRE,SelenzymeRF,SIMMER,Theia,BridgIT,E-zyme1,E-zyme2,MajorityVote,MajorityVoteCore4
R10609,2.4.2.56,2.4.2,2.4.1;2.4.2;3.2.2;4.2.2,2.4.1.91;2.4.1.234;2.4.1.35|2.4.1.91;3.2.1.21,2.4.2;2.4.1,2.4.2;2.4.1;2.3.1;5.1.3;2.4.-,2.4.1.234;2.4.2.56;2.4.99.18,2.4.1;3.2.1;2.4.2;3.1.4;6.1.1;4.2.2;5.1.3;6.5.1;3.1.1;2.4.99;4.2.1;3.1.3;3.6.1;2.7.8;4.3.3,2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;3.6.1;2.4.2;2.4.2;2.4.2;2.4.99;2.4.2;2.4.2;2.4.99;2.4.1;4.2.3;2.7.8,2.4.1,2.4.1
R08870,2.3.3.18,2.3.3,2.3.1;1.1.1;1.3.1;3.1.1,2.3.3.13|4.1.3.-,2.3.3;2.3.1,2.3.3;2.3.1;3.1.2;3.2.1;4.1.3,2.3.3.18;2.3.1.182;6.2.1.1;2.3.2.14;2.1.3.5;1.2.1.95;6.1.2.2;6.3.1.20;6.3.4.10;2.1.2.2,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;1.2.4;1.8.1;2.1.3;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,1.1.1;2.3.1;2.3.1;1.2.1;1.2.1;3.1.2;1.2.1;6.2.1;6.2.1;2.3.1;2.3.1;1.2.7;2.3.1;3.1.2;1.2.7;1.2.1;1.2.7;1.2.1;2.3.1;1.2.4;1.2.1;6.2.1;6.2.1;2.3.1;2.3.1;2.3.1;2.3.1;6.2.1;2.3.1,2.3.1,2.3.3
R00192,3.13.2.1,3.3.1,3.1.2;2.3.1;4.4.1;3.1.1,2.1.1.15;2.1.1.80;4.2.1.22;6.3.5.9;2.5.1.48;3.2.2.19;3.2.2.24;2.3.1.24;2.6.1.57;2.7.8.24;2.3.1.24|2.3.1.291|2.3.1.297|2.3.1.298;2.7.8.11;3.5.1.114,3.3.1;2.5.1,3.3.1;3.13.1;4.4.1;3.1.2;4.2.1,3.3.1.1;3.2.2.1;4.2.1.22;3.1.2.13;3.3.2.4;2.5.1.18;3.2.1.86;1.14.14.1;2.3.1.85;3.1.1.35;3.7.1.8;2.1.1.246,4.4.1;2.5.1;4.2.1;1.8.3;3.3.1;2.1.2;1.1.1;1.8.1;4.5.1;2.3.1;4.1.99,3.3.1;4.4.1,3.3.1,3.3.1
R02791,2.4.1.87,2.4.1,2.7.1;2.7.6;2.4.2;2.4.1,2.4.1.87;2.4.1.38|2.4.1.90;2.4.1.-|2.4.1.301;2.4.1.22;3.2.1.74;2.4.1.252;2.4.1.338;2.4.1.239;2.4.1.230;2.4.1.-|2.4.1.284;2.4.1.-|2.4.1.297;3.2.1.4,2.4.1,2.7.7;2.4.2;5.1.3;2.3.1;2.4.1,2.4.1.87;2.4.2.34;2.4.99.1,2.4.1;3.2.1;2.4.2;3.1.4;6.1.1;4.2.2;5.1.3;6.5.1;3.1.1;2.4.99;4.2.1;3.1.3;3.6.1;2.7.8;4.3.3,2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;3.6.1;2.4.2;2.4.2;2.4.2;2.4.99;2.4.2;2.4.99;2.4.2;2.4.1;4.2.3;2.7.8,2.4.1,2.4.1
R05563,3.5.1.84,3.5.1,3.5.1;3.4.19;3.2.2;3.5.2,3.5.2.15;3.5.1.84;2.1.3.3|6.3.4.16,3.5.1,3.2.1;3.5.1;3.1.1;3.2.2;3.1.26,3.5.1.84;3.5.3.21;3.5.5.1;3.5.2.16;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;1.2.7.12;3.4.13.22;3.4.11.1;3.5.4.1;4.2.1.48;2.3.2.2;3.1.1.1;3.13.1.6;3.8.1.8;3.4.19.13;3.4.17.8;3.4.14.13;2.1.2.3;3.5.99.8;4.3.2.4,3.5.1;3.5.3;2.1.2;6.3.4;2.3.1;3.5.4;6.3.1;6.3.5;6.3.2;2.1.4;1.2.99;2.3.2;2.1.3;3.4.11;3.4.13,3.5.1;3.5.1;3.5.1;3.5.1;6.3.5;3.5.1;3.5.1;3.5.1;3.5.1;3.5.1;1.4.1;3.5.1;3.5.1;3.5.1;3.5.1;3.5.1;3.5.1;6.3.2,3.5.1,3.5.1
R00491,5.1.1.13,5.1.1,5.1.1;4.3.1;3.4.17;5.4.3,3.5.1.1;6.3.5.4;2.1.3.2,5.1.3,5.1.1;1.4.1;1.4.3;2.6.1;4.3.1,1.13.12.4;1.13.11.54;1.13.99.1;1.14.13.239,5.1.1,5.1.1;5.1.1;5.1.1;5.1.1;5.1.1,5.1.1,5.1.1
R02305,4.2.3.7,4.2.3,5.5.1;2.5.1;4.2.3;3.1.3,4.2.3.7;2.5.1.20;4.2.3.50;4.2.3.160;2.5.1|2.5.1.31|2.5.1.M1;2.5.1.88;2.5.1.87;3.1.7.7|4.2.3.194;4.2.3.69;4.2.3.96;4.2.3.204;4.2.3.37;4.2.3.157;4.2.3.136;4.2.3.62;4.2.3.79;4.2.3.197;4.2.3.-|4.2.3.129;4.2.3.68;4.2.3.74;4.2.3.169;4.2.3.64;4.2.3.93;4.2.3.146;4.2.3.199;4.2.3.164|4.2.3.ek;4.2.3.21;4.2.3.90;4.2.3.80;4.2.3.198|4.2.3.66;4.2.3.158;4.2.3.73;4.2.3|4.2.3.-|4.2.3.56;4.2.3.163;4.2.3.6,4.2.3,5.5.1;4.2.3;5.4.99;5.3.3;4.3.2,2.5.1.41;1.3.1.96;2.4.1.178;2.4.2.34;2.1.3.12;4.4.1.20,4.2.3;4.1.99;3.1.7,4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.1.99;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;5.4.99;5.4.99;5.4.99;5.4.99;4.2.3;5.4.99;4.2.1;5.4.99;5.4.99;4.2.3;4.2.3;3.1.7;5.4.99;4.2.1,4.2.3,4.2.3
R03055,3.5.2.2,3.5.2,3.5.2;1.3.3;1.3.99;1.3.5,3.5.1.6;3.5.2.2;1.3.1.2;1.3.1.1;3.4.11.4,3.5.2;3.5.1,3.5.2;3.5.1;3.1.1;4.2.1;3.1.2,3.5.2.2;3.5.1.95;3.5.4.1;3.4.13.4;3.5.5.4;3.4.11.1;3.5.3.21;4.2.1.48;2.3.2.2;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.4.17.8;3.4.19.13;3.13.1.6;1.2.7.12;3.4.14.13;3.1.1.1;2.1.2.3;3.8.1.8;3.5.99.6;4.3.2.4,3.5.2;4.2.1,3.5.2;3.5.2;3.5.2;3.5.2,3.5.2,3.5.2
R04389,5.1.3.17,5.1.3,5.1.3;3.2.1;2.4.1;5.3.1,5.1.3.17;2.4.1.224;3.2.1.18,5.1.3,1.1.1;3.2.1;1.1.99;5.3.3;4.2.1,1.13.99.1;1.13.12.2;1.13.11.56;1.14.13.239,5.1.3;1.1.1;5.3.1;5.-.-,5.1.3;5.1.3;4.2.2;5.1.3;5.1.3;5.1.3;5.1.3;5.1.3;1.1.1;5.1.3;5.1.3;5.1.3;5.1.3;5.1.3;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.3.3;1.1.1;1.1.1;4.1.1;1.1.1;5.3.99;4.2.1;4.2.1;1.1.5;1.1.1;1.1.1;4.2.1;5.1.3;2.2.1;1.5.1;1.1.3;1.1.1;1.1.1;1.1.1;1.1.1;4.2.3;1.1.1;1.1.1;4.2.1;5.1.3;4.2.1;1.1.1;1.1.1;1.4.3;5.1.1;4.2.1,5.1.3,5.1.3
R00577,2.3.1.68,2.3.1,3.1.2;2.8.3;2.3.1;3.1.1,2.3.1.180,2.3.1,2.3.1;6.2.1;1.2.1;3.1.2;2.3.3,2.3.1.68;2.3.3.9;6.2.1.1;2.1.3.2;2.3.2.30;1.2.1.95;6.3.4.10;2.1.1.98;6.3.1.20;6.1.2.2;2.1.2.5;2.8.4.4,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;1.2.4;1.8.1;2.1.3;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,2.3.1;2.3.1;1.1.1;1.2.1;1.2.1;3.1.2;1.2.1;6.2.1;2.3.1;2.3.1;6.2.1;1.2.7;2.3.1;3.1.2;1.2.7;1.2.1;1.2.7;1.2.1;2.3.1;1.2.4;1.2.1;6.2.1;6.2.1;2.3.1;2.3.1;2.3.1;6.2.1;2.3.1,2.3.1,2.3.1
R03465,4.1.2.34,4.1.2,3.7.1;4.1.2;4.1.1;5.3.1,4.1.2.34;4.1.2.45|4.2.1.-;4.1.3.27;2.7.3.9,4.1.2,4.1.2;4.2.1;4.5.1;2.6.1;2.3.1,4.1.2.34;4.1.1.77;4.1.99.11;1.1.1.38;4.1.3.39;2.1.2.11;4.2.99.21;1.3.8.6;4.2.1.155;3.1.1.82,4.1.2;4.2.1;4.1.3;2.2.1;2.5.1;1.13.11;1.14.99;2.3.1;4.1.1,4.1.2;4.1.2;4.1.2,4.1.2,4.1.2
R04560,2.1.2.3,2.1.2,2.1.2;3.5.1;3.2.2;3.4.19,2.1.2.3,2.1.2,2.1.2;6.3.4;4.3.1;1.4.4;1.5.1,2.1.2.3;2.1.1.282;2.3.1.101;2.1.3.2;2.8.4.4,2.1.2;6.3.4;3.5.1;2.1.1;1.2.99;1.5.1;4.1.2;1.8.1;1.4.4;2.3.1,1.5.1;2.1.1;2.1.1,2.1.2,2.1.2
R02768,2.3.1.41|2.3.1.179,2.3.1,2.3.1;3.1.1;1.1.1;1.3.1,2.3.1.179|2.3.1.41;2.3.1.179|2.3.1.41|2.3.1.85|2.3.1.86;2.3.1.-|2.3.1.179|2.3.1.199|2.3.1.41;2.3.1.-|2.3.1.179|2.3.1.180|2.3.1.41|2.3.1.85|2.3.1.86,4.1.1,2.3.1;3.1.2;3.1.1;6.2.1;1.2.7,2.3.1.179;2.3.2.30;2.3.3.10;6.2.1.51;1.2.1.95;2.1.3.5;6.3.1.20;6.3.4.10;6.1.2.2;2.1.2.2,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;2.1.3;1.2.4;1.8.1;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,2.3.1;2.3.1;2.3.1;2.3.1;2.3.1;1.2.1;2.3.1;6.2.1;2.3.1;1.2.1;2.3.1;6.2.1;2.3.1;2.3.2;3.1.2;1.2.1;2.3.1;1.2.7;2.3.1;1.2.1,2.3.1,2.3.1
R08192,3.1.2.-,3.1.2,3.1.2;2.8.3;3.1.1;2.3.1,2.3.1.301;6.2.1.3;2.3.1.41;2.3.1.207;2.3.1.26;6.2.1.2|6.2.1.3,2.3.1,3.1.2;3.1.1;2.3.1;1.2.1;1.2.3,3.1.2.2;4.2.1.155;2.3.1.85;3.1.1.85;3.1.3.4;3.1.6.3;4.2.3.1;3.6.1.7;3.11.1.3;3.1.4.46;3.2.1.175;3.1.7.3;3.1.5.1;3.7.1.8;2.4.1.17;4.6.1.13;5.1.3.14,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;1.2.4;1.8.1;2.1.3;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,3.1.2;3.1.2;3.1.2;3.1.2;3.1.2;3.1.2;3.1.2;3.1.2;2.3.1;2.3.1;2.3.1;2.3.-;2.3.1;3.1.2;3.1.2;2.3.1;2.3.1;2.3.1;2.3.1;2.3.1;3.1.2;2.3.1;3.1.2;2.3.1;2.3.1;2.3.1;2.3.1;2.3.1;2.3.1;2.3.1;6.2.1,3.1.2,2.3.1
R05146,2.3.1.241,2.3.1,2.3.1;3.1.1;1.1.1;1.3.1,2.3.1.241;2.3.1.242;2.3.1.179|2.3.1.41|2.3.1.85|2.3.1.86;3.1.2.14|3.1.2.21;2.3.1.-|2.3.1.179|2.3.1.199|2.3.1.41,2.3.1,2.3.1;1.13.12;2.8.1;3.1.1;2.1.1,1.13.99.1;1.13.11.25;1.14.13.239;1.13.12.2,2.3.1;3.1.1;6.2.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;1.2.7;3.5.1;3.7.1;3.2.1;2.1.3;1.2.4;1.8.1;1.1.1;4.1.3;2.5.1;2.3.-;2.8.3;4.4.1;2.1.1;1.-.-;6.1.2;3.5.3;1.2.3;2.6.1;6.3.1;6.3.4;2.1.2;2.2.1,2.3.1;2.3.1;2.3.1,2.3.1,2.3.1
R01784,4.1.2.18,4.1.2,4.1.2;2.2.1;4.1.3;4.2.1,4.1.2|4.1.2.18|4.1.2.28|4.1.3.39;1.14.14.1,4.1.2,4.1.2;4.1.3;2.4.1;2.3.1;5.4.99,4.1.2.18;4.1.3.16;1.1.1.38;4.1.1.3;2.1.2.11;4.1.99.12;4.2.1.155;4.2.99.21;1.3.8.6;3.1.1.82,4.1.2;4.1.3;2.2.1;4.2.1;2.5.1;1.14.99;4.1.1;1.13.11;2.1.2;1.11.1,4.1.3;4.1.2;4.1.3;4.1.2;4.1.2;4.1.2;4.1.2;4.1.2;4.1.2;4.1.3;4.1.1;4.1.3,4.1.2,4.1.2
R10530,3.2.1.186,3.2.1,3.2.1;5.1.3;2.4.1;5.4.1,3.2.1.74;3.2.1.23,2.4.1;3.2.1,3.2.1;2.3.1;5.1.3;4.2.1;2.4.1,3.2.1.128;3.1.1.93;3.2.2.30;4.3.3.5,2.4.1;3.2.1;2.4.2;3.1.4;4.2.2;5.1.3;6.5.1;6.1.1;2.4.99;4.2.1;3.1.3;3.6.1;2.7.8;3.1.1,2.4.1;2.4.1;3.2.1;3.2.1;2.4.1;2.4.1;3.2.1;2.4.1;2.4.1;3.2.1;2.4.1;2.4.1;3.2.1;3.2.1;3.2.1;2.4.1;3.2.1;3.2.1;2.4.1;3.2.1;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;3.2.1;3.2.1;2.4.1;3.2.1;2.4.1;3.2.1;2.4.1;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;2.4.1;2.4.1;2.4.1;3.2.1;2.4.1;3.2.1;2.4.1;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;3.2.1;2.4.1;2.4.1;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;2.4.1;2.4.1;2.4.1;3.2.1;2.4.1;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;3.2.1;2.4.1;3.2.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;4.2.2;2.4.99;3.2.1;2.4.1;2.4.2;2.4.1;3.2.1;2.4.1;3.2.1;2.4.1;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1,3.2.1,3.2.1
R08816,2.4.1.-,2.4.1,2.4.1;2.4.2;2.7.8;2.7.7,2.4.1.170;2.4.1|2.4.1.-|2.4.1.298;2.4.1.35;2.4.1.111;2.4.1.91;2.4.1.17;2.4.1.237;2.4.1.239;2.4.1.63;2.4.1.15,2.4.1,2.4.1;2.7.7;2.7.8;2.4.2;6.2.1,2.4.1.35;2.4.2.40;2.4.99.18,2.4.1;3.2.1;2.4.2;3.1.4;6.1.1;4.2.2;5.1.3;6.5.1;3.1.1;2.4.99;4.2.1;3.1.3;3.6.1;2.7.8;4.3.3,2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;3.6.1;2.4.2;2.4.2;2.4.2;2.4.99;2.4.2;2.4.99;2.4.2;2.4.1;4.2.3;2.7.8,2.4.1,2.4.1
R08697,3.1.7.6,4.2.3,2.5.1;3.1.7;5.3.99;4.2.3,2.5.1.20;2.3.1.76;2.3.1.135;2.7.7.91;5.4.2.2;2.5.1.-|2.5.1.62;2.5.1.89;2.7.1.161;2.7.1.26,4.2.3,3.1.7;3.1.3;3.1.4;3.1.1;3.2.1,3.1.7.6;3.1.5.1;3.1.3.74;3.6.1.7;3.2.1.42;2.4.1.17;4.2.3.1;5.1.3.14;3.1.4.46;3.11.1.1;3.1.1.59;4.6.1.13;3.1.2.28;3.7.1.8;3.1.6.1;2.3.1.85;4.2.1.155,2.7.1;3.1.3;3.6.1;2.7.8;2.7.4;2.7.7;3.6.3;2.7.11;3.1.4;2.7.2;2.7.6;2.7.3;3.6.4;3.1.7;4.6.1;2.7.9;3.6.5;3.2.1;2.7.12;2.7.13;2.6.-;2.7.-;4.1.1;2.7.10;1.3.7;1.18.6;4.2.3;2.7.99;3.1.5;2.4.1;5.1.3;1.19.6;3.-.-,3.1.7;2.7.1;2.7.6;2.7.1;2.7.1;2.7.6;3.1.3,3.1.7,4.2.3
R00878,5.3.1.5,5.3.1,5.3.1;5.1.3;4.1.2;4.2.1,5.3.1.5,5.3.1,5.3.1;2.2.1;5.1.3;2.6.1;3.2.1,3.2.1.108;3.1.1.93;3.2.2.24;4.3.3.5,5.3.1;3.5.4,5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;2.6.1;5.3.1;1.1.3;1.3.2;5.1.3,5.3.1,5.3.1
R00462,4.1.1.18,4.1.1,4.1.1;2.7.11;3.7.1;2.7.8,4.1.1.17;4.1.1.-|4.1.1.96;1.14.14.42;4.1.1.65,4.1.1,4.1.1;2.3.1;6.2.1;1.2.4;1.1.1,4.1.1.18;1.1.1.381;4.1.2.35;4.2.1.155;4.1.3.43;1.3.8.6;2.1.2.11;4.1.99.2;4.2.99.21;3.1.1.82,4.1.1;6.4.1;2.1.3;1.3.8;1.1.1,4.1.1;4.1.1;4.1.1;4.1.1;4.1.1;4.1.1;4.1.1;4.1.1;4.1.1,4.1.1,4.1.1
R07038,1.13.11.-,1.13.11,1.13.11;1.14.99;3.3.2;1.6.3,1.13.11.31;1.13.11.40;1.13.11.34;1.13.11.12|1.13.11.33;1.13.11.45;1.14.99.1;1.14.19.25;1.14.19.31;1.13.11.-|1.13.11.12|1.13.11.58;1.13.11.61;1.13.11.62;1.13.11.77;1.14.19.38;1.14.19.30;1.14.19.33;1.14.19.36;1.14.19.12;1.14.19.35;1.14.19.47,1.13.11,1.13.11;1.14.99;1.14.12;5.4.4;4.2.1,1.3.3.10;1.5.3.5;2.6.1.82;1.4.3.3;1.21.3.3;1.5.1.18;2.5.1.46,1.13.11;1.14.99;1.13.-;1.14.13;3.7.1;2.8.1;1.8.1;1.8.99;1.8.7,1.13.11;1.13.11;1.13.11;1.13.11;1.13.11;1.13.11;1.13.11;1.13.11;1.13.11;1.14.14;1.14.19;1.14.19;1.3.3;4.2.1;1.14.19;1.14.19;1.14.14;1.13.11;1.13.11;1.14.99;1.14.14;1.14.14;1.3.3;4.2.1;5.3.3;1.14.14;1.14.14,1.13.11,1.13.11
