reaction_id,EC Number,BEC-Pred,CLAIRE,SelenzymeRF,SIMMER,Theia,BridgIT,E-zyme1,E-zyme2,MajorityVote,MajorityVoteCore4
R03681,2.4.1.186,2.4.1,2.4.1;2.4.2;3.2.2;3.6.1,2.4.1.111;2.4.1.35;2.4.1.170;3.1.3.48,2.4.1,2.4.1;2.4.2;3.2.1;2.7.7;4.1.3,2.4.1.186;2.4.2.40;2.4.99.18,2.4.1;3.2.1;2.4.2;3.1.4;6.1.1;4.2.2;5.1.3;6.5.1;3.1.1;2.4.99;4.2.1;3.1.3;3.6.1;2.7.8;4.3.3,2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;3.6.1;2.4.2;2.4.2;2.4.2;2.4.99;2.4.2;2.4.99;2.4.2;2.4.1;4.2.3;2.7.8,2.4.1,2.4.1
R02297,2.4.2.1,2.4.2,3.2.2;2.4.2;3.6.1;4.2.2,2.4.2.-|2.4.2.1,2.4.2,2.4.2;2.7.1;2.7.8;3.2.2;2.4.1,2.4.2.1;2.4.1.118;2.4.99.18,2.4.2;3.2.2;2.4.1;4.3.3;2.7.8;1.14.14;1.14.11;3.5.1;6.3.4;4.1.3;2.6.1,2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;3.2.2;2.4.2;2.4.2;2.4.2;2.4.2;3.2.2;2.4.2;2.4.2;2.4.1;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;1.14.14;2.4.2;3.2.2;2.4.2;3.2.2;2.4.1;2.4.2;1.13.12;1.13.12;1.13.12;1.13.12,2.4.2,2.4.2
R10782,4.2.1.120,4.2.1,4.2.1;4.4.1;5.4.4;1.14.14,1.3.8.1;4.2.1.120;4.2.1.17;4.2.1.-|4.2.1.134,4.2.1,4.2.1;2.3.1;3.1.2;3.1.1;1.14.14,3.1.7.2;3.1.3.7;3.1.4.52;3.6.1.20;3.1.5.1;4.6.1.13;3.2.1.184;2.4.1.17;5.1.3.14;3.1.1.31;4.2.3.1;3.1.6.9;3.1.2.30;4.2.1.155;3.11.1.3;3.7.1.8;2.3.1.85,1.3.8;1.3.99;1.3.1;2.3.1;1.3.3,1.3.1;1.3.8;1.3.1;4.2.1;4.2.1;4.2.1;4.2.1;1.3.1;1.3.8;4.2.1;1.3.1;4.2.1;1.3.1;4.2.1;4.2.1;1.3.8;1.3.8;1.3.8;1.3.99;1.3.1;1.3.99;1.3.1;4.2.1;4.2.1;4.2.1;1.3.1;4.2.1;4.2.1;1.3.1;5.3.3;1.3.1;1.3.1;1.3.3;1.3.3;2.3.1;1.3.1;4.2.1;1.3.1;4.2.1;4.2.1;4.2.1,4.2.1,4.2.1
R10443,3.6.1.5,3.6.1,3.6.1;3.1.3;3.6.5;2.4.2,3.6.1.5;3.6.1.15|3.6.1.5,3.6.1,3.6.1;3.-.-;3.1.4;3.1.3;3.6.4,3.6.1.5;3.6.5.1;3.6.3.55;3.6.4.1;3.1.3.81,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;1.2.4;1.8.1;2.1.3;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,1.2.1;1.2.1;1.2.1;1.2.1;1.2.1;1.2.1,3.6.1,3.6.1
R08190,3.1.2.-,3.1.2,3.1.2;2.3.1;2.8.3;3.1.1,2.3.1.301;6.2.1.3;2.3.1.41;2.3.1.207;2.3.1.26;2.3.1.23,2.3.1,3.1.2;3.1.1;2.3.1;1.2.1;1.2.3,3.1.2.2;4.2.1.155;2.3.1.85;3.1.1.85;3.1.3.4;3.1.6.3;4.2.3.1;3.6.1.7;3.11.1.3;3.1.4.46;3.2.1.175;3.1.7.3;3.1.5.1;3.7.1.8;2.4.1.17;4.6.1.13;5.1.3.14,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;1.2.4;1.8.1;2.1.3;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,3.1.2;3.1.2;3.1.2;2.3.1;3.1.2;2.3.-;3.1.2;2.3.1;3.1.2;3.1.2;2.3.1;2.3.1;3.1.2;2.3.1;3.1.2;3.1.2;2.3.1;2.3.1;2.3.1;2.3.1;3.1.2;2.3.1;2.3.1;2.3.1;2.3.1;2.3.1;3.1.2;2.3.1;2.3.1;2.3.1;2.3.1;6.2.1,3.1.2,2.3.1
R05297,4.2.1.80,4.2.1,4.2.1;4.4.1;5.4.4;1.14.14,4.2.1.80;4.2.1.132|4.2.1.80;1.1.1.71;4.2.1.-|4.2.1.163;1.1.1.4;1.1.1.1,5.3.3,4.2.1;2.3.1;3.2.1;5.4.4;1.14.-,1.11.1.21,4.2.1;2.3.1;4.1.2;4.3.3;3.5.5;3.2.-;2.5.1;3.5.1;3.5.2;2.8.1;2.9.1;5.4.4,4.2.1;4.2.1;4.2.1;5.2.1;2.3.1;4.2.1;4.2.1;4.2.1;4.2.1;4.2.1;4.2.1;4.2.1;4.2.1;2.3.1;4.2.1;4.2.1;4.2.1;4.2.1;4.2.1;1.3.8;4.2.1;4.2.1;4.2.1;4.2.1;5.2.1;4.2.1;4.2.1;4.2.1;4.2.1;4.2.1;1.14.14;2.3.1;4.2.1;4.2.1;4.2.1;4.2.1;1.3.1;4.2.1;4.2.1;4.2.1;4.2.1;4.2.1;4.2.1;4.2.1;1.3.8;1.3.1;4.3.1;1.3.8;4.3.1;1.3.99;4.2.1;1.3.1;4.2.1;4.2.1;4.2.1;4.2.1;4.2.1;2.3.1;4.2.1;1.3.1;4.2.1;1.3.1;1.14.19;5.3.3;4.2.1;3.5.1;1.14.19;1.3.5;1.3.1;5.3.2;1.14.19;4.2.1;5.3.3;4.2.1;1.3.8;1.3.99;1.14.19,4.2.1,4.2.1
R00821,4.1.1.46,4.1.1,4.1.1;2.7.11;3.7.1;2.5.1,4.1.1.55;1.14.13.1;1.3.1.25;4.1.1.98;4.1.1.77;4.1.1.68;2.3.1.180,4.1.1,4.1.1;2.7.11;2.7.1;2.3.1;1.17.1,4.1.1.46;4.1.2.38;1.3.8.6;4.2.99.21;4.2.1.155;1.1.1.276;4.1.3.40;4.1.99.2;2.1.2.11;3.1.1.82,4.1.1;6.4.1;2.1.3;1.3.8;1.1.1,4.1.1;4.1.1;1.14.13;1.14.13;4.1.1;1.14.13;1.14.13;4.1.1;4.1.1;1.14.13;1.14.13;4.1.1,4.1.1,4.1.1
R01225,2.1.2.7,2.1.2,2.1.1;2.5.1;4.4.1;5.3.99,2.1.2.7;2.1.2.11,2.1.2,2.1.2;3.5.4;1.4.4;4.3.1;5.1.1,2.1.2.7;2.3.1.101;2.1.1.86;2.1.3.2;2.8.4.4,2.1.2;2.1.1;6.3.4;1.8.1;1.4.4;3.5.1;4.1.2;1.2.99;2.3.1;1.5.1;3.5.4;3.5.3;6.3.3;4.3.-,1.4.4;2.1.2;2.1.1;2.1.2;2.1.2;4.3.1;1.5.1;3.5.4,2.1.2,2.1.2
R07405,5.4.99.18,5.4.99,5.4.99;5.4.3;5.4.1;5.4.2,3.6.1.5;2.7.8.41;3.6.1.26;5.1.3.9,5.4.99;3.5.4,5.4.99;2.7.2;5.4.1;3.5.2;3.1.1,1.13.99.1;1.14.13.128;1.13.12.1;1.13.11.47,5.4.99;1.1.1,4.1.1;4.1.1;5.4.99;2.1.1;2.1.1,5.4.99,5.4.99
R09765,2.4.99.15,2.4.99,2.8.3;3.1.2;2.3.1;3.2.2,2.4.99.15;2.4.99.14;2.4.99.13;2.4.99.12;2.7.7.38,2.4.1,2.4.99;2.3.2;2.4.1;2.7.7;3.1.3,2.4.99.12;2.4.1.92;2.4.2.34,2.4.99;3.2.1;2.4.1;3.1.4,2.4.99;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;4.2.3;2.4.2;2.4.2;2.4.2;2.4.2;3.6.1;2.4.2;2.4.1,2.4.99,2.4.99
