reaction_id,EC Number,BEC-Pred,SelenzymeRF,SIMMER,Theia,BridgIT,E-zyme1,E-zyme2,MajorityVote,MajorityVoteCore4
R04662,2.4.1.145,2.4.1,2.4.1.145;2.4.1.87;2.4.1.239;2.4.1.236;2.4.2.51;2.4.1.-|2.4.1.254;2.4.1.15;2.4.1.297;2.4.1.210;2.4.1.173;2.4.1.17,2.4.1,2.7.7;2.4.1;6.2.1;2.7.4;2.7.1,2.4.1.145;2.4.2.34;2.4.99.18,2.4.1;3.2.1;2.4.2;3.1.4;6.1.1;4.2.2;5.1.3;6.5.1;3.1.1;2.4.99;4.2.1;3.1.3;3.6.1;2.7.8;4.3.3,2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;3.6.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.99;2.4.2;2.4.2;2.4.1;2.4.99;2.4.2;2.4.2;2.4.2;4.2.3,2.4.1,2.4.1
R06804,2.4.1.239,2.4.1,2.4.1.239;2.4.1.-|2.4.1.297;2.4.1.236;2.4.1.159;2.4.1.254;2.4.2.51;2.4.1.22;2.4.1.87;2.4.1.38|2.4.1.90;2.4.2.50;2.4.1.-|2.4.1.301;2.4.1.338;2.4.1.273;3.2.1.21|3.2.1.25|3.2.1.74;3.2.1.74,2.4.2;2.4.1,2.4.1;2.4.2;2.3.1;3.2.1;2.7.7,2.4.1.91;2.4.2.56;2.4.99.18,2.4.1;3.2.1;2.4.2;3.1.4;6.1.1;4.2.2;5.1.3;6.5.1;3.1.1;2.4.99;4.2.1;3.1.3;3.6.1;2.7.8;4.3.3,2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;3.6.1;2.4.2;2.4.2;2.4.2;2.4.99;2.4.2;2.4.99;2.4.2;2.4.1;4.2.3;2.7.8,2.4.1,2.4.1
R09628,4.2.3.194,4.2.3,2.5.1.20;2.7.7.91;2.5.1.103|2.5.1.21|2.5.1.96;5.5.1.-|5.5.1.18;5.5.1.19;2.5.1.89;2.5.1.-|2.5.1.31,4.2.3,4.2.3;5.5.1;4.2.1;5.4.99;5.3.3,3.1.7.6;3.1.5.1;3.1.3.74;3.6.1.7;3.2.1.42;2.4.1.17;4.2.3.1;5.1.3.14;3.1.4.46;3.11.1.1;3.1.1.59;4.6.1.13;3.1.2.28;3.7.1.8;3.1.6.1;2.3.1.85;4.2.1.155,3.1.7,3.1.7;5.5.1;5.5.1;5.5.1;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;5.4.99;5.4.99;5.4.99;5.4.99;5.4.99;5.4.99;5.4.99;5.4.99;4.2.1;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;5.4.99;5.4.99;5.4.99;5.4.99;4.2.1;4.2.3;5.4.99;4.2.3;5.4.99;4.2.1;5.4.99;4.2.3;4.1.99;4.2.3;4.2.3;4.2.3;4.2.3;5.4.99;5.4.99;4.2.1;5.5.1;5.5.1;5.4.99,5.5.1,4.2.3
R09672,3.2.1.169,3.5.1,3.2.1.169;3.2.1.97;3.2.1.49;3.2.1.50;3.2.1.52,3.5.1,3.2.1;3.1.1;3.1.4;3.5.1;3.2.2,3.2.1.169;3.1.1.93;3.2.2.11;4.3.3.5,2.4.1;3.2.1;2.4.2;3.1.4;4.2.2;5.1.3;6.5.1;6.1.1;2.4.99;4.2.1;3.1.3;3.6.1;2.7.8;3.1.1,3.2.1;3.2.1;2.4.1;3.2.1;3.2.1;2.4.1;2.4.1;3.2.1;2.4.1;2.4.1;3.2.1;2.4.1;2.4.1;2.4.1;4.2.1;2.4.1;2.4.1;3.2.1;2.4.1;2.4.1;3.2.1;2.4.1;2.4.2;2.4.1;3.2.1;3.2.1;3.2.1;2.4.1;3.2.1;2.4.1;3.2.1;2.4.1;2.4.1;3.2.1;2.4.1;2.4.1;2.4.1,3.2.1,3.2.1
R10253,2.3.1.-,2.3.1,2.3.1.-|2.3.1.224;2.3.1.180,2.3.1,2.3.1;3.1.2;3.1.1;2.3.3;1.2.7,2.3.1.224;2.3.3.9;6.2.1.1;2.1.3.7;2.3.2.30;6.1.2.2;1.2.1.95;6.3.1.20;6.3.4.10;2.1.2.5,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;1.2.4;1.8.1;2.1.3;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,1.1.1;2.3.1;2.3.1;1.2.1;1.2.1;1.2.1;3.1.2;6.2.1;6.2.1;2.3.1;2.3.1;1.2.7;2.3.1;1.2.7;3.1.2;1.2.7;1.2.1;1.2.1;2.3.1;1.2.4;1.2.1;6.2.1;6.2.1;2.3.1;2.3.1;2.3.1;2.3.1;6.2.1;2.3.1,2.3.1,2.3.1
R11899,4.4.1.23,4.4.1,2.1.1.-|2.1.1.246|2.1.1.90;2.5.1.48;4.2.1.22;2.3.1.26;2.3.1.76;2.8.2.2;2.5.1.18,4.4.1,2.1.1;4.4.1;4.2.1;2.5.1;1.14.13,4.4.1.23;4.5.1.2,4.4.1;2.5.1;1.8.3;4.2.1;1.1.1;1.8.1;2.1.2;4.5.1;3.3.1,3.3.2;1.1.1;1.1.1;4.4.1;1.14.19;1.1.1;1.1.1,4.4.1,4.4.1
R07672,5.1.3.18,5.1.3,1.-.-.-|1.1.1.271;3.6.1.21;2.4.1.69;2.4.1.152;2.7.8.28;6.2.1.4;6.3.2.34;2.7.1.190,5.1.3,5.1.3;2.7.1;2.7.7;2.3.1;2.3.2,2.4.2.22;2.4.1.118;2.4.99.18,5.1.3;1.1.1;5.3.1;5.-.-,5.1.3;5.1.3;5.1.3;5.1.3;5.1.3;1.1.1;5.1.3;5.1.3;1.1.1;4.2.1;5.1.3;5.1.3;1.1.1;5.1.3;1.1.1;4.2.1;4.2.1;5.1.3;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;4.2.1;5.1.3;4.2.1;5.1.3;1.1.1;1.1.1;4.3.1;2.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.5;1.1.1;1.1.1;5.3.99;5.3.1;1.1.1;5.1.3;1.1.1;4.2.1;5.1.3,5.1.3,5.1.3
R03275,5.4.3.3,5.4.3,4.1.1.95;2.6.1.57;3.5.1.114;6.2.1.39;1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4,5.4.3,2.6.1;6.2.1;3.5.1;2.8.3;2.8.1,1.13.12.2;1.13.11.54;1.13.99.1;1.14.13.239,5.4.3,5.4.3;1.14.14;1.14.14;5.4.3;1.14.11,5.4.3,5.4.3
R02433,2.6.1.1,2.6.1,2.6.1.1;2.6.1.57;2.6.1.15;2.6.1.1|2.6.1.19|2.6.1.42|2.6.1.5|2.6.1.57,2.6.1,2.6.1;2.8.1;1.4.1;1.1.1;4.1.1,2.6.1.1;2.6.99.2;2.7.8.29,2.6.1;1.4.3;1.4.1;1.4.9;1.4.99;1.4.7;1.4.2;4.3.1;1.13.12;4.1.1;1.14.11;2.-.-;2.4.2;1.4.5,2.6.1;2.6.1;1.4.1;2.6.1;1.5.1;4.4.1;1.4.3;1.4.3;1.4.1;1.5.1;1.4.1;4.4.1;4.4.1;2.6.1;2.6.1;1.4.3;1.4.3;2.6.1;1.4.1;1.4.99;1.4.1;2.6.1;1.4.1;4.4.1;4.4.1;4.4.1;1.4.3;4.3.1,2.6.1,2.6.1
R06310,2.3.1.166,2.3.1,2.3.1.180,2.3.1,2.3.1;3.1.1;6.2.1;2.8.3;3.1.2,2.3.1.166;2.1.3.12;2.3.3.17;2.3.2.19;6.2.1.11;6.1.2.2;2.1.2.13;1.2.1.95;6.3.1.20;6.3.4.10,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;1.2.4;1.8.1;2.1.3;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,2.3.1;6.2.1;2.3.1;6.2.1;6.2.1;3.1.2;2.3.1;3.1.2;6.2.1,2.3.1,2.3.1
R04459,4.6.1.14,2.4.1,4.6.1.14;3.2.1.113;3.5.1.52;3.2.1.130;3.2.1.207;2.3.1.251;2.7.8.1;2.7.8.2;2.7.1.107,2.7.1;2.4.1,4.6.1;2.7.8;6.5.1;2.7.1;1.6.2,2.7.8.42;2.7.1.163;2.7.7.47;2.7.6.1;2.7.11.7;2.7.99.1;2.7.2.13;2.7.4.24;6.3.5.5;2.7.10.1;2.7.12.1;2.7.3.2;2.7.14.1,2.7.1;3.1.3;3.6.1;2.7.8;2.7.4;2.7.7;3.6.3;2.7.11;3.1.4;2.7.2;2.7.6;2.7.3;3.6.4;3.1.7;4.6.1;2.7.9;3.6.5;3.2.1;2.7.12;2.7.13;2.6.-;2.7.-;4.1.1;2.7.10;1.3.7;1.18.6;4.2.3;3.1.5;2.7.99;2.4.1;5.1.3;1.19.6;3.-.-,3.1.4;2.7.1;2.7.1;3.1.4;2.7.1;2.7.8;2.4.1;3.6.1;2.7.7;2.7.7;2.7.7;2.7.1;2.7.1;2.7.7;2.7.8;2.7.7;2.7.7,2.7.1,4.6.1
R04564,2.4.3.8,2.4.99,2.4.99.13;2.4.99.1;2.4.99.12|2.4.99.13;2.4.99.3;2.7.8.46;2.7.8.41;2.7.8.14;2.4.99.8;3.6.1.26;2.4.1.60;2.7.8.12;2.7.7.38,2.7.7;2.4.1,2.4.99;3.1.3;2.7.7;2.3.2;3.1.4,1.13.99.1;1.14.13.179;1.13.11.25;1.13.12.2,2.4.99;3.2.1;2.4.1;3.1.4,2.4.99;3.6.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;4.2.3;2.4.1;2.4.1;2.4.1;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.99;2.4.1,2.4.99,2.4.99
