RPAIR,Score,EC,KO
RP05014,0.008,1.13.11.-,K15242
RP11407,0.008,1.13.11.2,K00446
RP12230,0.005,1.13.11.1,K03381
RP01119,0.005,1.13.11.1,K03381
RP09299,0.005,1.13.11.1,K03381
RP03888,0.005,1.13.11.1,K03381
RP03687,0.005,1.13.11.37,K04098
RP04901,0.005,1.13.11.1,K03381
RP12233,0.005,1.13.11.1,K03381
RP05013,0.005,1.13.11.-,K15247
RP05015,0.005,1.13.11.-,K15253
RP01645,0.005,1.13.11.3,K00448 K00449
RP09586,0.005,1.13.11.1,K03381
RP03164,0.005,1.13.11.57 1.13.11.8,K04099 K04100 K04101
RP14380,0.004,1.13.11.1,K03381
RP01118,0.003,1.13.11.2,K00446
RP05011,0.003,1.13.11.74,K15058 K15059
RP04846,0.003,1.13.11.66,K15240
