Reaction ID,BridgIT
R00357,1.4.3.1;1.1.5.4;1.1.3.15;1.5.3.21;1.5.99.6;1.4.9.2;1.1.99.9;1.4.4.2;1.4.1.21;1.5.1.22
R10835,2.4.1.324;2.4.2.9;2.4.99.1
R10532,3.1.1.17;3.1.3.18;3.11.1.2;3.6.1.7;3.1.2.16;4.2.3.1;3.1.6.17;3.1.4.2;3.7.1.8;4.2.1.155;2.3.1.85;3.2.1.175;3.1.7.5;3.1.5.1;4.6.1.13;2.4.1.17;5.1.3.14
R12161,
R08869,2.2.1.6;1.2.4.4;4.1.1.1
R02360,
R13099,2.5.1.39;1.3.1.96;2.4.1.192;2.4.2.34;2.1.3.12;4.4.1.20
R10446,
R02161,
R10966,2.5.1.121;1.3.1.96;2.4.1.85;4.4.1.20;2.4.2.27;2.1.3.12
R13401,6.3.2.32;6.3.1.17;6.2.1.39;6.3.4.12;6.3.5.4;6.3.3.3;3.5.1.96;3.4.14.13;2.3.2.2;3.4.13.4;3.4.17.23;3.13.1.6;3.5.5.4;1.4.1.13;1.4.7.1;4.3.3.6;3.4.19.13;3.4.11.1;3.5.99.5;3.1.1.1;3.5.4.1;3.5.3.21
R07532,1.14.12.12;1.10.3.1;1.14.18.1;1.14.14.1;1.14.19.19;1.14.15.22;1.14.13.136;1.14.21.8;1.14.99.2;1.2.3.9;1.14.16.4;1.14.11.2
R08891,
R01627,3.1.1.17;3.7.1.8;3.11.1.3;3.1.3.1;4.2.1.155;3.1.2.4;3.2.1.175;3.6.1.7;3.1.6.17;3.1.4.2;2.3.1.85;4.2.3.1;3.1.7.5;3.1.5.1;4.6.1.13;2.4.1.17;5.1.3.14
R13286,1.14.13.227;1.14.15.3;1.14.14.1;1.14.12.12;1.14.18.1;1.2.3.9;1.14.21.11;1.14.99.2;1.14.11.28;1.14.16.7;1.10.3.4;1.14.19.17
R04321,2.3.1.149;2.1.3.12;6.2.1.1;6.1.2.2;1.2.1.95;2.1.2.3;2.3.2.14;6.3.1.20;6.3.4.10;2.3.3.13
R00626,
R08510,1.5.1.48;2.5.1.46;1.5.3.5;1.3.3.10;1.4.3.3;2.6.1.82;1.21.3.3
R00087,3.6.1.66;3.6.3.1;3.6.4.1;3.6.5.1;3.1.3.81
R02925,
R05136,3.1.1.2;3.3.2.15;3.7.1.8;3.1.2.23;1.14.14.1;4.2.1.22;2.3.1.85;3.2.1.126;2.5.1.18;2.1.1.246;3.3.1.1;3.2.2.3
R10243,
R00715,1.4.1.13;1.5.1.7;1.5.3.5;1.4.3.3;1.1.3.39;1.4.4.2;1.1.99.9;1.5.99.6;1.1.5.4;1.4.9.2
R07475,2.5.1.81;1.3.1.96;2.4.1.326;2.1.3.12;2.4.2.34;4.4.1.20
R04769,4.2.1.51;4.3.3.3;4.2.99.20;1.14.13.197;4.2.3.5;1.1.1.394;3.2.1.21;5.5.1.2;3.1.7.9;2.5.1.119;4.3.1.9;3.7.1.21;4.1.1.25;3.3.1.1;2.3.1.85;1.1.3.47;1.2.1.31;1.4.1.18;1.17.98.2;3.5.5.4;1.3.8.6;3.5.1.110;2.7.8.23
R08208,1.7.1.6;1.7.99.1;1.7.3.3
R00499,3.1.2.13;4.2.1.155;3.1.1.48;2.3.1.85;3.1.3.102;3.1.4.12;4.2.3.1;3.11.1.3;3.6.1.20;3.1.6.10;3.2.1.175;3.1.5.1;5.1.3.14;3.1.7.2;3.7.1.8;4.6.1.13;2.4.1.17
R02750,2.7.1.15;2.7.2.7;6.3.5.5;2.7.3.8;2.7.7.96;2.7.11.2;2.7.4.8;2.7.14.1;2.7.10.1;2.7.12.1;2.7.6.1;2.7.8.4;2.7.99.1
R04264,
R04026,3.5.5.1;3.5.1.4;3.5.3.16;3.4.11.1;3.5.2.10;3.13.1.6;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.4.13.22;3.1.1.1;3.4.17.8;2.3.2.2;1.2.7.12;3.5.4.1;3.4.19.13;3.4.14.13;4.2.1.48;3.8.1.8;3.5.99.6;2.1.2.3;4.3.2.4
R11382,1.14.13.176;1.14.14.1;1.14.15.3;1.14.18.1;1.14.12.9;1.2.3.9;1.14.21.11;1.14.99.2;1.14.16.4;1.10.3.1;1.14.11.40;1.14.19.18
R10537,2.7.6.5;2.7.7.1;2.7.1.25;2.7.8.46;2.7.4.21;2.7.2.3;2.7.11.7;2.7.3.3;2.7.14.1;6.3.5.5;2.7.10.1;2.7.12.1;2.7.99.1
R12147,1.13.11.6;1.13.12.4;1.13.99.1;1.14.13.239
