RPAIR,Score,EC,KO
RP01736,1.000,5.3.1.4,K01804
RP01508,1.000,5.3.1.5,K01805
RP01154,0.827,5.3.1.5,K01805
RP01545,0.685,5.3.1.12,K01812
RP01891,0.685,5.3.1.12,K01812
RP02940,0.616,5.3.1.9,K01810 K06859 K13810 K15916
RP02869,0.616,5.3.1.26,K01819
RP01780,0.616,5.3.1.8,K01809 K15916 K16011
RP02454,0.616,5.3.1.9,K01810 K06859 K13810 K15916
RP14213,0.616,5.3.1.6,K01808
RP13006,0.497,5.3.1.-,K02080
RP00434,0.497,2.6.1.16 3.5.99.6,K00820 K02564 K12410
RP05266,0.387,,K03335
RP00554,0.349,1.3.2.3 1.3.3.12,K00225 K05276
RP15844,0.349,1.1.3.8,K00103
RP10987,0.345,,K12449
