EC,Weighted Score,Observed Freq,Reactions
3.5.1,172.7,38,R00059  R00458  R00545  R00665  R00905  ... (36 reactions)
2.3.1,95.1,28,R00395  R00454  R01154  R01617  R01620  ... (27 reactions)
6.3.2,40.9,6,R00497  R02473  R02741  R03095  R07643
2.3.2,27.9,9,R01687  R03956  R03971  R04613  R05055  ... (9 reactions)
6.3.1,19.8,11,R01917  R02929  R03822  R06529  R07302  ... (10 reactions)
6.3.4,15.3,8,R04562  R04563  R04582  R04604  R05145
3.4.13,11.4,2,R00899  R04951
2.1.3,6.2,5,R01396  R01398  R01399  R07245  R08937
3.4.11,6.0,6,R00899  R04951
6.2.1,4.4,1,R08906
3.1.1,4.4,,
3.4.19,3.3,,
2.1.2,2.7,,
6.3.5,2.2,,
3.1.2,2.2,,
3.4.17,1.5,,
3.5.4,1.3,,
1.2.1,1.3,,
3.5.3,1.2,,
4.3.2,1.0,1,R08910
2.7.7,0.9,,
2.3.3,0.8,,
1.2.99,0.7,,
6.1.1,0.6,,
2.3.-,0.6,,
3.4.15,0.5,,
1.2.7,0.4,,
1.4.1,0.3,,
4.3.3,0.3,,
1.4.7,0.3,,
3.5.5,0.3,,
3.7.1,0.2,,
