EC,Weighted Score,Observed Freq,Reactions
3.5.1,127.1,28,R00059  R00411  R01077  R01587  R01918  ... (26 reactions)
6.3.2,75.4,25,R00894  R00910  R00912  R00942  R01164  ... (24 reactions)
2.3.1,41.1,2,R04868  R06361
2.3.2,30.9,5,R00494  R03916  R03970  R03971  R05207
6.3.1,19.1,11,R01917  R02929  R03822  R06529  R07302  ... (10 reactions)
3.4.13,18.7,8,R00911  R01166  R01992  R03288  R03935
6.3.4,12.3,6,R01585  R04144  R04562  R04563  R04582
3.4.11,7.1,,
3.4.19,5.6,3,R00494  R04242  R09875
2.1.3,4.0,,
3.4.17,3.7,,
3.1.1,2.0,2,R08295  R08300
6.2.1,1.6,1,R08906
2.1.2,1.4,,
3.4.15,1.4,,
6.3.5,1.2,,
3.5.3,0.9,,
2.3.-,0.9,,
3.5.4,0.8,,
4.3.2,0.6,,
3.4.22,0.6,,
3.4.24,0.6,,
1.2.99,0.4,,
1.4.1,0.2,,
4.3.3,0.2,,
