split,method,ec_class,class_mcc,overall_mcc,overall_precision,overall_recall,coverage,total_support
Scaffold,BEC-Pred,1,0.6235003864677896,0.6182477102266181,0.6110456311839925,0.648596321393998,1.0,2066
Scaffold,BEC-Pred,2,0.7982193348886052,0.6182477102266181,0.6110456311839925,0.648596321393998,1.0,2066
Scaffold,BEC-Pred,3,0.5167159642266966,0.6182477102266181,0.6110456311839925,0.648596321393998,1.0,2066
Scaffold,BEC-Pred,4,0.6576989655020454,0.6182477102266181,0.6110456311839925,0.648596321393998,1.0,2066
Scaffold,BEC-Pred,5,0.42590894721085837,0.6182477102266181,0.6110456311839925,0.648596321393998,1.0,2066
Scaffold,BEC-Pred,6,0.3878849751540036,0.6182477102266181,0.6110456311839925,0.648596321393998,1.0,2066
Scaffold,BEC-Pred,7,-0.0001648371447886192,0.6182477102266181,0.6110456311839925,0.648596321393998,1.0,2066
Scaffold,Theia,1,0.7699231432069272,0.7775806737772007,0.7841546611937296,0.7933204259438529,0.9666021297192643,2066
Scaffold,Theia,2,0.857026818832649,0.7775806737772007,0.7841546611937296,0.7933204259438529,0.9666021297192643,2066
Scaffold,Theia,3,0.8579901302549292,0.7775806737772007,0.7841546611937296,0.7933204259438529,0.9666021297192643,2066
Scaffold,Theia,4,0.7885528414451467,0.7775806737772007,0.7841546611937296,0.7933204259438529,0.9666021297192643,2066
Scaffold,Theia,5,0.5902072410688488,0.7775806737772007,0.7841546611937296,0.7933204259438529,0.9666021297192643,2066
Scaffold,Theia,6,0.8832433675671549,0.7775806737772007,0.7841546611937296,0.7933204259438529,0.9666021297192643,2066
Scaffold,Theia,7,0.0,0.7775806737772007,0.7841546611937296,0.7933204259438529,0.9666021297192643,2066
Scaffold,Gemma4EC,1,0.6639372583697013,0.669976869359716,0.7338686997089024,0.6752178121974831,0.9990319457889641,2066
Scaffold,Gemma4EC,2,0.8060448348503464,0.669976869359716,0.7338686997089024,0.6752178121974831,0.9990319457889641,2066
Scaffold,Gemma4EC,3,0.5825376604298972,0.669976869359716,0.7338686997089024,0.6752178121974831,0.9990319457889641,2066
Scaffold,Gemma4EC,4,0.7224960042434883,0.669976869359716,0.7338686997089024,0.6752178121974831,0.9990319457889641,2066
Scaffold,Gemma4EC,5,0.5047071354612389,0.669976869359716,0.7338686997089024,0.6752178121974831,0.9990319457889641,2066
Scaffold,Gemma4EC,6,0.5087332370687052,0.669976869359716,0.7338686997089024,0.6752178121974831,0.9990319457889641,2066
Scaffold,Gemma4EC,7,0.3669550755863873,0.669976869359716,0.7338686997089024,0.6752178121974831,0.9990319457889641,2066
Stratified,BEC-Pred,1,0.8475360528608443,0.8465854147424964,0.8430964986068374,0.8604076590487956,1.0,1619
Stratified,BEC-Pred,2,0.9055153557780872,0.8465854147424964,0.8430964986068374,0.8604076590487956,1.0,1619
Stratified,BEC-Pred,3,0.8478110050926402,0.8465854147424964,0.8430964986068374,0.8604076590487956,1.0,1619
Stratified,BEC-Pred,4,0.8057163462081016,0.8465854147424964,0.8430964986068374,0.8604076590487956,1.0,1619
Stratified,BEC-Pred,5,0.5959415438374971,0.8465854147424964,0.8430964986068374,0.8604076590487956,1.0,1619
Stratified,BEC-Pred,6,0.7820829131899317,0.8465854147424964,0.8430964986068374,0.8604076590487956,1.0,1619
Stratified,BEC-Pred,7,0.6009170396372168,0.8465854147424964,0.8430964986068374,0.8604076590487956,1.0,1619
Stratified,Theia,1,0.9684908120543382,0.9465712687178607,0.9499850203745516,0.9474984558369364,0.9894996911673872,1619
Stratified,Theia,2,0.9516642762250489,0.9465712687178607,0.9499850203745516,0.9474984558369364,0.9894996911673872,1619
Stratified,Theia,3,0.9682146339924801,0.9465712687178607,0.9499850203745516,0.9474984558369364,0.9894996911673872,1619
Stratified,Theia,4,0.935326323776273,0.9465712687178607,0.9499850203745516,0.9474984558369364,0.9894996911673872,1619
Stratified,Theia,5,0.9134491946737404,0.9465712687178607,0.9499850203745516,0.9474984558369364,0.9894996911673872,1619
Stratified,Theia,6,0.9655466785691182,0.9465712687178607,0.9499850203745516,0.9474984558369364,0.9894996911673872,1619
Stratified,Theia,7,0.0,0.9465712687178607,0.9499850203745516,0.9474984558369364,0.9894996911673872,1619
Stratified,Gemma4EC,1,0.9002283209191234,0.8919399737110246,0.9008138579982033,0.8937615812229771,0.9925880172946263,1619
