Reaction ID,BridgIT
R09087,2.7.4.24;2.7.7.2;2.7.2.6;2.7.1.82;2.7.3.8;6.3.5.5;2.7.11.15;2.7.14.1;2.7.10.1;2.7.12.1;2.7.8.46;2.7.6.1;2.7.99.1
R12242,2.3.1.157;2.3.2.19;2.1.2.13;2.3.3.14;6.2.1.1;2.1.3.12;6.1.2.2;6.3.4.10;6.3.1.20;1.2.1.95
R09450,2.3.1.33;6.2.1.1;2.3.3.10;2.1.2.3;2.1.3.7;2.3.2.30;6.3.4.10;6.3.1.20;1.2.1.95;6.1.2.2
R04436,2.1.1.44;2.8.4.4;2.1.2.13;2.1.3.2;2.3.1.101
R03105,
R09097,
R04582,6.3.4.10;6.3.1.19;6.3.2.6;6.3.3.3;6.2.1.39;6.3.5.4;3.5.4.41;3.5.1.18;3.4.14.13;3.4.13.4;2.3.2.2;3.4.17.23;3.13.1.6;3.4.19.13;1.4.1.13;1.4.7.1;4.3.3.6;3.5.5.4;3.5.99.5;3.1.1.1;3.4.11.1;3.5.3.21
R00913,3.5.3.17;3.5.1.6;3.5.5.1;3.4.13.22;3.4.11.1;4.2.1.48;2.3.2.2;3.5.2.16;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.5.4.1;1.2.7.12;3.4.19.13;3.4.14.13;3.4.17.8;3.1.1.1;3.13.1.6;3.8.1.8;2.1.2.3;4.3.2.4;3.5.99.8
R01999,2.3.1.75;2.3.3.9;6.2.1.1;2.1.2.13;2.1.3.12;6.1.2.2;1.2.1.95;2.3.2.19;6.3.4.10;6.3.1.20
R10424,2.4.1.301;2.4.2.9;2.4.99.1
R03544,1.1.1.202;1.2.1.22;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.99.9;1.1.3.39;4.1.1.94;5.4.99.3;1.4.3.5;4.2.1.155;1.1.5.4
R00959,2.4.1.339;2.5.1.55;2.4.2.25;2.1.3.12;4.4.1.20;1.3.1.96
R11246,2.7.7.2;2.7.1.71;2.7.4.8;2.7.2.7;2.7.6.1;2.7.10.1;2.7.12.1;6.3.5.5;2.7.3.8;2.7.11.31;2.7.8.19;2.7.14.1;2.7.99.1
R12946,
R00243,1.4.1.2;1.5.1.7;1.5.3.6;1.4.3.11;1.1.3.39;1.4.4.2;1.1.99.9;1.5.99.6;1.1.5.4;1.4.9.2
R05790,3.1.3.70;3.1.4.51;3.1.1.17;2.4.1.17;3.2.1.42;3.6.1.20;3.1.6.9;4.6.1.13;3.1.5.1;4.2.3.1;5.1.3.14;3.1.7.2;3.11.1.3;3.1.2.31;2.3.1.85;3.7.1.8;4.2.1.155
R00430,2.7.7.96;2.7.1.40;2.7.3.3;2.7.14.1;2.7.2.2;6.3.5.5;2.7.11.7;2.7.4.26;2.7.10.1;2.7.12.1;2.7.6.5;2.7.8.28;2.7.99.1
R06693,2.1.1.283;2.8.4.4;2.1.2.13;2.1.3.2;2.3.1.101
R07021,1.14.13.11;1.14.14.1;1.14.18.1;1.14.12.12;1.14.15.3;1.2.3.9;1.14.21.11;1.14.99.2;1.14.16.4;1.10.3.4;1.14.11.28;1.14.19.19
R08075,2.4.1.35;2.4.2.40;2.4.99.18
R04707,2.1.1.119;2.8.4.4;2.1.2.13;2.3.1.101;2.1.3.2
R07082,3.3.2.9;1.14.14.1;2.5.1.18;4.2.1.139;3.1.1.40;3.2.1.31;3.7.1.8;3.1.2.28;2.3.1.85;3.3.1.1;3.2.2.3;2.1.1.246
R08550,
R00103,3.6.1.22;3.6.3.55;3.6.4.1;3.6.5.1;3.1.3.81
R12345,1.14.13.187;1.14.14.1;1.14.12.10;1.14.15.3;1.14.99.2;1.14.16.7;1.14.18.1;1.14.11.40;1.2.3.9;1.14.21.11;1.10.3.3;1.14.19.29
R06516,4.1.2.27;4.1.3.14;4.1.1.81;1.1.1.262;1.3.8.6;4.2.1.155;2.1.2.11;4.1.99.2;4.2.99.21;3.1.1.82
R07503,1.14.13.197;4.2.3.38;4.2.1.53;3.1.7.9;4.2.99.20;5.5.1.6;4.3.3.3;2.3.1.85;1.1.1.394;3.7.1.21;4.1.1.102;1.2.1.31;1.4.1.18;4.3.1.9;3.2.1.186;1.3.8.6;2.5.1.119;3.5.5.4;3.3.1.1;1.17.98.2;1.1.3.47;3.5.1.110;2.7.8.23
R11469,2.1.1.101;2.8.4.4;2.1.2.13;2.1.3.2;2.3.1.32
R11838,3.1.7.6;3.1.5.1;3.1.3.74;3.6.1.7;3.2.1.42;2.4.1.17;4.2.3.1;5.1.3.14;3.1.4.46;3.11.1.1;3.1.1.59;4.6.1.13;3.1.2.28;3.7.1.8;3.1.6.1;2.3.1.85;4.2.1.155
R11309,2.4.1.99;2.4.2.49;2.4.99.13
R12984,
R11500,
R11618,1.1.3.41;1.1.5.4;4.2.1.155;4.1.1.4;1.1.1.276;5.4.99.3;1.4.3.5;1.1.99.9;1.2.1.3;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1
R06811,2.4.1.91;2.4.2.35;2.4.99.1
R00647,3.3.2.4;1.14.14.1;3.1.1.2;3.7.1.8;3.2.1.21;3.3.1.1;3.1.2.23;4.2.1.22;2.3.1.85;3.2.2.1;2.5.1.18;2.1.1.246
