RPAIR,Score,EC,KO
RP00527,0.275,2.3.1.91 2.3.1.92,K09756 K09757
RP15225,0.252,3.2.1.175,K15748
RP03284,0.251,6.1.1.20,K01889 K01890
RP00152,0.249,2.3.2.16 2.3.2.17 2.3.2.18 6.1.1.14,K01878 K01879 K01880 K11693 K11694 K11695 K14164
RP02979,0.242,2.3.1.-,K13513 K13516 K13519 K13523
RP02710,0.240,2.3.2.- 2.3.2.10 6.1.1.7,K01872 K05363 K12554
RP13085,0.239,6.1.1.11,K01875
RP03288,0.239,6.1.1.11,K01875
RP03290,0.235,6.1.1.3,K01868
RP03264,0.234,6.1.1.22,K01893
RP03280,0.233,6.1.1.6,K04566 K04567 K04568
RP12433,0.231,1.-.-.- 3.2.1.31,K01195
RP03274,0.231,6.1.1.21,K01892
RP03262,0.230,6.1.1.23,K09759
RP13893,0.228,6.1.1.26,K11627
RP05172,0.228,6.1.1.12 6.1.1.23,K01876 K09759
RP03292,0.227,6.1.1.2,K01867
RP15679,0.224,2.1.3.-,K16035
RP09582,0.224,2.3.1.214,K12935
RP04213,0.223,2.3.1.129,K00677
RP05659,0.219,,K15999
RP05660,0.219,,K15999
RP02600,0.211,6.1.1.1,K01866
RP03266,0.208,6.1.1.16,K01883 K01884
RP11761,0.208,2.3.1.153,K12936
RP13535,0.207,6.1.1.27,K07587
RP00200,0.205,2.3.1.133 2.3.1.99,K13065
RP03282,0.205,6.1.1.10,K01874
RP11760,0.205,2.3.1.153,K12936
RP03270,0.204,6.1.1.18,K01886
RP03260,0.203,6.1.1.19,K01887
RP03268,0.202,6.1.1.24,K09698
RP11754,0.202,2.3.1.153,K12936
RP05658,0.201,,K15999
RP03278,0.201,6.1.1.4,K01869
RP11062,0.201,2.3.1.133,K13065
RP11158,0.200,2.3.1.133,K13065
RP03294,0.200,6.1.1.9,K01873
RP04407,0.200,6.1.1.10,K01874
RP03276,0.199,6.1.1.5,K01870
RP11753,0.199,2.3.1.153,K12936
RP00730,0.197,1.2.1.70 6.1.1.17 6.1.1.24,K01885 K02492 K09698 K14163
RP12152,0.196,2.3.1.153,K12936
RP02191,0.196,2.3.1.133,K13065
RP12154,0.193,2.3.1.153,K12936
RP03286,0.191,6.1.1.15,K01881 K14163
RP11913,0.186,2.3.1.-,K12932
RP11914,0.179,2.3.1.-,K12932
RP12142,0.172,2.3.1.-,K12932
RP11889,0.167,2.3.1.172,K12934
RP09581,0.167,2.3.1.172,K12934
RP09430,0.151,2.3.1.167,K12926
RP00226,0.150,2.3.1.43,K00650
RP00224,0.138,2.3.1.26 3.1.1.13,K00637 K01052 K12298 K14674
RP09454,0.134,2.3.1.162,K12923
RP04363,0.131,2.3.1.150,K13393
RP09329,0.131,,K12713
RP02864,0.131,2.3.1.107,K12698
RP12113,0.130,2.3.1.115,K13264
RP09234,0.126,3.1.1.1 3.1.1.84,K01044
RP09429,0.125,2.3.1.166,K12925
RP11830,0.125,2.3.1.115,K13264
RP09463,0.122,,K12723 K12724
RP11767,0.119,2.3.1.115,K13264
RP11819,0.119,2.3.1.115,K13264
RP09334,0.119,2.3.1.115,K13264
RP11827,0.118,2.3.1.115,K13264
RP12096,0.117,2.3.1.115,K13264
RP09466,0.116,2.3.1.171,K12931
RP09404,0.112,2.3.1.171,K12931
RP04268,0.109,2.3.1.115,K13264
RP09327,0.108,,K12728
RP11894,0.107,2.3.1.171,K12931
RP09276,0.102,2.3.1.93,K13610
RP12015,0.099,,K14598
RP12037,0.097,,K14598
RP12082,0.091,2.3.1.-,K10212
RP15672,0.089,,K16036
