RPAIR,Score,EC,KO
RP00527,0.276,2.3.1.91 2.3.1.92,K09756 K09757
RP03284,0.252,6.1.1.20,K01889 K01890
RP00152,0.250,2.3.2.16 2.3.2.17 2.3.2.18 6.1.1.14,K01878 K01879 K01880 K11693 K11694 K11695 K14164
RP15225,0.248,3.2.1.175,K15748
RP02710,0.239,2.3.2.- 2.3.2.10 6.1.1.7,K01872 K05363 K12554
RP03288,0.238,6.1.1.11,K01875
RP13085,0.238,6.1.1.11,K01875
RP03290,0.234,6.1.1.3,K01868
RP03264,0.233,6.1.1.22,K01893
RP03280,0.231,6.1.1.6,K04566 K04567 K04568
RP03274,0.230,6.1.1.21,K01892
RP03262,0.229,6.1.1.23,K09759
RP13893,0.226,6.1.1.26,K11627
RP05172,0.226,6.1.1.12 6.1.1.23,K01876 K09759
RP03292,0.224,6.1.1.2,K01867
RP04213,0.222,2.3.1.129,K00677
RP05659,0.218,,K15999
RP05660,0.218,,K15999
RP15679,0.212,2.1.3.-,K16035
RP12433,0.209,1.-.-.- 3.2.1.31,K01195
RP02600,0.206,6.1.1.1,K01866
RP03266,0.202,6.1.1.16,K01883 K01884
RP03282,0.199,6.1.1.10,K01874
RP13535,0.199,6.1.1.27,K07587
RP03270,0.198,6.1.1.18,K01886
RP03260,0.197,6.1.1.19,K01887
RP03268,0.196,6.1.1.24,K09698
RP03278,0.195,6.1.1.4,K01869
RP03294,0.194,6.1.1.9,K01873
RP04407,0.194,6.1.1.10,K01874
RP03276,0.193,6.1.1.5,K01870
RP00730,0.190,1.2.1.70 6.1.1.17 6.1.1.24,K01885 K02492 K09698 K14163
RP11158,0.189,2.3.1.133,K13065
RP00200,0.187,2.3.1.133 2.3.1.99,K13065
RP05658,0.185,,K15999
RP03286,0.185,6.1.1.15,K01881 K14163
RP09582,0.184,2.3.1.214,K12935
RP02191,0.183,2.3.1.133,K13065
RP11062,0.182,2.3.1.133,K13065
RP09430,0.178,2.3.1.167,K12926
RP11913,0.178,2.3.1.-,K12932
RP11914,0.170,2.3.1.-,K12932
RP11761,0.166,2.3.1.153,K12936
RP11760,0.163,2.3.1.153,K12936
RP12142,0.163,2.3.1.-,K12932
RP02979,0.162,2.3.1.-,K13513 K13516 K13519 K13523
RP11754,0.161,2.3.1.153,K12936
RP11753,0.158,2.3.1.153,K12936
RP09454,0.157,2.3.1.162,K12923
RP12152,0.156,2.3.1.153,K12936
RP04363,0.155,2.3.1.150,K13393
RP12154,0.153,2.3.1.153,K12936
RP00224,0.151,2.3.1.26 3.1.1.13,K00637 K01052 K12298 K14674
RP00226,0.149,2.3.1.43,K00650
RP02864,0.141,2.3.1.107,K12698
RP09234,0.136,3.1.1.1 3.1.1.84,K01044
RP09329,0.136,,K12713
RP09429,0.134,2.3.1.166,K12925
RP11889,0.126,2.3.1.172,K12934
RP09581,0.126,2.3.1.172,K12934
RP09463,0.124,,K12723 K12724
RP09276,0.112,2.3.1.93,K13610
RP12113,0.112,2.3.1.115,K13264
RP11830,0.106,2.3.1.115,K13264
RP15672,0.103,,K16036
RP09327,0.102,,K12728
RP11767,0.098,2.3.1.115,K13264
RP11819,0.098,2.3.1.115,K13264
RP09334,0.097,2.3.1.115,K13264
RP11827,0.096,2.3.1.115,K13264
RP12096,0.095,2.3.1.115,K13264
RP04268,0.095,2.3.1.115,K13264
RP09466,0.095,2.3.1.171,K12931
RP09404,0.091,2.3.1.171,K12931
RP11894,0.087,2.3.1.171,K12931
